dimension,group,candidates,candidate_support_rate,unsupported_candidates,selected_winners,selected_winner_support_rate,unsupported_selected_winners,fine_rule_oov_candidates,mean_continuous_support_score,rejection_reason_counts_json
overall,all,6809,0.9919224555735057,55,288,1.0,0,0,0.8949732160089149,"{""numeric_robust_z:bottleneck_overlap_fraction"": 14, ""numeric_robust_z:critical_overlap_fraction"": 7, ""numeric_robust_z:origin_family_count"": 34, ""numeric_robust_z:origin_rule_count"": 10}"
scale,L,2294,0.999128160418483,2,96,1.0,0,0,0.9478476066973164,"{""numeric_robust_z:origin_family_count"": 2}"
scale,M,2284,0.9964973730297724,8,96,1.0,0,0,0.950644500839307,"{""numeric_robust_z:bottleneck_overlap_fraction"": 1, ""numeric_robust_z:origin_family_count"": 5, ""numeric_robust_z:origin_rule_count"": 2}"
scale,S,2231,0.9798296727924698,45,96,1.0,0,0,0.783611913099095,"{""numeric_robust_z:bottleneck_overlap_fraction"": 13, ""numeric_robust_z:critical_overlap_fraction"": 7, ""numeric_robust_z:origin_family_count"": 27, ""numeric_robust_z:origin_rule_count"": 8}"
CF_level,CF1,2272,0.9933978873239436,15,96,1.0,0,0,0.8836721644177413,"{""numeric_robust_z:bottleneck_overlap_fraction"": 4, ""numeric_robust_z:critical_overlap_fraction"": 2, ""numeric_robust_z:origin_family_count"": 9, ""numeric_robust_z:origin_rule_count"": 3}"
CF_level,CF2,2272,0.991637323943662,19,96,1.0,0,0,0.8833745835553987,"{""numeric_robust_z:bottleneck_overlap_fraction"": 4, ""numeric_robust_z:origin_family_count"": 15, ""numeric_robust_z:origin_rule_count"": 4}"
CF_level,CF3,2265,0.990728476821192,21,96,1.0,0,0,0.917943671704074,"{""numeric_robust_z:bottleneck_overlap_fraction"": 6, ""numeric_robust_z:critical_overlap_fraction"": 5, ""numeric_robust_z:origin_family_count"": 10, ""numeric_robust_z:origin_rule_count"": 3}"
search_stage,0-20%,1708,0.9935597189695551,11,72,1.0,0,0,0.8976751345140895,"{""numeric_robust_z:bottleneck_overlap_fraction"": 4, ""numeric_robust_z:critical_overlap_fraction"": 1, ""numeric_robust_z:origin_family_count"": 7, ""numeric_robust_z:origin_rule_count"": 2}"
search_stage,20-40%,855,0.9871345029239766,11,36,1.0,0,0,0.88196503500264,"{""numeric_robust_z:bottleneck_overlap_fraction"": 3, ""numeric_robust_z:critical_overlap_fraction"": 5, ""numeric_robust_z:origin_family_count"": 4}"
search_stage,40-60%,1691,0.9917208752217622,14,72,1.0,0,0,0.8923836969889057,"{""numeric_robust_z:bottleneck_overlap_fraction"": 3, ""numeric_robust_z:origin_family_count"": 10, ""numeric_robust_z:origin_rule_count"": 4}"
search_stage,60-80%,848,0.9941037735849056,5,36,1.0,0,0,0.9044269370075013,"{""numeric_robust_z:bottleneck_overlap_fraction"": 1, ""numeric_robust_z:origin_family_count"": 3, ""numeric_robust_z:origin_rule_count"": 3}"
search_stage,80-100%,1707,0.9917984768599882,14,72,1.0,0,0,0.8966540825640181,"{""numeric_robust_z:bottleneck_overlap_fraction"": 3, ""numeric_robust_z:critical_overlap_fraction"": 1, ""numeric_robust_z:origin_family_count"": 10, ""numeric_robust_z:origin_rule_count"": 1}"
origin_family,LOCAL_PERTURBATION,1152,0.9991319444444444,1,28,1.0,0,0,0.9183647655931995,"{""numeric_robust_z:critical_overlap_fraction"": 1}"
origin_family,MATCHED_RANDOM,864,1.0,0,16,1.0,0,0,0.9210251269143886,{}
origin_family,ORIGINAL_OPERATOR,2016,0.9761904761904762,48,81,1.0,0,0,0.8748483934189618,"{""numeric_robust_z:bottleneck_overlap_fraction"": 12, ""numeric_robust_z:critical_overlap_fraction"": 5, ""numeric_robust_z:origin_family_count"": 34, ""numeric_robust_z:origin_rule_count"": 7}"
origin_family,RELATED_VARIANT,1051,0.9952426260704091,5,41,1.0,0,0,0.8858643417578894,"{""numeric_robust_z:bottleneck_overlap_fraction"": 1, ""numeric_robust_z:critical_overlap_fraction"": 1, ""numeric_robust_z:origin_rule_count"": 3}"
origin_family,STRUCTURED_NEAR_NEIGHBOR,1726,0.9994206257242179,1,122,1.0,0,0,0.8953724935499047,"{""numeric_robust_z:bottleneck_overlap_fraction"": 1}"
selected_winner,False,6521,0.9915657107805551,55,0,,0,0,0.8945060574487774,"{""numeric_robust_z:bottleneck_overlap_fraction"": 14, ""numeric_robust_z:critical_overlap_fraction"": 7, ""numeric_robust_z:origin_family_count"": 34, ""numeric_robust_z:origin_rule_count"": 10}"
selected_winner,True,288,1.0,0,288,1.0,0,0,0.9055507888236973,{}
