source,category,metric,value,observations
NEW_ALNS_EXPANSION,candidate_feature:bottleneck_overlap_fraction,mean,0.027166464301756094,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:bottleneck_overlap_fraction,mean,0.025729169740242714,6809
NEW_ALNS_EXPANSION,candidate_feature:bottleneck_overlap_fraction,q10,0.0,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:bottleneck_overlap_fraction,q10,0.0,6809
NEW_ALNS_EXPANSION,candidate_feature:bottleneck_overlap_fraction,q50,0.0,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:bottleneck_overlap_fraction,q50,0.0,6809
NEW_ALNS_EXPANSION,candidate_feature:bottleneck_overlap_fraction,q90,0.1111111111111111,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:bottleneck_overlap_fraction,q90,0.1111111111111111,6809
NEW_ALNS_EXPANSION,candidate_feature:bottleneck_overlap_fraction,std,0.06601757250753919,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:bottleneck_overlap_fraction,std,0.06096168595612541,6809
NEW_ALNS_EXPANSION,candidate_feature:critical_overlap_fraction,mean,0.01898752361407446,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:critical_overlap_fraction,mean,0.017510354021245466,6809
NEW_ALNS_EXPANSION,candidate_feature:critical_overlap_fraction,q10,0.0,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:critical_overlap_fraction,q10,0.0,6809
NEW_ALNS_EXPANSION,candidate_feature:critical_overlap_fraction,q50,0.0,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:critical_overlap_fraction,q50,0.0,6809
NEW_ALNS_EXPANSION,candidate_feature:critical_overlap_fraction,q90,0.058823529411764705,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:critical_overlap_fraction,q90,0.058823529411764705,6809
NEW_ALNS_EXPANSION,candidate_feature:critical_overlap_fraction,std,0.042237755379010596,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:critical_overlap_fraction,std,0.03827815205795621,6809
NEW_ALNS_EXPANSION,candidate_feature:destroy_target_cardinality,mean,17.961194248826292,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:destroy_target_cardinality,mean,17.97268321339404,6809
NEW_ALNS_EXPANSION,candidate_feature:destroy_target_cardinality,q10,9.0,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:destroy_target_cardinality,q10,9.0,6809
NEW_ALNS_EXPANSION,candidate_feature:destroy_target_cardinality,q50,18.0,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:destroy_target_cardinality,q50,18.0,6809
