state_id,instance_id,phase6n_data_origin,scale,CF_level,search_stage,search_progress,true_continuation_best_target_set_id,true_continuation_best_origin_family,phase6n_winner_target_set_id,phase6n_winner_origin_family,phase6n_rank_of_true_best,phase6n_selected_lift,phase6n_top1_regret,phase6n_predicted_top1_top2_margin,true_top1_top2_continuation_gap,phase6n_winner_in_true_near_optimal_0_0025,phase6n_winner_in_true_near_optimal_0_005,phase6n_winner_in_true_near_optimal_0_010,phase6n_pairwise_accuracy,phase6l_winner_target_set_id,phase6l_selected_lift,phase6l_top1_regret,phase6l_pairwise_accuracy,phase6n_selected_lift_minus_phase6l,phase6n_pairwise_improves_but_top_candidate_worsens,all_ordered_candidate_pairs,loss_directed_comparable_pairs,true_best_vs_rest_pairs,non_top_pairs,top_vs_rest_pairwise_loss_sum,non_top_pairwise_loss_sum,top_vs_rest_pairwise_loss_share,listnet_target_mass_best,listnet_target_mass_top3,listnet_target_mass_top6,state_utility_spread,crn_seed_winner_disagreement,crn_candidate_mean_abs_seed_delta,crn_candidate_max_abs_seed_delta,crn_candidate_sign_disagreement_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,0-20%,0.048723831837103423,ts_18ffe70309a11fb1e3da,RELATED_VARIANT,ts_83f85fffa0331ee96623,LOCAL_PERTURBATION,18,0.0004956629491945477,0.02391573729863693,0.01413869857788086,0.0016109045848822813,False,False,False,0.5818181818181818,ts_0b582a760c30728b549d,-0.0027261462205700124,0.02713754646840149,0.5127272727272727,0.00322180916976456,False,552,275,23,252,20.475202471795445,99.90841350820911,0.17008296606737855,0.14689702415064237,0.3605084624909035,0.580281743364629,0.0701363073110285,False,0.0020136307311028503,0.025278810408921933,0.0
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,0-20%,0.18063616755805628,ts_a47addf6c1c87e842363,ORIGINAL_OPERATOR,ts_8ac4d332a7e5bf5d828b,LOCAL_PERTURBATION,22,0.00605835806132542,0.025469831849653807,0.16248318552970886,0.016073194856577645,False,False,False,0.45454545454545453,ts_9ee7b24ddf3a5502310d,-0.009520276953511373,0.0410484668644906,0.48727272727272725,0.015578635014836794,False,552,275,23,252,51.290685305011095,187.19272979121016,0.21507023993394578,0.26054485087582796,0.4227034097273119,0.6083744048689548,0.07665677546983185,False,0.016887157929442797,0.049703264094955485,0.2916666666666667
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,20-40%,0.31892526330227344,ts_6e0727890692b115af3a,STRUCTURED_NEAR_NEIGHBOR,ts_6e1af48650cdc6e99df6,RELATED_VARIANT,10,0.004738760631834751,0.030862697448359656,0.1115783154964447,0.013851761846901577,False,False,False,0.5217391304347826,ts_6fcca90d49dd37ac36ac,-0.028189550425273387,0.06379100850546779,0.5,0.03292831105710814,False,552,276,23,253,20.72236628560909,204.82592317611585,0.09187551958413602,0.17326408788099068,0.32743291593194757,0.5294740345840165,0.08262454434993924,True,0.011958282705548806,0.03134872417982989,0.20833333333333334
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,40-60%,0.44938900393026415,ts_3d367a2f8bdd7113cfcd,STRUCTURED_NEAR_NEIGHBOR,ts_d8aad3cd4e872949fc1d,STRUCTURED_NEAR_NEIGHBOR,2,0.00273224043715847,0.00894187779433681,0.037977755069732666,0.005340288127173373,False,False,True,0.7463235294117647,ts_3d367a2f8bdd7113cfcd,0.01167411823149528,0.0,0.7867647058823529,-0.00894187779433681,False,552,272,23,249,7.237085225061109,76.87548113218732,0.08604047573965684,0.13692143930172543,0.2921715925227827,0.4972266945169952,0.042473919523099854,False,0.004636529226693161,0.03154495777446597,0.08333333333333333
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000164,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,40-60%,0.5816314502789769,ts_47d0d4028c3ddb47b1e1,ORIGINAL_OPERATOR,ts_3282d45464509061ab6e,LOCAL_PERTURBATION,19,-0.011108427915962327,0.05264428881912582,0.007068544626235962,0.0027771069789905845,False,False,False,0.3709090909090909,ts_15008b5b01451e20fef1,0.0297029702970297,0.011832890606133788,0.6036363636363636,-0.040811398212992026,False,552,275,23,252,37.54910914275262,245.01189538523872,0.1328885038665443,0.12702682414778854,0.32170633435270374,0.5491701955821741,0.07920792079207921,True,0.009116155517990823,0.04781453755131611,0.041666666666666664
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000204,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,60-80%,0.7205629600695914,ts_9ab90740ac78da4319e9,MATCHED_RANDOM,ts_a017a91e32907790d18b,RELATED_VARIANT,19,-0.011443661971830986,0.03055835010060362,0.182667076587677,0.013329979879275655,False,False,False,0.5490909090909091,ts_5b4646d47a36596223bc,-0.0012575452716297787,0.020372233400402416,0.7054545454545454,-0.010186116700201208,False,552,275,23,252,34.7800366216913,183.6219217415338,0.1592478239771481,0.19913611071552975,0.3830608106139377,0.5680144473243541,0.08350100603621731,False,0.004328051643192489,0.02012072434607646,0.041666666666666664
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000241,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,80-100%,0.8497568226045777,ts_01e871b03e568e7ba306,ORIGINAL_OPERATOR,ts_4417b16583d64f2118ae,RELATED_VARIANT,18,-0.015252152521525217,0.015252152521525217,0.5726699531078339,0.005412054120541206,False,False,False,0.6826568265682657,ts_9c166d7c413dd0fa7dab,-0.013530135301353014,0.013530135301353014,0.6383763837638377,-0.0017220172201722027,True,552,271,23,248,16.328679971560625,63.626537723764216,0.20422281925092423,0.13819982866396593,0.3096907853787627,0.49719912660456433,0.05043050430504305,False,0.008907339073390735,0.018204182041820418,0.0
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000269,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,80-100%,0.9493208306044243,ts_78e4789232bef2e01bad,STRUCTURED_NEAR_NEIGHBOR,ts_a52db4b46d263b0a0ca9,RELATED_VARIANT,3,-0.020298361457569088,0.03912937148447053,0.3530600368976593,0.01809733431156762,False,False,False,0.6618181818181819,ts_a52db4b46d263b0a0ca9,-0.020298361457569088,0.03912937148447053,0.6618181818181819,0.0,False,552,275,23,252,16.856267690205378,121.79616640407636,0.12157210077353095,0.2589098512915775,0.4402130715196046,0.6471695177412988,0.0776473465394962,False,0.0018443792288253037,0.012472487160674985,0.0
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000012,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,0-20%,0.04999039044196252,ts_0f8cb42b4e2bf4171f52,STRUCTURED_NEAR_NEIGHBOR,ts_9852e61b33b10734ee02,RELATED_VARIANT,4,0.04048531289910601,0.045721583652618136,0.0716734528541565,0.026564495530012777,False,False,False,0.551094890510949,ts_d72a433aa1fba52470e2,0.02924648786717752,0.056960408684546625,0.5145985401459854,0.011238825031928489,False,552,274,23,251,23.907408907242505,157.90555663427727,0.13149452150475416,0.29738849101396203,0.4418469009133812,0.615771260147205,0.09016602809706259,False,0.013697318007662834,0.02860791826309068,0.041666666666666664
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000049,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,0-20%,0.18078099409298332,ts_2e425a181eac47069f28,ORIGINAL_OPERATOR,ts_633cbd4fbb4136846120,RELATED_VARIANT,15,0.00991571641051066,0.017848289538919183,0.25464028120040894,0.017848289538919183,False,False,False,0.6872727272727273,ts_ec5ee5e6ec54b5331f5a,-0.005577590480912246,0.03334159643034209,0.5381818181818182,0.015493306891422906,False,552,275,23,252,28.718383723599132,100.25335201008401,0.22267191768978295,0.23602586251521945,0.39579005499261316,0.5479748065520258,0.0954387704511651,False,0.0026132044290199962,0.029747149231531978,0.08333333333333333
