slice_dimension,slice_value,k,states,exact_best_recall,near_best_recall_epsilon_0_0025,near_best_recall_epsilon_0_005,near_best_recall_epsilon_0_010,oracle_shortlist_selected_lift,oracle_shortlist_regret,positive_opportunity_states,fallback_beating_candidate_present,mean_topk_origin_family_diversity,phase6n_phase6l_mean_topk_overlap,overlap_states
CF_level,CF1,1,288,0.07291666666666667,0.09375,0.11805555555555555,0.1736111111111111,0.0027370392143040326,0.03522328632510356,278,0.5503597122302158,1.0,0.19791666666666666,96
CF_level,CF1,2,288,0.1284722222222222,0.1597222222222222,0.19444444444444445,0.2604166666666667,0.013584047749441254,0.024376277789966337,278,0.7266187050359713,1.6041666666666667,0.28125,96
CF_level,CF1,3,288,0.19444444444444445,0.24305555555555555,0.28125,0.3958333333333333,0.02029893309069238,0.017661392448715212,278,0.8273381294964028,2.125,0.375,96
CF_level,CF1,4,288,0.2361111111111111,0.2951388888888889,0.3472222222222222,0.4652777777777778,0.023254278070136913,0.014706047469270678,278,0.8705035971223022,2.5520833333333335,0.4140625,96
CF_level,CF1,6,288,0.3402777777777778,0.4131944444444444,0.4756944444444444,0.59375,0.02744763401254027,0.010512691526867325,278,0.9316546762589928,3.1840277777777777,0.5069444444444445,96
CF_level,CF1,8,288,0.4375,0.4965277777777778,0.5555555555555556,0.6701388888888888,0.02973635115119888,0.008223974388208712,278,0.9676258992805755,3.7430555555555554,0.59765625,96
CF_level,CF2,1,288,0.12152777777777778,0.1388888888888889,0.16319444444444445,0.22569444444444445,0.008491918772109766,0.03127082344968681,275,0.6181818181818182,1.0,0.2916666666666667,96
CF_level,CF2,2,288,0.22569444444444445,0.2465277777777778,0.2881944444444444,0.3784722222222222,0.02041778349120743,0.019344958730589144,275,0.7745454545454545,1.6527777777777777,0.3541666666666667,96
CF_level,CF2,3,288,0.3125,0.3333333333333333,0.3784722222222222,0.4930555555555556,0.02527924466764797,0.014483497554148603,275,0.8618181818181818,2.1909722222222223,0.4583333333333333,96
CF_level,CF2,4,288,0.3576388888888889,0.3923611111111111,0.4409722222222222,0.5729166666666666,0.02857596442268178,0.011186777799114795,275,0.8945454545454545,2.6354166666666665,0.4661458333333333,96
CF_level,CF2,6,288,0.4409722222222222,0.4861111111111111,0.5381944444444444,0.6701388888888888,0.031738525278645374,0.008024216943151192,275,0.9527272727272728,3.3402777777777777,0.5451388888888888,96
CF_level,CF2,8,288,0.53125,0.5763888888888888,0.6284722222222222,0.75,0.03344272038165798,0.006320021840138596,275,0.9672727272727273,3.8333333333333335,0.6184895833333334,96
CF_level,CF3,1,288,0.09722222222222222,0.11458333333333333,0.13541666666666666,0.1736111111111111,0.010132402165204562,0.03729116661600366,281,0.6120996441281139,1.0,0.3229166666666667,96
CF_level,CF3,2,288,0.21180555555555555,0.2326388888888889,0.2569444444444444,0.3194444444444444,0.023140727036859217,0.024282841744349,281,0.800711743772242,1.6423611111111112,0.3802083333333333,96
CF_level,CF3,3,288,0.28125,0.3090277777777778,0.3298611111111111,0.40625,0.028136063042426558,0.01928750573878166,281,0.8576512455516014,2.15625,0.423611111111111,96
CF_level,CF3,4,288,0.3611111111111111,0.3923611111111111,0.4166666666666667,0.4965277777777778,0.03305034388838243,0.014373224892825776,281,0.9181494661921709,2.6354166666666665,0.4921875,96
CF_level,CF3,6,288,0.4409722222222222,0.4756944444444444,0.5104166666666666,0.5972222222222222,0.036807314240870755,0.010616254540337463,281,0.9537366548042705,3.326388888888889,0.5277777777777778,96
CF_level,CF3,8,288,0.5347222222222222,0.5763888888888888,0.6145833333333334,0.6944444444444444,0.03958087014027583,0.007842698640932384,281,0.9644128113879004,3.7604166666666665,0.58203125,96
phase6n_data_origin,NEW_ALNS_EXPANSION,1,576,0.10590277777777778,0.1267361111111111,0.1527777777777778,0.2013888888888889,0.007475104210429809,0.03440724978899438,557,0.59245960502693,1.0,,0
phase6n_data_origin,NEW_ALNS_EXPANSION,2,576,0.203125,0.22743055555555555,0.2569444444444444,0.3263888888888889,0.01962877416289384,0.022253579836530354,557,0.7648114901256733,1.6041666666666667,,0
phase6n_data_origin,NEW_ALNS_EXPANSION,3,576,0.2829861111111111,0.3142361111111111,0.3489583333333333,0.4479166666666667,0.025558668838031037,0.016323685161393157,557,0.8545780969479354,2.1041666666666665,,0
phase6n_data_origin,NEW_ALNS_EXPANSION,4,576,0.3263888888888889,0.3645833333333333,0.4079861111111111,0.5208333333333334,0.02881920893173516,0.013063145067689035,557,0.9012567324955116,2.5520833333333335,,0
phase6n_data_origin,NEW_ALNS_EXPANSION,6,576,0.421875,0.4670138888888889,0.5243055555555556,0.640625,0.032560085252292065,0.009322268747132132,557,0.9497307001795332,3.267361111111111,,0
phase6n_data_origin,NEW_ALNS_EXPANSION,8,576,0.53125,0.5729166666666666,0.6302083333333334,0.734375,0.03508448700045365,0.006797866998970547,557,0.9676840215439856,3.763888888888889,,0
phase6n_data_origin,ORIGINAL_PHASE6J_CAUR,1,288,0.0798611111111111,0.09375,0.1111111111111111,0.1701388888888889,0.006411151730758742,0.034970776812805256,277,0.5956678700361011,1.0,0.2708333333333333,288
