state_id,target_set_id,instance_id,phase6n_data_origin,scale,CF_level,oof_fold,selection_roles,is_fallback
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,ts_0b582a760c30728b549d,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,ts_1b5ddd3def6ca9e6ac1b,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4|PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,ts_32e016acacc67d473d54,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,ts_83f85fffa0331ee96623,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,ts_9157be4990e22e0cb713,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,CANONICAL_FALLBACK|PHASE6N_TOP4,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,ts_9f796f6df0d1f9720e12,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4|PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_065cd6bd36f2216e8f56,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_646127686eed4ef77627,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_8ac4d332a7e5bf5d828b,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4|PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_9d83bcb4fcaaf719835d,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,CANONICAL_FALLBACK,True
