scope,origin_family,selected_states,selected_fraction
COMMON_ORIGINAL,LOCAL_PERTURBATION,19,0.06597222222222222
COMMON_ORIGINAL,MATCHED_RANDOM,6,0.020833333333333332
COMMON_ORIGINAL,ORIGINAL_OPERATOR,59,0.2048611111111111
COMMON_ORIGINAL,RELATED_VARIANT,129,0.4479166666666667
COMMON_ORIGINAL,STRUCTURED_NEAR_NEIGHBOR,75,0.2604166666666667
EXPANDED_ALL,LOCAL_PERTURBATION,35,0.04050925925925926
EXPANDED_ALL,MATCHED_RANDOM,11,0.01273148148148148
EXPANDED_ALL,ORIGINAL_OPERATOR,147,0.1701388888888889
EXPANDED_ALL,RELATED_VARIANT,354,0.4097222222222222
EXPANDED_ALL,STRUCTURED_NEAR_NEIGHBOR,317,0.36689814814814814
