scope,states,candidates,spearman,pairwise_accuracy,ndcg_at_1,top1_agreement,selected_lift,selection_regret,selected_origin_family_count,maximum_selected_origin_fraction
EXPANDED_ALL,864,20441,0.21280866250851183,0.5758915813474698,0.6171478723786086,0.09606481481481481,0.006347272094030388,0.035517842560829294,5,0.4097222222222222
COMMON_ORIGINAL,288,6809,0.15869520482172644,0.5563547813611732,0.6021794485643422,0.06944444444444445,0.005032329495494576,0.036069044751564465,5,0.4479166666666667
SOURCE:NEW_ALNS_EXPANSION,576,13632,0.23986539135190452,0.5856599813406179,0.6246320842857417,0.109375,0.007004743393298294,0.035242241465461704,5,0.4201388888888889
SOURCE:ORIGINAL_PHASE6J_CAUR,288,6809,0.15869520482172644,0.5563547813611732,0.6021794485643422,0.06944444444444445,0.005032329495494576,0.036069044751564465,5,0.4479166666666667
SCALE:L,288,6874,0.24952361759845487,0.5899671961171473,0.6423695952230619,0.11805555555555555,0.007660289415603378,0.03154950439763493,5,0.46875
SCALE:M,288,6865,0.2143602827734144,0.5763044519769083,0.597804962246303,0.08333333333333333,0.005204916305920963,0.03663409635693035,5,0.4548611111111111
SCALE:S,288,6702,0.1745420871536662,0.5614030959483536,0.6112690596664607,0.08680555555555555,0.006176610560566824,0.0383699269279226,5,0.5069444444444444
SOURCE_SCALE:NEW_ALNS_EXPANSION:L,192,4580,0.2848432562690051,0.6022614076823,0.6510005311070671,0.13020833333333334,0.007896842644612379,0.030530533780966002,5,0.5572916666666666
SOURCE_SCALE:NEW_ALNS_EXPANSION:M,192,4581,0.23206703012924526,0.5832216442109895,0.603669014439634,0.09375,0.0064685463106711055,0.036384547220167165,4,0.5208333333333334
SOURCE_SCALE:NEW_ALNS_EXPANSION:S,192,4471,0.20268588765746318,0.5714968921285645,0.6192267073105239,0.10416666666666667,0.006648841224611397,0.038811643395251956,5,0.5364583333333334
SOURCE_SCALE:ORIGINAL_PHASE6J_CAUR:L,96,2294,0.17888434025735434,0.5653787729868419,0.6251077234550514,0.09375,0.007187182957585373,0.03358744563097279,4,0.4166666666666667
SOURCE_SCALE:ORIGINAL_PHASE6J_CAUR:M,96,2284,0.17894678806175268,0.5624700675087456,0.586076857859641,0.0625,0.0026776562964206797,0.037133194630456716,5,0.4791666666666667
SOURCE_SCALE:ORIGINAL_PHASE6J_CAUR:S,96,2231,0.11825448614607233,0.5412155035879319,0.5953537643783345,0.052083333333333336,0.005232149232477675,0.037486493993263904,5,0.4479166666666667
