state_id,instance_id,data_origin,target_set_id,generator_order_index,all_origin_rules,all_origin_destroy_operators,all_origin_families,current_stored_first_origin_destroy_operator,origin_rule_count,origin_destroy_operator_count,cross_destroy_duplicate,stored_metadata_match
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_cb271199ea0b8fd122f1,0,"[""operator_random""]","[""random""]","[""ORIGINAL_OPERATOR""]",random,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_e9a826292993e3d1202a,1,"[""operator_critical""]","[""critical""]","[""ORIGINAL_OPERATOR""]",critical,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_bc5ca10075e62c65dcd0,2,"[""operator_overloaded_island""]","[""overloaded_island""]","[""ORIGINAL_OPERATOR""]",overloaded_island,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_c320bbf3ca51b6b6b93b,3,"[""operator_high_reconfiguration""]","[""high_reconfiguration""]","[""ORIGINAL_OPERATOR""]",high_reconfiguration,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_0de3b1351d0ad9a7ffcb,4,"[""operator_w_bottleneck""]","[""w_bottleneck""]","[""ORIGINAL_OPERATOR""]",w_bottleneck,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_3d361943999c344a5c43,5,"[""operator_f_bottleneck""]","[""f_bottleneck""]","[""ORIGINAL_OPERATOR""]",f_bottleneck,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_9157be4990e22e0cb713,6,"[""operator_related""]","[""related""]","[""ORIGINAL_OPERATOR""]",related,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_0490a9b53c4a61611349,7,"[""related_variant_1""]","[""related""]","[""RELATED_VARIANT""]",related,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_8592ef8e60cfd27f049f,8,"[""related_variant_2""]","[""related""]","[""RELATED_VARIANT""]",related,1,1,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,ts_18ffe70309a11fb1e3da,9,"[""related_variant_3""]","[""related""]","[""RELATED_VARIANT""]",related,1,1,False,True
