method,budget_fraction,runs,mean_makespan,median_makespan,mean_rpd_percent,mean_decoder_evaluations
ALNS,0.1,54,3017.814814814815,3038.0,8.173623741850895,1817.2962962962963
ALNS,0.25,54,2973.574074074074,2964.5,6.425700875381642,5055.518518518518
ALNS,0.5,54,2947.8703703703704,2943.5,5.461295723236076,10864.25925925926
ALNS,0.75,54,2932.6666666666665,2943.5,4.8162053022543265,17010.333333333332
ALNS,1.0,54,2921.8333333333335,2943.5,4.341015941632121,22903.51851851852
LG_HGA_2O,0.1,54,3258.240740740741,2981.0,13.961520601396323,2952.8888888888887
LG_HGA_2O,0.25,54,3089.3518518518517,2949.0,8.97442297374542,6057.462962962963
LG_HGA_2O,0.5,54,2968.6111111111113,2939.5,5.322882390161208,13437.111111111111
LG_HGA_2O,0.75,54,2927.1481481481483,2914.5,4.146325197306213,18003.555555555555
LG_HGA_2O,1.0,54,2899.3333333333335,2914.5,3.321730642008797,22826.185185185186
P1_CSG_ADAPTIVE_PORTFOLIO,0.1,54,3063.537037037037,3132.0,9.916779367099993,507.3703703703704
P1_CSG_ADAPTIVE_PORTFOLIO,0.25,54,3000.222222222222,2965.5,7.52153717812962,2390.777777777778
P1_CSG_ADAPTIVE_PORTFOLIO,0.5,54,2972.1666666666665,2950.0,6.458178734293792,4699.222222222223
P1_CSG_ADAPTIVE_PORTFOLIO,0.75,54,2954.8888888888887,2948.5,5.762618616498705,7338.037037037037
P1_CSG_ADAPTIVE_PORTFOLIO,1.0,54,2938.296296296296,2903.5,5.087621726653604,10799.074074074075
PHASE6H,0.1,54,2985.796296296296,2963.5,7.7419038138880225,303.962962962963
PHASE6H,0.25,54,2961.722222222222,2931.5,6.690745745660551,1532.851851851852
PHASE6H,0.5,54,2938.814814814815,2907.5,5.650947940801268,3570.037037037037
PHASE6H,0.75,54,2931.3703703703704,2899.5,5.340610009285105,4839.814814814815
PHASE6H,1.0,54,2924.962962962963,2889.0,5.036955922790999,7439.962962962963
PHASE6N_DETERMINISTIC_TOP1,0.1,54,3071.722222222222,3146.0,10.31120843081328,498.77777777777777
PHASE6N_DETERMINISTIC_TOP1,0.25,54,3005.1111111111113,2961.0,7.603929809469399,2340.1111111111113
PHASE6N_DETERMINISTIC_TOP1,0.5,54,2960.5555555555557,2907.0,6.026878128218863,5810.925925925926
PHASE6N_DETERMINISTIC_TOP1,0.75,54,2943.4444444444443,2907.0,5.358450968554355,7862.62962962963
PHASE6N_DETERMINISTIC_TOP1,1.0,54,2936.203703703704,2901.5,5.078410745462766,10142.925925925925
