method,instance_id,instance_sha256,scale,CF_level,cell_replicate,seed,num_operations,budget_seconds,final_makespan,runtime_seconds,outer_runtime_seconds,best_found_seconds,decoder_evaluations,iterations,neural_decisions,fallback_count,feasible,result_path,current_development_bks,rpd_percent,hit_current_development_bks
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF1_RI2_TI2_R12,c0b6374d4eb72ada83b8a8452425b71b4322e61123edbb755f2cd08927288b7a,L,CF1,C01,746101,166,332.0,3460.0,332.07489355897997,333.96835001997533,329.7261506499781,20322,2541,509,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF1_RI2_TI2_R12/seed_746101.json,3453.0,0.20272227048942948,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF1_RI2_TI2_R12,c0b6374d4eb72ada83b8a8452425b71b4322e61123edbb755f2cd08927288b7a,L,CF1,C01,746102,166,332.0,3507.0,332.0007272740186,332.0009002290026,81.51317175899749,20138,2518,504,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF1_RI2_TI2_R12/seed_746102.json,3453.0,1.5638575152041703,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF1_RI2_TI2_R12,c0b6374d4eb72ada83b8a8452425b71b4322e61123edbb755f2cd08927288b7a,L,CF1,C01,746103,166,332.0,3543.0,332.0003161970235,332.00044527600403,113.61155522800982,20146,2519,504,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF1_RI2_TI2_R12/seed_746103.json,3453.0,2.6064291920069507,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,dd5c1ce71a5d72aad6c85617cb1718c9e57f3a6cfe23a0d18a92f0942ba56dc1,L,CF1,C02,746101,172,344.0,3742.0,344.0001538009965,344.0003942709882,191.07782744898577,19749,2469,494,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF1_RI2_TI2_R12_C02/seed_746101.json,3710.0,0.862533692722372,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,dd5c1ce71a5d72aad6c85617cb1718c9e57f3a6cfe23a0d18a92f0942ba56dc1,L,CF1,C02,746102,172,344.0,3738.0,344.000637930003,344.00086266797734,323.56347782100784,19965,2496,500,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF1_RI2_TI2_R12_C02/seed_746102.json,3710.0,0.7547169811320755,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,dd5c1ce71a5d72aad6c85617cb1718c9e57f3a6cfe23a0d18a92f0942ba56dc1,L,CF1,C02,746103,172,344.0,3754.0,344.00134611999965,344.0015236180043,137.34068069397472,19883,2486,498,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF1_RI2_TI2_R12_C02/seed_746103.json,3710.0,1.1859838274932615,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF2_RI2_TI2_R12,74b633a78dfe171189160ec0651f63c472fd7c4b456c8aa149cbc69f56bbcc8c,L,CF2,C01,746101,188,376.0,4363.0,376.00484132001293,376.0051102830039,317.501289012027,19638,2455,491,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF2_RI2_TI2_R12/seed_746101.json,4166.0,4.728756601056169,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF2_RI2_TI2_R12,74b633a78dfe171189160ec0651f63c472fd7c4b456c8aa149cbc69f56bbcc8c,L,CF2,C01,746102,188,376.0,4368.0,376.0114231740008,376.0115882460086,199.60112103199936,19571,2447,490,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF2_RI2_TI2_R12/seed_746102.json,4166.0,4.84877580412866,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF2_RI2_TI2_R12,74b633a78dfe171189160ec0651f63c472fd7c4b456c8aa149cbc69f56bbcc8c,L,CF2,C01,746103,188,376.0,4465.0,376.00360881499364,376.0039709240082,66.37183284098865,19352,2419,484,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF2_RI2_TI2_R12/seed_746103.json,4166.0,7.177148343734998,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,48a9ab11246faafcf8189c16695cbf926f0ae8bdbc42dfab76d38b2d7830b091,L,CF2,C02,746101,194,388.0,4148.0,388.0112593190279,388.01163979500416,1.1479964680038393,19535,2442,489,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF2_RI2_TI2_R12_C02/seed_746101.json,3957.0,4.826889057366692,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,48a9ab11246faafcf8189c16695cbf926f0ae8bdbc42dfab76d38b2d7830b091,L,CF2,C02,746102,194,388.0,4203.0,388.00610617001075,388.0064609639812,0.48591475700959563,19552,2444,489,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF2_RI2_TI2_R12_C02/seed_746102.json,3957.0,6.21683093252464,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,48a9ab11246faafcf8189c16695cbf926f0ae8bdbc42dfab76d38b2d7830b091,L,CF2,C02,746103,194,388.0,4150.0,388.0097405439883,388.0099813849956,1.8763462379865814,19676,2460,492,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF2_RI2_TI2_R12_C02/seed_746103.json,3957.0,4.877432398281527,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF3_RI2_TI2_R12,bdb01c2b6350b572dcac6be3c542e696143bd4766ab3ae7939bff36e6234f25b,L,CF3,C01,746101,183,366.0,4209.0,366.012341034977,366.0126717569947,342.1064280739811,19697,2462,493,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF3_RI2_TI2_R12/seed_746101.json,4145.0,1.5440289505428226,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF3_RI2_TI2_R12,bdb01c2b6350b572dcac6be3c542e696143bd4766ab3ae7939bff36e6234f25b,L,CF3,C01,746102,183,366.0,4460.0,366.01137325097807,366.01170722200186,312.7490186429932,19713,2464,493,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF3_RI2_TI2_R12/seed_746102.json,4145.0,7.599517490952955,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF3_RI2_TI2_R12,bdb01c2b6350b572dcac6be3c542e696143bd4766ab3ae7939bff36e6234f25b,L,CF3,C01,746103,183,366.0,4295.0,366.0106105390005,366.011447227007,298.8449939060083,19657,2457,492,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF3_RI2_TI2_R12/seed_746103.json,4145.0,3.6188178528347406,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,2373d994f8a29b3d5bc58aacb9c4f74c8c60d0950760ab044a7354c19b09f9b9,L,CF3,C02,746101,179,358.0,3469.0,358.00878429200384,358.00932386200293,0.5700093210034538,19680,2460,492,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF3_RI2_TI2_R12_C02/seed_746101.json,3180.0,9.08805031446541,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,2373d994f8a29b3d5bc58aacb9c4f74c8c60d0950760ab044a7354c19b09f9b9,L,CF3,C02,746102,179,358.0,3469.0,358.1318927470129,358.1320850669872,0.5596630540094338,19882,2486,498,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF3_RI2_TI2_R12_C02/seed_746102.json,3180.0,9.08805031446541,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,2373d994f8a29b3d5bc58aacb9c4f74c8c60d0950760ab044a7354c19b09f9b9,L,CF3,C02,746103,179,358.0,3469.0,358.18435004199273,358.18454167598975,0.6042258550005499,20242,2531,507,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF3_RI2_TI2_R12_C02/seed_746103.json,3180.0,9.08805031446541,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF1_RI2_TI2_R12,f3e73b5840e8e50e51b2bf81be2d17dc60648dd4666091ef91a94a0d3544e971,M,CF1,C01,746101,114,228.0,2884.0,228.0009984950011,228.0011035189964,191.43407559298794,21194,2650,530,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF1_RI2_TI2_R12/seed_746101.json,2743.0,5.140357273058695,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF1_RI2_TI2_R12,f3e73b5840e8e50e51b2bf81be2d17dc60648dd4666091ef91a94a0d3544e971,M,CF1,C01,746102,114,228.0,2808.0,228.0009824669978,228.0011491549958,44.66616501400131,21109,2639,528,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF1_RI2_TI2_R12/seed_746102.json,2743.0,2.3696682464454977,False
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF1_RI2_TI2_R12,f3e73b5840e8e50e51b2bf81be2d17dc60648dd4666091ef91a94a0d3544e971,M,CF1,C01,746103,114,228.0,2923.0,228.00154766702326,228.00179085801938,214.85332820902113,21337,2667,534,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF1_RI2_TI2_R12/seed_746103.json,2743.0,6.562158220925993,False
