CF_level,method,runs,mean_final_makespan,mean_rpd_percent,mean_decoder_evaluations
CF1,ALNS,18,2747.6666666666665,2.4168842499132754,40794.27777777778
CF1,LG_HGA_2O,18,2786.8888888888887,3.2741420682684144,38207.11111111111
CF1,P1_CSG_ADAPTIVE_PORTFOLIO,18,2749.3333333333335,2.581042307881993,19740.61111111111
CF1,PHASE6H,18,2776.1111111111113,3.8177753044762164,16787.666666666668
CF1,PHASE6N_DETERMINISTIC_TOP1,18,2759.1111111111113,3.0283558594309485,19936.444444444445
CF2,ALNS,18,3122.4444444444443,3.774789828333892,39349.77777777778
CF2,LG_HGA_2O,18,3120.3888888888887,3.709815259025578,36657.444444444445
CF2,P1_CSG_ADAPTIVE_PORTFOLIO,18,3153.5555555555557,5.206042217105846,19697.944444444445
CF2,PHASE6H,18,3108.1111111111113,4.028203600930362,16643.38888888889
CF2,PHASE6N_DETERMINISTIC_TOP1,18,3153.1666666666665,4.980064045491578,19929.666666666668
CF3,ALNS,18,2895.3888888888887,6.831373746649195,40105.333333333336
CF3,LG_HGA_2O,18,2790.722222222222,2.9812345987323985,36845.444444444445
CF3,P1_CSG_ADAPTIVE_PORTFOLIO,18,2912.0,7.475780654972971,19829.333333333332
CF3,PHASE6H,18,2890.6666666666665,7.264888862966419,16527.222222222223
CF3,PHASE6N_DETERMINISTIC_TOP1,18,2896.3333333333335,7.226812331465772,20073.833333333332
