instance_id,scale,CF_level,method,mean_final_makespan,median_final_makespan,best_final_makespan,mean_rpd_percent,mean_decoder_evaluations
CB1_CAUR_L_CF1_RI2_TI2_R12,L,CF1,ALNS,3497.6666666666665,3481.0,3470.0,1.2935611545515975,29052.666666666668
CB1_CAUR_L_CF1_RI2_TI2_R12,L,CF1,LG_HGA_2O,3530.3333333333335,3470.0,3453.0,2.239598416835602,28443.333333333332
CB1_CAUR_L_CF1_RI2_TI2_R12,L,CF1,P1_CSG_ADAPTIVE_PORTFOLIO,3503.3333333333335,3507.0,3460.0,1.4576696592335168,20202.0
CB1_CAUR_L_CF1_RI2_TI2_R12,L,CF1,PHASE6H,3556.3333333333335,3539.0,3468.0,2.992566850082054,17145.333333333332
CB1_CAUR_L_CF1_RI2_TI2_R12,L,CF1,PHASE6N_DETERMINISTIC_TOP1,3553.0,3548.0,3545.0,2.8960324355632783,20249.666666666668
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,ALNS,3749.0,3759.0,3710.0,1.051212938005391,28245.666666666668
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,LG_HGA_2O,4043.0,3811.0,3732.0,8.975741239892182,27876.0
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,P1_CSG_ADAPTIVE_PORTFOLIO,3744.6666666666665,3742.0,3738.0,0.9344115004492363,19865.666666666668
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,PHASE6H,3763.0,3772.0,3710.0,1.4285714285714286,17054.0
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,PHASE6N_DETERMINISTIC_TOP1,3761.6666666666665,3769.0,3737.0,1.3926325247079963,19965.333333333332
CB1_CAUR_L_CF2_RI2_TI2_R12,L,CF2,ALNS,4353.333333333333,4370.0,4295.0,4.496719475116019,26885.666666666668
CB1_CAUR_L_CF2_RI2_TI2_R12,L,CF2,LG_HGA_2O,4201.0,4202.0,4166.0,0.8401344215074412,26202.666666666668
CB1_CAUR_L_CF2_RI2_TI2_R12,L,CF2,P1_CSG_ADAPTIVE_PORTFOLIO,4398.666666666667,4368.0,4363.0,5.584893582973276,19520.333333333332
CB1_CAUR_L_CF2_RI2_TI2_R12,L,CF2,PHASE6H,4250.666666666667,4254.0,4188.0,2.0323251720275244,16504.0
CB1_CAUR_L_CF2_RI2_TI2_R12,L,CF2,PHASE6N_DETERMINISTIC_TOP1,4387.333333333333,4375.0,4236.0,5.312850056008961,19671.0
CB1_CAUR_L_CF2_RI2_TI2_R12_C02,L,CF2,ALNS,4139.333333333333,4119.0,4096.0,4.607867913402409,27012.333333333332
CB1_CAUR_L_CF2_RI2_TI2_R12_C02,L,CF2,LG_HGA_2O,4237.666666666667,4233.0,4190.0,7.092915508381769,26201.333333333332
CB1_CAUR_L_CF2_RI2_TI2_R12_C02,L,CF2,P1_CSG_ADAPTIVE_PORTFOLIO,4167.0,4150.0,4148.0,5.307050796057619,19587.666666666668
CB1_CAUR_L_CF2_RI2_TI2_R12_C02,L,CF2,PHASE6H,4101.666666666667,4150.0,3957.0,3.6559683261730265,16631.666666666668
CB1_CAUR_L_CF2_RI2_TI2_R12_C02,L,CF2,PHASE6N_DETERMINISTIC_TOP1,4147.333333333333,4148.0,4091.0,4.810041277061747,19760.666666666668
CB1_CAUR_L_CF3_RI2_TI2_R12,L,CF3,ALNS,4303.666666666667,4358.0,4162.0,3.827905106554081,27784.0
CB1_CAUR_L_CF3_RI2_TI2_R12,L,CF3,LG_HGA_2O,4328.666666666667,4337.0,4167.0,4.431041415359871,26608.0
CB1_CAUR_L_CF3_RI2_TI2_R12,L,CF3,P1_CSG_ADAPTIVE_PORTFOLIO,4321.333333333333,4295.0,4209.0,4.254121431443505,19689.0
CB1_CAUR_L_CF3_RI2_TI2_R12,L,CF3,PHASE6H,4196.333333333333,4147.0,4145.0,1.2384398874145557,16391.666666666668
CB1_CAUR_L_CF3_RI2_TI2_R12,L,CF3,PHASE6N_DETERMINISTIC_TOP1,4274.0,4265.0,4200.0,3.1121833534378767,19840.666666666668
CB1_CAUR_L_CF3_RI2_TI2_R12_C02,L,CF3,ALNS,3447.6666666666665,3469.0,3405.0,8.417190775681343,28565.666666666668
CB1_CAUR_L_CF3_RI2_TI2_R12_C02,L,CF3,LG_HGA_2O,3243.6666666666665,3222.0,3180.0,2.0020964360587,27129.333333333332
CB1_CAUR_L_CF3_RI2_TI2_R12_C02,L,CF3,P1_CSG_ADAPTIVE_PORTFOLIO,3469.0,3469.0,3469.0,9.08805031446541,19934.666666666668
CB1_CAUR_L_CF3_RI2_TI2_R12_C02,L,CF3,PHASE6H,3452.0,3469.0,3418.0,8.553459119496855,16703.333333333332
CB1_CAUR_L_CF3_RI2_TI2_R12_C02,L,CF3,PHASE6N_DETERMINISTIC_TOP1,3455.6666666666665,3469.0,3429.0,8.668763102725366,20277.0
CB1_CAUR_M_CF1_RI2_TI2_R12,M,CF1,ALNS,2941.0,2938.0,2936.0,7.218374043018592,38135.333333333336
CB1_CAUR_M_CF1_RI2_TI2_R12,M,CF1,LG_HGA_2O,2890.0,2920.0,2812.0,5.3590958804228945,36586.0
CB1_CAUR_M_CF1_RI2_TI2_R12,M,CF1,P1_CSG_ADAPTIVE_PORTFOLIO,2871.6666666666665,2884.0,2808.0,4.690727913476729,21213.333333333332
CB1_CAUR_M_CF1_RI2_TI2_R12,M,CF1,PHASE6H,2841.6666666666665,2868.0,2756.0,3.59703487665573,17943.0
CB1_CAUR_M_CF1_RI2_TI2_R12,M,CF1,PHASE6N_DETERMINISTIC_TOP1,2820.6666666666665,2806.0,2743.0,2.831449750881031,21228.666666666668
CB1_CAUR_M_CF1_RI2_TI2_R12_C02,M,CF1,ALNS,2810.0,2810.0,2799.0,1.370851370851371,37619.0
CB1_CAUR_M_CF1_RI2_TI2_R12_C02,M,CF1,LG_HGA_2O,2787.0,2788.0,2772.0,0.541125541125541,35284.666666666664
CB1_CAUR_M_CF1_RI2_TI2_R12_C02,M,CF1,P1_CSG_ADAPTIVE_PORTFOLIO,2846.6666666666665,2849.0,2827.0,2.6936026936026938,21139.0
CB1_CAUR_M_CF1_RI2_TI2_R12_C02,M,CF1,PHASE6H,2875.0,2878.0,2867.0,3.7157287157287158,17995.666666666668
CB1_CAUR_M_CF1_RI2_TI2_R12_C02,M,CF1,PHASE6N_DETERMINISTIC_TOP1,2843.0,2874.0,2776.0,2.5613275613275612,21561.0
CB1_CAUR_M_CF2_RI2_TI2_R12,M,CF2,ALNS,2929.6666666666665,2965.0,2854.0,5.307931943445962,36634.333333333336
CB1_CAUR_M_CF2_RI2_TI2_R12,M,CF2,LG_HGA_2O,2870.6666666666665,2909.0,2782.0,3.187155523604121,34502.0
CB1_CAUR_M_CF2_RI2_TI2_R12,M,CF2,P1_CSG_ADAPTIVE_PORTFOLIO,2918.0,2947.0,2856.0,4.888569374550683,21108.0
