method,instance_id,scale,CF_level,cell_replicate,seed,budget_seconds,result_source,final_makespan,runtime_seconds,outer_runtime_seconds,best_found_seconds,decoder_evaluations,iterations,neural_decisions,fallback_count,feasible,result_path
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF1_RI2_TI2_R12,L,CF1,C01,746101,332.0,NEW_RUN,3460.0,332.07489355897997,333.96835001997533,329.7261506499781,20322,2541,509,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF1_RI2_TI2_R12/seed_746101.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF1_RI2_TI2_R12,L,CF1,C01,746102,332.0,NEW_RUN,3507.0,332.0007272740186,332.0009002290026,81.51317175899749,20138,2518,504,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF1_RI2_TI2_R12/seed_746102.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF1_RI2_TI2_R12,L,CF1,C01,746103,332.0,NEW_RUN,3543.0,332.0003161970235,332.00044527600403,113.61155522800982,20146,2519,504,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF1_RI2_TI2_R12/seed_746103.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,C02,746101,344.0,NEW_RUN,3742.0,344.0001538009965,344.0003942709882,191.07782744898577,19749,2469,494,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF1_RI2_TI2_R12_C02/seed_746101.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,C02,746102,344.0,NEW_RUN,3738.0,344.000637930003,344.00086266797734,323.56347782100784,19965,2496,500,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF1_RI2_TI2_R12_C02/seed_746102.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,C02,746103,344.0,NEW_RUN,3754.0,344.00134611999965,344.0015236180043,137.34068069397472,19883,2486,498,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF1_RI2_TI2_R12_C02/seed_746103.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF2_RI2_TI2_R12,L,CF2,C01,746101,376.0,NEW_RUN,4363.0,376.00484132001293,376.0051102830039,317.501289012027,19638,2455,491,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF2_RI2_TI2_R12/seed_746101.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF2_RI2_TI2_R12,L,CF2,C01,746102,376.0,NEW_RUN,4368.0,376.0114231740008,376.0115882460086,199.60112103199936,19571,2447,490,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF2_RI2_TI2_R12/seed_746102.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF2_RI2_TI2_R12,L,CF2,C01,746103,376.0,NEW_RUN,4465.0,376.00360881499364,376.0039709240082,66.37183284098865,19352,2419,484,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF2_RI2_TI2_R12/seed_746103.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,L,CF2,C02,746101,388.0,NEW_RUN,4148.0,388.0112593190279,388.01163979500416,1.1479964680038393,19535,2442,489,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF2_RI2_TI2_R12_C02/seed_746101.json
