scale,method,runs,mean_final_makespan,mean_rpd_percent,mean_decoder_evaluations
L,ALNS,18,3915.1111111111113,3.9490762272184727,27924.333333333332
L,LG_HGA_2O,18,3930.722222222222,4.263587906339262,27076.777777777777
L,P1_CSG_ADAPTIVE_PORTFOLIO,18,3934.0,4.437699547437094,19799.88888888889
L,PHASE6H,18,3886.6666666666665,3.3168884639609075,16738.333333333332
L,PHASE6N_DETERMINISTIC_TOP1,18,3929.8333333333335,4.365417124917538,19960.722222222223
M,ALNS,18,3075.9444444444443,5.530019513048886,37409.833333333336
M,LG_HGA_2O,18,3002.6111111111113,2.780099577245631,35282.333333333336
M,P1_CSG_ADAPTIVE_PORTFOLIO,18,3076.1666666666665,5.508358167954132,21195.722222222223
M,PHASE6H,18,3056.4444444444443,4.889561317209279,17800.277777777777
M,PHASE6N_DETERMINISTIC_TOP1,18,3066.4444444444443,5.115325740604497,21437.444444444445
S,ALNS,18,1774.4444444444443,3.543952084629004,54915.22222222222
S,LG_HGA_2O,18,1764.6666666666667,2.9215044424414987,49350.88888888889
S,P1_CSG_ADAPTIVE_PORTFOLIO,18,1804.7222222222222,5.316807464569585,18272.277777777777
S,PHASE6H,18,1831.7777777777778,6.90441798720281,15419.666666666666
S,PHASE6N_DETERMINISTIC_TOP1,18,1812.3333333333333,5.754489370866264,18541.777777777777
