distribution,category,count,fraction
neural_rank,1,10913,0.40861946306211855
neural_rank,2,5418,0.2028681619051185
neural_rank,3,3678,0.13771670348597745
neural_rank,4,2718,0.10177107125472723
neural_rank,5,2209,0.08271239749878309
neural_rank,6,1771,0.06631220279327517
origin_rule,operator_random,173,0.006252484730203477
origin_rule,operator_critical,0,0.0
origin_rule,operator_overloaded_island,2316,0.08370378401821534
origin_rule,operator_high_reconfiguration,586,0.02117893671618056
origin_rule,operator_w_bottleneck,304,0.010987025190646572
origin_rule,operator_f_bottleneck,204,0.007372872167407568
origin_rule,operator_related,891,0.03220210343705952
origin_rule,related_variant_1,2505,0.09053453323213705
origin_rule,related_variant_2,2546,0.09201633597166504
origin_rule,related_variant_3,2499,0.09031768405074271
origin_rule,related_variant_4,2663,0.09624489500885468
origin_rule,matched_random_1,241,0.008710108786006
origin_rule,matched_random_2,228,0.00824026889298493
origin_rule,matched_random_3,234,0.00845711807437927
origin_rule,one_operation_swap,1601,0.057862589902056456
origin_rule,two_operation_swap,890,0.032165961906827134
origin_rule,related_replace_25,409,0.014781885865047526
origin_rule,related_replace_50,206,0.007445155227872348
origin_rule,near_same_product,1716,0.06201886587878131
origin_rule,near_precedence_neighbor,950,0.034334453720770534
origin_rule,near_same_island_chain,975,0.035237991976580285
origin_rule,near_high_W_delay,2895,0.10462973002276917
origin_rule,near_high_F_delay,2111,0.07629477032057537
origin_rule,near_low_slack,526,0.01901044490223716
origin_family,ORIGINAL_OPERATOR,4471,0.16625144089540028
origin_family,RELATED_VARIANT,9443,0.3511322649016473
origin_family,MATCHED_RANDOM,703,0.026140631391068307
origin_family,LOCAL_PERTURBATION,3106,0.1154947384077641
origin_family,STRUCTURED_NEAR_NEIGHBOR,9170,0.34098092440412003
credited_destroy_operator,random,16293,0.12209890513410421
credited_destroy_operator,critical,15252,0.11429770460353264
credited_destroy_operator,overloaded_island,17357,0.13007246648331472
credited_destroy_operator,high_reconfiguration,15878,0.11898891644996665
credited_destroy_operator,w_bottleneck,15258,0.1143426682953515
credited_destroy_operator,f_bottleneck,14525,0.10884960394481456
credited_destroy_operator,related,38878,0.2913497350889157
repair_operator,greedy,25612,0.19202567140008098
repair_operator,regret2,25853,0.19383256609035973
repair_operator,regret3,25705,0.1927229378158317
repair_operator,reconfiguration_aware,25874,0.19399001334552926
repair_operator,transport_aware,30334,0.22742881134819834
