instance_id,scale,CF_level,replicate,selection_rule,number_of_operations,instance_path,instance_sha256
CB1_CORE_L_CF1_R01,L,CF1,R01,lexicographically_first_two_canonical_ids_per_scale_cf,190,instances/controlled/RCIAS-CB1/core/CB1_CORE_L_CF1_R01.json,1d0ff8ea412a6e10ed15bd6f7f162f2900748cd49c7b6e44613c9eaf740433b0
CB1_CORE_L_CF1_R02,L,CF1,R02,lexicographically_first_two_canonical_ids_per_scale_cf,181,instances/controlled/RCIAS-CB1/core/CB1_CORE_L_CF1_R02.json,dda5c695a61d24135bf7ccfde87a44cda6924819f907a546d5e7095f9612ec35
CB1_CORE_L_CF2_R01,L,CF2,R01,lexicographically_first_two_canonical_ids_per_scale_cf,195,instances/controlled/RCIAS-CB1/core/CB1_CORE_L_CF2_R01.json,c910f6338fd2eda09e40846239e70fb49ee1ee147d9658a646f722b01c55e1ff
CB1_CORE_L_CF2_R02,L,CF2,R02,lexicographically_first_two_canonical_ids_per_scale_cf,183,instances/controlled/RCIAS-CB1/core/CB1_CORE_L_CF2_R02.json,84bd210098b55e9ad0b7984c88e8be7c7d7d365bd2ba75349b927a960a5653b3
CB1_CORE_L_CF3_R01,L,CF3,R01,lexicographically_first_two_canonical_ids_per_scale_cf,193,instances/controlled/RCIAS-CB1/core/CB1_CORE_L_CF3_R01.json,f937a476863709da9e2955e3669054d9e68c479f6aba93790848b24a7fdf4523
CB1_CORE_L_CF3_R02,L,CF3,R02,lexicographically_first_two_canonical_ids_per_scale_cf,167,instances/controlled/RCIAS-CB1/core/CB1_CORE_L_CF3_R02.json,7805382989786b51097543b7dfec4441d6593c63dcb86ec8df7e5c7843baeceb
CB1_CORE_M_CF1_R01,M,CF1,R01,lexicographically_first_two_canonical_ids_per_scale_cf,114,instances/controlled/RCIAS-CB1/core/CB1_CORE_M_CF1_R01.json,dffff763938b532669fe68dd0c8f7b81a02c8a4a3b02342e14729fa4e06c28e3
CB1_CORE_M_CF1_R02,M,CF1,R02,lexicographically_first_two_canonical_ids_per_scale_cf,130,instances/controlled/RCIAS-CB1/core/CB1_CORE_M_CF1_R02.json,13d165f43e6eb5a09a8b85ea4439b1241eb9234a205fe7942f6587cd260cbcb4
CB1_CORE_M_CF2_R01,M,CF2,R01,lexicographically_first_two_canonical_ids_per_scale_cf,122,instances/controlled/RCIAS-CB1/core/CB1_CORE_M_CF2_R01.json,983354c3cc4819aae0b4ad306075b96b8d9eb53be870e09120716cd6d3356593
CB1_CORE_M_CF2_R02,M,CF2,R02,lexicographically_first_two_canonical_ids_per_scale_cf,115,instances/controlled/RCIAS-CB1/core/CB1_CORE_M_CF2_R02.json,d09db4a80f0e8555b350c8d92e096da16459f85f6607f1225131a370569a9d53
CB1_CORE_M_CF3_R01,M,CF3,R01,lexicographically_first_two_canonical_ids_per_scale_cf,111,instances/controlled/RCIAS-CB1/core/CB1_CORE_M_CF3_R01.json,4dd5d9906a4e9b7540ec062c7d647461f7592afa61332a8b958ef0950c29a43f
CB1_CORE_M_CF3_R02,M,CF3,R02,lexicographically_first_two_canonical_ids_per_scale_cf,128,instances/controlled/RCIAS-CB1/core/CB1_CORE_M_CF3_R02.json,e79999fc4482042a671a684f128f5812a5e80bd78da2dec121ad3c1eae6b272c
CB1_CORE_S_CF1_R01,S,CF1,R01,lexicographically_first_two_canonical_ids_per_scale_cf,62,instances/controlled/RCIAS-CB1/core/CB1_CORE_S_CF1_R01.json,cd560d90a8678fd06c75f397f06385c09c868eae8dcd254b6acca9905e2ed4c8
CB1_CORE_S_CF1_R02,S,CF1,R02,lexicographically_first_two_canonical_ids_per_scale_cf,65,instances/controlled/RCIAS-CB1/core/CB1_CORE_S_CF1_R02.json,2538cae9e91619d92b8d273949e6732e36bf3f70ecde05310db58ad0bc5d03c3
CB1_CORE_S_CF2_R01,S,CF2,R01,lexicographically_first_two_canonical_ids_per_scale_cf,64,instances/controlled/RCIAS-CB1/core/CB1_CORE_S_CF2_R01.json,f794b5fa81189d062f8094f835c32765e9b6d8a4e9a109b77c34165850301690
CB1_CORE_S_CF2_R02,S,CF2,R02,lexicographically_first_two_canonical_ids_per_scale_cf,63,instances/controlled/RCIAS-CB1/core/CB1_CORE_S_CF2_R02.json,c5ab40e6242a57fae8a9d1139a5a9d07ce3b519f6a535c69de1fce3a169b20fa
CB1_CORE_S_CF3_R01,S,CF3,R01,lexicographically_first_two_canonical_ids_per_scale_cf,65,instances/controlled/RCIAS-CB1/core/CB1_CORE_S_CF3_R01.json,f57c5e256bd021b3b16e8dfdb83ab2d26223ffdbe983628b3ef2a701811ce084
CB1_CORE_S_CF3_R02,S,CF3,R02,lexicographically_first_two_canonical_ids_per_scale_cf,57,instances/controlled/RCIAS-CB1/core/CB1_CORE_S_CF3_R02.json,2d4e4dacf57b786f3f66eed05339dfde1f8f62922acd80235ceeb648053f3484
