arm,instance_id,scale,CF_level,seed,time_limit_seconds,stored_makespan,replay_feasible,replay_makespan,replayed_action_count,violation_count,source_path,source_sha256,copied_raw_path,copied_raw_sha256
CSG-NI Full,CB1_CORE_L_CF1_R01,L,CF1,530101,380.0,4610.0,True,4610.0,190,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R01/seed_530101.json,20e1639d5966fd39fcc6078516c9124e081be476b857cf078c0407b470e1b1db,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R01/seed_530101.json,20e1639d5966fd39fcc6078516c9124e081be476b857cf078c0407b470e1b1db
CSG-NI Full,CB1_CORE_L_CF1_R01,L,CF1,530102,380.0,4659.0,True,4659.0,190,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R01/seed_530102.json,c32d90c317423a52c47fa20a19ba6ecdb4cde27651ff969efeae0c56d689e66b,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R01/seed_530102.json,c32d90c317423a52c47fa20a19ba6ecdb4cde27651ff969efeae0c56d689e66b
CSG-NI Full,CB1_CORE_L_CF1_R01,L,CF1,530103,380.0,4781.0,True,4781.0,190,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R01/seed_530103.json,9108a1fb81dd4232002c882ad51f9c0084baa9b6204614ab08a9683a7fc75a3e,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R01/seed_530103.json,9108a1fb81dd4232002c882ad51f9c0084baa9b6204614ab08a9683a7fc75a3e
CSG-NI Full,CB1_CORE_L_CF1_R01,L,CF1,530104,380.0,4745.0,True,4745.0,190,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R01/seed_530104.json,f8daa3d5fd94360829c6c54ef7f73eecec70fd3282d1c5bc0bd3ca0307233f3b,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R01/seed_530104.json,f8daa3d5fd94360829c6c54ef7f73eecec70fd3282d1c5bc0bd3ca0307233f3b
CSG-NI Full,CB1_CORE_L_CF1_R01,L,CF1,530105,380.0,4676.0,True,4676.0,190,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R01/seed_530105.json,5646fa3b758113235e84c11f146e6e57a00ae750152420efed97b9eb71964ffe,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R01/seed_530105.json,5646fa3b758113235e84c11f146e6e57a00ae750152420efed97b9eb71964ffe
CSG-NI Full,CB1_CORE_L_CF1_R02,L,CF1,530101,362.0,4714.0,True,4714.0,181,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R02/seed_530101.json,ca9107f5aad9b9caec3417997c2676b9612f644d47370f64e5f269368a22d440,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R02/seed_530101.json,ca9107f5aad9b9caec3417997c2676b9612f644d47370f64e5f269368a22d440
CSG-NI Full,CB1_CORE_L_CF1_R02,L,CF1,530102,362.0,4684.0,True,4684.0,181,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R02/seed_530102.json,361f25be209bdffc2a77d3d5de928ac1b67c9ff01ad18ab9798461e640ef11d2,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R02/seed_530102.json,361f25be209bdffc2a77d3d5de928ac1b67c9ff01ad18ab9798461e640ef11d2
CSG-NI Full,CB1_CORE_L_CF1_R02,L,CF1,530103,362.0,4696.0,True,4696.0,181,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R02/seed_530103.json,701489ec27d1d31cfa9211e028411d35aec7b6c158f1ec7ccc3c0ea89b99e023,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R02/seed_530103.json,701489ec27d1d31cfa9211e028411d35aec7b6c158f1ec7ccc3c0ea89b99e023
CSG-NI Full,CB1_CORE_L_CF1_R02,L,CF1,530104,362.0,4673.0,True,4673.0,181,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R02/seed_530104.json,ff2826b67856549c9e52e7555e2a67bc2f5f20d319bc17c2b1a0c3b2f0a93ed3,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R02/seed_530104.json,ff2826b67856549c9e52e7555e2a67bc2f5f20d319bc17c2b1a0c3b2f0a93ed3
CSG-NI Full,CB1_CORE_L_CF1_R02,L,CF1,530105,362.0,4700.0,True,4700.0,181,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R02/seed_530105.json,230df68d029e04f3ced77595069a3ad0bb87caebc7e556e7fe4906de6c2c1fc7,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R02/seed_530105.json,230df68d029e04f3ced77595069a3ad0bb87caebc7e556e7fe4906de6c2c1fc7
CSG-NI Full,CB1_CORE_L_CF2_R01,L,CF2,530101,390.0,4636.0,True,4636.0,195,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF2_R01/seed_530101.json,f06f5894aae221e157d19a9708b24aaf001ada7a7fee648e2b82ed38531e8a89,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF2_R01/seed_530101.json,f06f5894aae221e157d19a9708b24aaf001ada7a7fee648e2b82ed38531e8a89
