arm,instance_id,scale,CF_level,operation_count,seed_count,median_rpd_percent,mean_rpd_percent,objective_rank,attains_pooled_best,median_decoder_evaluations,median_time_to_best_seconds,median_time_to_best_budget_fraction,median_runtime_seconds,feasibility_rate
CSG-NI Full,CB1_CORE_L_CF1_R01,L,CF1,190,5,1.4316702819956617,1.82646420824295,1.0,True,14866.0,174.07604021497536,0.4580948426709878,380.00948889902793,1.0
Uniform full-bank selection,CB1_CORE_L_CF1_R01,L,CF1,190,5,2.7114967462039044,2.8763557483731015,2.0,False,16099.0,179.2411342130008,0.4716871952973705,380.0139038669995,1.0
No NI (ALNS-H1),CB1_CORE_L_CF1_R01,L,CF1,190,5,7.3101952277657265,7.67462039045553,3.0,False,8197.0,275.5916441139998,0.725241168721052,380.02893036199384,1.0
CSG-NI Full,CB1_CORE_L_CF1_R02,L,CF1,181,5,0.4921891718382196,0.4365503958912904,1.0,True,15806.0,245.96438813902205,0.6794596357431548,362.0106482980191,1.0
Uniform full-bank selection,CB1_CORE_L_CF1_R02,L,CF1,181,5,0.6205863471003638,0.5820671945217205,2.0,False,16627.0,276.68720757900064,0.7643293027044217,362.0074461050008,1.0
No NI (ALNS-H1),CB1_CORE_L_CF1_R02,L,CF1,181,5,3.980312433126471,3.8989942221271128,3.0,False,8422.0,223.19043334099115,0.616548158400528,362.0288032749959,1.0
CSG-NI Full,CB1_CORE_L_CF2_R01,L,CF2,195,5,2.1595416483032173,2.1022476862053767,1.0,True,15450.0,96.35226519400021,0.24705709024102618,390.0454957030015,1.0
Uniform full-bank selection,CB1_CORE_L_CF2_R01,L,CF2,195,5,3.8563243719700306,3.486117232260908,2.0,False,16370.0,128.3868437580004,0.32919703527692407,390.0361095949993,1.0
No NI (ALNS-H1),CB1_CORE_L_CF2_R01,L,CF2,195,5,4.803878360511239,5.1035698545614805,3.0,False,7597.0,225.9412135470193,0.5793364449923571,390.0285564310034,1.0
CSG-NI Full,CB1_CORE_L_CF2_R02,L,CF2,183,5,3.9526627218934913,4.179881656804734,1.0,False,15930.0,5.561356471967883,0.015194963038163615,366.04234555602307,1.0
Uniform full-bank selection,CB1_CORE_L_CF2_R02,L,CF2,183,5,4.733727810650888,4.085207100591716,2.0,True,16321.0,177.94209951500125,0.48618059976776296,366.0141708760002,1.0
No NI (ALNS-H1),CB1_CORE_L_CF2_R02,L,CF2,183,5,6.461538461538462,7.010650887573965,3.0,False,8314.0,94.7498344630003,0.2588793291338806,366.0318155060231,1.0
CSG-NI Full,CB1_CORE_L_CF3_R01,L,CF3,193,5,2.1899392888117952,3.018213356461405,1.0,True,15482.0,80.18080488400301,0.20772229244560364,386.0652723569656,1.0
Uniform full-bank selection,CB1_CORE_L_CF3_R01,L,CF3,193,5,6.461405030355594,5.620121422376409,2.0,False,16130.0,296.04857914400054,0.7669652309430066,386.01062558599915,1.0
No NI (ALNS-H1),CB1_CORE_L_CF3_R01,L,CF3,193,5,7.328707718993929,7.267996530789246,3.0,False,8196.0,205.19954686402343,0.5316050436891798,386.02445485501084,1.0
CSG-NI Full,CB1_CORE_L_CF3_R02,L,CF3,167,5,2.7313266443701227,1.9899665551839465,1.0,True,15906.0,0.7086088200449012,0.0021215832935476083,334.0084602420102,1.0
Uniform full-bank selection,CB1_CORE_L_CF3_R02,L,CF3,167,5,3.0657748049052396,2.4247491638795986,2.0,False,16506.0,0.7262942790002853,0.002174533769461932,334.004150449,1.0
No NI (ALNS-H1),CB1_CORE_L_CF3_R02,L,CF3,167,5,6.075808249721293,4.124860646599776,3.0,False,9077.0,1.9045356259739492,0.005702202472975896,334.0092158659827,1.0
CSG-NI Full,CB1_CORE_M_CF1_R01,M,CF1,114,5,0.7733952049497294,1.631863882443929,1.0,True,16819.0,111.52743116300553,0.48915539983774353,228.01657296501799,1.0
Uniform full-bank selection,CB1_CORE_M_CF1_R01,M,CF1,114,5,2.977571539056458,3.4338747099767977,2.0,True,19034.0,101.68471812399912,0.4459856058070137,228.02140240199878,1.0
No NI (ALNS-H1),CB1_CORE_M_CF1_R01,M,CF1,114,5,6.728538283062645,6.983758700696056,3.0,False,10886.0,208.0043293099734,0.9122996899560237,228.00408544001402,1.0
CSG-NI Full,CB1_CORE_M_CF1_R02,M,CF1,130,5,3.3725247524752477,3.440594059405941,1.0,True,16544.0,73.7233997519943,0.28355153750767037,260.0254968990339,1.0
Uniform full-bank selection,CB1_CORE_M_CF1_R02,M,CF1,130,5,4.26980198019802,4.8700495049504955,2.0,False,18830.0,81.27104162500109,0.31258092932692727,260.0051408800009,1.0
No NI (ALNS-H1),CB1_CORE_M_CF1_R02,M,CF1,130,5,5.074257425742574,5.767326732673267,3.0,False,10546.0,121.4695028430142,0.4671903955500546,260.0173852870066,1.0
CSG-NI Full,CB1_CORE_M_CF2_R01,M,CF2,122,5,2.59526938239159,2.273324572930355,1.0,True,16654.0,162.9190268300008,0.6677009296311508,244.00333290698472,1.0
Uniform full-bank selection,CB1_CORE_M_CF2_R01,M,CF2,122,5,3.0223390275952693,3.265440210249672,2.0,False,18361.0,210.13866524500008,0.8612240378893447,244.0040721919995,1.0
No NI (ALNS-H1),CB1_CORE_M_CF2_R01,M,CF2,122,5,7.194480946123521,5.9658344283837055,3.0,False,10418.0,113.11211880599149,0.46357425740160446,244.01271958599682,1.0
CSG-NI Full,CB1_CORE_M_CF2_R02,M,CF2,115,5,3.2561788936837974,3.303256178893684,1.0,True,16578.0,184.8450629709987,0.8036741868304291,230.00510496099014,1.0
Uniform full-bank selection,CB1_CORE_M_CF2_R02,M,CF2,115,5,4.746959591996862,4.668497449980384,2.0,False,18829.0,166.17017970800043,0.7224790422086975,230.0046798809999,1.0
No NI (ALNS-H1),CB1_CORE_M_CF2_R02,M,CF2,115,5,4.7861906630051,4.935268732836406,3.0,False,11225.0,149.14662130898796,0.6484635709086433,230.01091193500906,1.0
CSG-NI Full,CB1_CORE_M_CF3_R01,M,CF3,111,5,1.9767031415460643,1.6731380162372045,2.0,False,16354.0,0.4228657999774441,0.001904800900799298,222.00533676997293,1.0
Uniform full-bank selection,CB1_CORE_M_CF3_R01,M,CF3,111,5,1.5531238969290504,1.6872573243911049,1.0,True,18273.0,103.45820397900025,0.46602794585135243,222.00473783799862,1.0
No NI (ALNS-H1),CB1_CORE_M_CF3_R01,M,CF3,111,5,2.3296858453935756,3.0709495234733497,3.0,False,11969.0,0.8526944589975756,0.0038409660315206107,222.00514323700918,1.0
CSG-NI Full,CB1_CORE_M_CF3_R02,M,CF3,128,5,1.3316816351811707,2.248374109631465,1.0,False,16186.0,0.5250193699612282,0.0020508569139110477,256.0371336770477,1.0
Uniform full-bank selection,CB1_CORE_M_CF3_R02,M,CF3,128,5,2.384639207184887,2.198823165066584,2.0,True,18037.0,0.46630801600076666,0.0018215156875029948,256.0068924469997,1.0
No NI (ALNS-H1),CB1_CORE_M_CF3_R02,M,CF3,128,5,4.118922266955714,4.465778878909879,3.0,False,10836.0,0.9845283720060252,0.003845813953148536,256.0055054810073,1.0
CSG-NI Full,CB1_CORE_S_CF1_R01,S,CF1,62,5,1.8803418803418803,2.4045584045584047,1.0,True,15236.0,47.767325510969386,0.38522036702394663,124.02194570301799,1.0
Uniform full-bank selection,CB1_CORE_S_CF1_R01,S,CF1,62,5,2.849002849002849,2.6552706552706553,2.0,False,18330.0,96.84339146800085,0.7809950924838778,124.01476118399842,1.0
