ablation,instance_id,scale,CF_level,paired_rpd_difference_positive_favors_full,full_outcome
Uniform full-bank selection,CB1_CORE_L_CF1_R01,L,CF1,1.2798264642082426,win
No NI (ALNS-H1),CB1_CORE_L_CF1_R01,L,CF1,5.878524945770065,win
Uniform full-bank selection,CB1_CORE_L_CF1_R02,L,CF1,0.12839717526214417,win
No NI (ALNS-H1),CB1_CORE_L_CF1_R02,L,CF1,3.488123261288252,win
Uniform full-bank selection,CB1_CORE_L_CF2_R01,L,CF2,1.6967827236668134,win
No NI (ALNS-H1),CB1_CORE_L_CF2_R01,L,CF2,2.6443367122080215,win
Uniform full-bank selection,CB1_CORE_L_CF2_R02,L,CF2,0.7810650887573964,win
No NI (ALNS-H1),CB1_CORE_L_CF2_R02,L,CF2,2.5088757396449703,win
Uniform full-bank selection,CB1_CORE_L_CF3_R01,L,CF3,4.271465741543798,win
No NI (ALNS-H1),CB1_CORE_L_CF3_R01,L,CF3,5.138768430182134,win
Uniform full-bank selection,CB1_CORE_L_CF3_R02,L,CF3,0.33444816053511683,win
No NI (ALNS-H1),CB1_CORE_L_CF3_R02,L,CF3,3.34448160535117,win
Uniform full-bank selection,CB1_CORE_M_CF1_R01,M,CF1,2.2041763341067284,win
No NI (ALNS-H1),CB1_CORE_M_CF1_R01,M,CF1,5.955143078112916,win
Uniform full-bank selection,CB1_CORE_M_CF1_R02,M,CF1,0.8972772277227721,win
No NI (ALNS-H1),CB1_CORE_M_CF1_R02,M,CF1,1.7017326732673261,win
Uniform full-bank selection,CB1_CORE_M_CF2_R01,M,CF2,0.4270696452036793,win
No NI (ALNS-H1),CB1_CORE_M_CF2_R01,M,CF2,4.599211563731931,win
Uniform full-bank selection,CB1_CORE_M_CF2_R02,M,CF2,1.4907806983130643,win
No NI (ALNS-H1),CB1_CORE_M_CF2_R02,M,CF2,1.5300117693213027,win
Uniform full-bank selection,CB1_CORE_M_CF3_R01,M,CF3,-0.4235792446170139,loss
No NI (ALNS-H1),CB1_CORE_M_CF3_R01,M,CF3,0.3529827038475113,win
Uniform full-bank selection,CB1_CORE_M_CF3_R02,M,CF3,1.0529575720037163,win
No NI (ALNS-H1),CB1_CORE_M_CF3_R02,M,CF3,2.7872406317745435,win
Uniform full-bank selection,CB1_CORE_S_CF1_R01,S,CF1,0.9686609686609686,win
No NI (ALNS-H1),CB1_CORE_S_CF1_R01,S,CF1,1.1396011396011394,win
Uniform full-bank selection,CB1_CORE_S_CF1_R02,S,CF1,0.8559201141226818,win
No NI (ALNS-H1),CB1_CORE_S_CF1_R02,S,CF1,0.808368996671422,win
Uniform full-bank selection,CB1_CORE_S_CF2_R01,S,CF2,0.0,tie
No NI (ALNS-H1),CB1_CORE_S_CF2_R01,S,CF2,0.0,tie
Uniform full-bank selection,CB1_CORE_S_CF2_R02,S,CF2,0.0,tie
No NI (ALNS-H1),CB1_CORE_S_CF2_R02,S,CF2,0.0,tie
Uniform full-bank selection,CB1_CORE_S_CF3_R01,S,CF3,-1.3539651837524178,loss
No NI (ALNS-H1),CB1_CORE_S_CF3_R01,S,CF3,0.12894906511927795,win
Uniform full-bank selection,CB1_CORE_S_CF3_R02,S,CF3,-0.11567379988432624,loss
No NI (ALNS-H1),CB1_CORE_S_CF3_R02,S,CF3,1.272411798727588,win
