arm,instance_id,scale,CF_level,seed,operation_count,best_makespan,runtime_seconds,time_limit_seconds,best_found_time_seconds,decoder_evaluations,iterations,feasible,replay_feasible,result_path,result_sha256,pooled_best_makespan,rpd_percent
CSG-NI Full,CB1_CORE_L_CF1_R01,L,CF1,530101,190,4610.0,380.00653307902394,380.0,206.07910725002876,15019,1878,True,True,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R01/seed_530101.json,20e1639d5966fd39fcc6078516c9124e081be476b857cf078c0407b470e1b1db,4610.0,0.0
CSG-NI Full,CB1_CORE_L_CF1_R01,L,CF1,530102,190,4659.0,380.00901228102157,380.0,167.96730320801726,15018,1878,True,True,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R01/seed_530102.json,c32d90c317423a52c47fa20a19ba6ecdb4cde27651ff969efeae0c56d689e66b,4610.0,1.0629067245119306
CSG-NI Full,CB1_CORE_L_CF1_R01,L,CF1,530103,190,4781.0,380.03627963596955,380.0,174.07604021497536,14810,1852,True,True,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R01/seed_530103.json,9108a1fb81dd4232002c882ad51f9c0084baa9b6204614ab08a9683a7fc75a3e,4610.0,3.7093275488069413
CSG-NI Full,CB1_CORE_L_CF1_R01,L,CF1,530104,190,4745.0,380.0341640819679,380.0,303.60462194599677,14834,1855,True,True,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R01/seed_530104.json,f8daa3d5fd94360829c6c54ef7f73eecec70fd3282d1c5bc0bd3ca0307233f3b,4610.0,2.928416485900217
CSG-NI Full,CB1_CORE_L_CF1_R01,L,CF1,530105,190,4676.0,380.00948889902793,380.0,92.20269015204394,14866,1859,True,True,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R01/seed_530105.json,5646fa3b758113235e84c11f146e6e57a00ae750152420efed97b9eb71964ffe,4610.0,1.4316702819956617
Uniform full-bank selection,CB1_CORE_L_CF1_R01,L,CF1,530101,190,4735.0,380.02744437300044,380.0,148.17709665100028,16098,2013,True,True,paper_experiments/ablation/raw_results/random_full_bank_frozen_gate/runs/CB1_CORE_L_CF1_R01/seed_530101.json,c6aa93eb46c38d1fe412a9197c4e453d34b64d09b731969648a26aa3b6c6e1da,4610.0,2.7114967462039044
Uniform full-bank selection,CB1_CORE_L_CF1_R01,L,CF1,530102,190,4714.0,380.01098371399985,380.0,227.55967787200007,16269,2034,True,True,paper_experiments/ablation/raw_results/random_full_bank_frozen_gate/runs/CB1_CORE_L_CF1_R01/seed_530102.json,7e7db6073d988c99d6d0e47b1e7f2b9fd796ba26f1f1f2077f93928da9075c5e,4610.0,2.2559652928416485
Uniform full-bank selection,CB1_CORE_L_CF1_R01,L,CF1,530103,190,4689.0,380.0139038669995,380.0,320.420840965,16054,2007,True,True,paper_experiments/ablation/raw_results/random_full_bank_frozen_gate/runs/CB1_CORE_L_CF1_R01/seed_530103.json,e2e65baa029471a3d931fbd8cdbff8e568414479d5c89ccdeb55e9b36e08b00f,4610.0,1.7136659436008677
Uniform full-bank selection,CB1_CORE_L_CF1_R01,L,CF1,530104,190,4831.0,380.01150251000035,380.0,166.71451784799956,16109,2014,True,True,paper_experiments/ablation/raw_results/random_full_bank_frozen_gate/runs/CB1_CORE_L_CF1_R01/seed_530104.json,7b1fd41b98ac1a91dfbeff0d48127ad591bdb7c2db330399398717050d2d43cd,4610.0,4.793926247288503
Uniform full-bank selection,CB1_CORE_L_CF1_R01,L,CF1,530105,190,4744.0,380.01483915600056,380.0,179.2411342130008,16099,2013,True,True,paper_experiments/ablation/raw_results/random_full_bank_frozen_gate/runs/CB1_CORE_L_CF1_R01/seed_530105.json,1ef254784ae3e20894595fbdd9d635cc756bebf455a7d6f8ca862b26ee939b41,4610.0,2.9067245119305856
