arm,instance_id,scale,CF_level,seed,eligible_decisions,interventions,intervention_coverage,median_unique_bank_size,median_duplicate_rule_count,median_ni_overhead_ms_per_eligible_decision,cumulative_ni_overhead_fraction,median_uniform_rebuild_ms
CSG-NI Full,CB1_CORE_L_CF1_R01,L,CF1,530101,1878,613,0.32641107561235355,24.0,0.0,57.00615799287334,0.3194905290785971,0.0
CSG-NI Full,CB1_CORE_L_CF1_R01,L,CF1,530102,1878,407,0.2167199148029819,24.0,0.0,58.4013219922781,0.3228953551802537,0.0
CSG-NI Full,CB1_CORE_L_CF1_R01,L,CF1,530103,1852,1054,0.5691144708423326,24.0,0.0,58.83928301045671,0.32236799596574417,0.0
CSG-NI Full,CB1_CORE_L_CF1_R01,L,CF1,530104,1855,444,0.2393530997304582,24.0,0.0,59.77381597040221,0.3280682865928046,0.0
CSG-NI Full,CB1_CORE_L_CF1_R01,L,CF1,530105,1859,343,0.18450779989241528,24.0,0.0,57.06715601263568,0.32353222222253714,0.0
CSG-NI Full,CB1_CORE_L_CF1_R02,L,CF1,530101,1883,1841,0.9776951672862454,24.0,0.0,56.345123040955514,0.3435136160581643,0.0
CSG-NI Full,CB1_CORE_L_CF1_R02,L,CF1,530102,1976,1936,0.979757085020243,24.0,0.0,55.620338971493766,0.341828813096019,0.0
CSG-NI Full,CB1_CORE_L_CF1_R02,L,CF1,530103,1972,1924,0.9756592292089249,24.0,0.0,55.82774951471947,0.3411316887199889,0.0
CSG-NI Full,CB1_CORE_L_CF1_R02,L,CF1,530104,2122,1928,0.9085768143261075,24.0,0.0,52.69946000771597,0.34219184283017273,0.0
CSG-NI Full,CB1_CORE_L_CF1_R02,L,CF1,530105,2122,1897,0.8939679547596607,24.0,0.0,52.58964098175056,0.34050678689240005,0.0
CSG-NI Full,CB1_CORE_L_CF2_R01,L,CF2,530101,1913,66,0.03450078410872975,24.0,0.0,61.0470250248909,0.34775275622163443,0.0
CSG-NI Full,CB1_CORE_L_CF2_R01,L,CF2,530102,1932,64,0.033126293995859216,24.0,0.0,61.693615512922406,0.3417739359074475,0.0
CSG-NI Full,CB1_CORE_L_CF2_R01,L,CF2,530103,1934,66,0.03412616339193381,24.0,0.0,60.98998099332675,0.3337656913643381,0.0
CSG-NI Full,CB1_CORE_L_CF2_R01,L,CF2,530104,1931,65,0.033661315380631794,24.0,0.0,60.70012098643929,0.3364673190986051,0.0
CSG-NI Full,CB1_CORE_L_CF2_R01,L,CF2,530105,1937,115,0.05937016004130098,24.0,0.0,64.48327499674633,0.35223082749357704,0.0
CSG-NI Full,CB1_CORE_L_CF2_R02,L,CF2,530101,2048,1899,0.92724609375,24.0,0.0,54.92730450350791,0.35070315658546675,0.0
CSG-NI Full,CB1_CORE_L_CF2_R02,L,CF2,530102,2047,571,0.2789447972642892,24.0,0.0,55.71587395388633,0.3487251283159304,0.0
CSG-NI Full,CB1_CORE_L_CF2_R02,L,CF2,530103,1992,627,0.3147590361445783,24.0,0.0,57.35828203614801,0.35159881119360525,0.0
CSG-NI Full,CB1_CORE_L_CF2_R02,L,CF2,530104,1986,462,0.2326283987915408,24.0,0.0,57.81446100445464,0.34814474768786363,0.0
CSG-NI Full,CB1_CORE_L_CF2_R02,L,CF2,530105,1976,1425,0.7211538461538461,24.0,0.0,57.61927648563869,0.35269870223908995,0.0
CSG-NI Full,CB1_CORE_L_CF3_R01,L,CF3,530101,1931,1205,0.6240290005178664,24.0,0.0,60.74162502773106,0.345678870385645,0.0
CSG-NI Full,CB1_CORE_L_CF3_R01,L,CF3,530102,1933,614,0.31764097258147955,24.0,0.0,61.71594496117905,0.3524142218306474,0.0
CSG-NI Full,CB1_CORE_L_CF3_R01,L,CF3,530103,1941,371,0.19113858835651726,24.0,0.0,60.51362998550758,0.3458252737162482,0.0
CSG-NI Full,CB1_CORE_L_CF3_R01,L,CF3,530104,1945,87,0.04473007712082262,24.0,0.0,61.53225898742676,0.35362231319754367,0.0
