arm,scale,origin_family,selection_count,selection_fraction,total_interventions,reporting_boundary
CSG-NI Full,S,LOCAL_PERTURBATION,446,0.17691392304641015,2521,pooled state-level process diagnostic; not an inferential replicate count
CSG-NI Full,S,MATCHED_RANDOM,276,0.10948036493454978,2521,pooled state-level process diagnostic; not an inferential replicate count
CSG-NI Full,S,ORIGINAL_OPERATOR,580,0.23006743355811185,2521,pooled state-level process diagnostic; not an inferential replicate count
CSG-NI Full,S,RELATED_VARIANT,591,0.23443078143593812,2521,pooled state-level process diagnostic; not an inferential replicate count
CSG-NI Full,S,STRUCTURED_NEAR_NEIGHBOR,628,0.24910749702499008,2521,pooled state-level process diagnostic; not an inferential replicate count
CSG-NI Full,M,LOCAL_PERTURBATION,403,0.06984402079722704,5770,pooled state-level process diagnostic; not an inferential replicate count
CSG-NI Full,M,MATCHED_RANDOM,358,0.06204506065857886,5770,pooled state-level process diagnostic; not an inferential replicate count
CSG-NI Full,M,ORIGINAL_OPERATOR,2491,0.4317157712305026,5770,pooled state-level process diagnostic; not an inferential replicate count
CSG-NI Full,M,RELATED_VARIANT,814,0.14107452339688042,5770,pooled state-level process diagnostic; not an inferential replicate count
CSG-NI Full,M,STRUCTURED_NEAR_NEIGHBOR,1704,0.2953206239168111,5770,pooled state-level process diagnostic; not an inferential replicate count
CSG-NI Full,L,LOCAL_PERTURBATION,744,0.025902586777147234,28723,pooled state-level process diagnostic; not an inferential replicate count
CSG-NI Full,L,MATCHED_RANDOM,1361,0.04738362984367928,28723,pooled state-level process diagnostic; not an inferential replicate count
CSG-NI Full,L,ORIGINAL_OPERATOR,4814,0.16760087734568116,28723,pooled state-level process diagnostic; not an inferential replicate count
CSG-NI Full,L,RELATED_VARIANT,4570,0.15910594297253072,28723,pooled state-level process diagnostic; not an inferential replicate count
CSG-NI Full,L,STRUCTURED_NEAR_NEIGHBOR,17234,0.6000069630609616,28723,pooled state-level process diagnostic; not an inferential replicate count
Uniform full-bank selection,S,LOCAL_PERTURBATION,777,0.16567164179104477,4690,pooled state-level process diagnostic; not an inferential replicate count
Uniform full-bank selection,S,MATCHED_RANDOM,605,0.12899786780383796,4690,pooled state-level process diagnostic; not an inferential replicate count
Uniform full-bank selection,S,ORIGINAL_OPERATOR,1452,0.3095948827292111,4690,pooled state-level process diagnostic; not an inferential replicate count
Uniform full-bank selection,S,RELATED_VARIANT,672,0.14328358208955225,4690,pooled state-level process diagnostic; not an inferential replicate count
Uniform full-bank selection,S,STRUCTURED_NEAR_NEIGHBOR,1184,0.25245202558635393,4690,pooled state-level process diagnostic; not an inferential replicate count
Uniform full-bank selection,M,LOCAL_PERTURBATION,1181,0.16215845118769737,7283,pooled state-level process diagnostic; not an inferential replicate count
Uniform full-bank selection,M,MATCHED_RANDOM,956,0.1312645887683647,7283,pooled state-level process diagnostic; not an inferential replicate count
Uniform full-bank selection,M,ORIGINAL_OPERATOR,2157,0.29616916106000274,7283,pooled state-level process diagnostic; not an inferential replicate count
Uniform full-bank selection,M,RELATED_VARIANT,1227,0.16847452972676094,7283,pooled state-level process diagnostic; not an inferential replicate count
Uniform full-bank selection,M,STRUCTURED_NEAR_NEIGHBOR,1762,0.24193326925717423,7283,pooled state-level process diagnostic; not an inferential replicate count
Uniform full-bank selection,L,LOCAL_PERTURBATION,5478,0.1656436152520335,33071,pooled state-level process diagnostic; not an inferential replicate count
Uniform full-bank selection,L,MATCHED_RANDOM,4102,0.12403616461552418,33071,pooled state-level process diagnostic; not an inferential replicate count
Uniform full-bank selection,L,ORIGINAL_OPERATOR,9668,0.29234072147803214,33071,pooled state-level process diagnostic; not an inferential replicate count
Uniform full-bank selection,L,RELATED_VARIANT,5369,0.16234767621178675,33071,pooled state-level process diagnostic; not an inferential replicate count
Uniform full-bank selection,L,STRUCTURED_NEAR_NEIGHBOR,8454,0.25563182244262345,33071,pooled state-level process diagnostic; not an inferential replicate count
