method,instance_id,seed,budget_fraction,elapsed_wall_time,best_makespan,decoder_evaluations,incumbent_available,relative_gap_to_reference
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671301.0,0.05,17.7,4611.0,105,True,0.12435991221653264
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671301.0,0.1,35.4,4611.0,105,True,0.12435991221653264
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671301.0,0.25,88.5,4524.0,3441,True,0.10314557425018278
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671301.0,0.5,177.0,4510.0,7953,True,0.09973177273835643
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671301.0,0.75,265.5,4458.0,13529,True,0.0870519385515729
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671301.0,1.0,354.0,4458.0,13529,True,0.0870519385515729
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671302.0,0.05,17.7,4760.0,1,True,0.1606925140209705
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671302.0,0.1,35.4,4476.0,2017,True,0.0914411119239209
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671302.0,0.25,88.5,4425.0,5089,True,0.07900512070226773
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671302.0,0.5,177.0,4425.0,5089,True,0.07900512070226773
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671302.0,0.75,265.5,4425.0,5089,True,0.07900512070226773
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671302.0,1.0,354.0,4425.0,5089,True,0.07900512070226773
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671303.0,0.05,17.7,4685.0,33,True,0.1424042916361863
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671303.0,0.1,35.4,4685.0,33,True,0.1424042916361863
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671303.0,0.25,88.5,4685.0,33,True,0.1424042916361863
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671303.0,0.5,177.0,4474.0,8617,True,0.09095342599366019
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671303.0,0.75,265.5,4465.0,14993,True,0.08875883930748607
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671303.0,1.0,354.0,4465.0,14993,True,0.08875883930748607
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671304.0,0.05,17.7,4678.0,1033,True,0.1406973908802731
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671304.0,0.1,35.4,4357.0,2297,True,0.06242379907339668
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671304.0,0.25,88.5,4357.0,2297,True,0.06242379907339668
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671304.0,0.5,177.0,4357.0,2297,True,0.06242379907339668
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671304.0,0.75,265.5,4357.0,2297,True,0.06242379907339668
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671304.0,1.0,354.0,4357.0,2297,True,0.06242379907339668
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671305.0,0.05,17.7,4760.0,1,True,0.1606925140209705
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671305.0,0.1,35.4,4565.0,2177,True,0.11314313582053148
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671305.0,0.25,88.5,4475.0,4185,True,0.09119726895879054
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671305.0,0.5,177.0,4475.0,4185,True,0.09119726895879054
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671305.0,0.75,265.5,4439.0,14881,True,0.08241892221409408
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,671305.0,1.0,354.0,4391.0,20249,True,0.0707144598878322
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671301.0,0.05,19.3,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671301.0,0.1,38.6,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671301.0,0.25,96.5,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671301.0,0.5,193.0,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671301.0,0.75,289.5,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671301.0,1.0,386.0,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671302.0,0.05,19.3,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671302.0,0.1,38.6,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671302.0,0.25,96.5,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671302.0,0.5,193.0,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671302.0,0.75,289.5,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671302.0,1.0,386.0,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671303.0,0.05,19.3,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671303.0,0.1,38.6,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671303.0,0.25,96.5,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671303.0,0.5,193.0,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671303.0,0.75,289.5,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671303.0,1.0,386.0,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671304.0,0.05,19.3,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671304.0,0.1,38.6,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671304.0,0.25,96.5,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671304.0,0.5,193.0,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671304.0,0.75,289.5,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671304.0,1.0,386.0,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671305.0,0.05,19.3,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671305.0,0.1,38.6,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671305.0,0.25,96.5,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671305.0,0.5,193.0,4858.0,1,True,0.02467833790339591
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671305.0,0.75,289.5,4741.0,14833,True,0.0
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,671305.0,1.0,386.0,4741.0,14833,True,0.0
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671301.0,0.05,17.1,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671301.0,0.1,34.2,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671301.0,0.25,85.5,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671301.0,0.5,171.0,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671301.0,0.75,256.5,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671301.0,1.0,342.0,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671302.0,0.05,17.1,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671302.0,0.1,34.2,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671302.0,0.25,85.5,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671302.0,0.5,171.0,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671302.0,0.75,256.5,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671302.0,1.0,342.0,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671303.0,0.05,17.1,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671303.0,0.1,34.2,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671303.0,0.25,85.5,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671303.0,0.5,171.0,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671303.0,0.75,256.5,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671303.0,1.0,342.0,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671304.0,0.05,17.1,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671304.0,0.1,34.2,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671304.0,0.25,85.5,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671304.0,0.5,171.0,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671304.0,0.75,256.5,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671304.0,1.0,342.0,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671305.0,0.05,17.1,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671305.0,0.1,34.2,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671305.0,0.25,85.5,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671305.0,0.5,171.0,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671305.0,0.75,256.5,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,671305.0,1.0,342.0,3876.0,1,True,0.049553208773355006
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671301.0,0.05,12.700000000000001,3480.0,993,True,0.15961346217927352
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671301.0,0.1,25.400000000000002,3312.0,2617,True,0.10363212262579147
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671301.0,0.25,63.5,3168.0,5009,True,0.055648117294235355
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671301.0,0.5,127.0,3147.0,9353,True,0.04865044985004996
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671301.0,0.75,190.5,3130.0,15297,True,0.04298567144285248
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671301.0,1.0,254.0,3130.0,15297,True,0.04298567144285248
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671302.0,0.05,12.700000000000001,3526.0,593,True,0.1749416861046318
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671302.0,0.1,25.400000000000002,3320.0,2345,True,0.10629790069976663
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671302.0,0.25,63.5,3320.0,2345,True,0.10629790069976663
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671302.0,0.5,127.0,3272.0,12193,True,0.09030323225591474
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671302.0,0.75,190.5,3272.0,12193,True,0.09030323225591474
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671302.0,1.0,254.0,3243.0,28313,True,0.08063978673775418
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671303.0,0.05,12.700000000000001,3545.0,1057,True,0.18127290903032311
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671303.0,0.1,25.400000000000002,3217.0,1721,True,0.07197600799733417
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671303.0,0.25,63.5,3217.0,1721,True,0.07197600799733417
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671303.0,0.5,127.0,3194.0,10345,True,0.06431189603465515
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671303.0,0.75,190.5,3194.0,10345,True,0.06431189603465515
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671303.0,1.0,254.0,3193.0,28209,True,0.06397867377540822
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671304.0,0.05,12.700000000000001,3360.0,785,True,0.11962679106964336
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671304.0,0.1,25.400000000000002,3292.0,2361,True,0.096967677440853
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671304.0,0.25,63.5,3196.0,5657,True,0.064978340553149
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671304.0,0.5,127.0,3196.0,5657,True,0.064978340553149
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671304.0,0.75,190.5,3196.0,5657,True,0.064978340553149
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671304.0,1.0,254.0,3196.0,5657,True,0.064978340553149
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671305.0,0.05,12.700000000000001,3533.0,641,True,0.17727424191936025
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671305.0,0.1,25.400000000000002,3137.0,2649,True,0.04531822725758072
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671305.0,0.25,63.5,3137.0,2649,True,0.04531822725758072
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671305.0,0.5,127.0,3107.0,12801,True,0.03532155948017324
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671305.0,0.75,190.5,3033.0,19961,True,0.010663112295901334
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,671305.0,1.0,254.0,3033.0,19961,True,0.010663112295901334
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671301.0,0.05,12.5,3311.0,1,True,0.11107382550335565
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671301.0,0.1,25.0,3311.0,1,True,0.11107382550335565
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671301.0,0.25,62.5,3302.0,6817,True,0.10805369127516773
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671301.0,0.5,125.0,3106.0,9609,True,0.04228187919463089
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671301.0,0.75,187.5,3106.0,9609,True,0.04228187919463089
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671301.0,1.0,250.0,3106.0,9609,True,0.04228187919463089
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671302.0,0.05,12.5,3311.0,1,True,0.11107382550335565
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671302.0,0.1,25.0,3280.0,2865,True,0.10067114093959728
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671302.0,0.25,62.5,3194.0,3273,True,0.07181208053691268
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671302.0,0.5,125.0,3082.0,14609,True,0.03422818791946303
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671302.0,0.75,187.5,3082.0,14609,True,0.03422818791946303
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671302.0,1.0,250.0,3082.0,14609,True,0.03422818791946303
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671303.0,0.05,12.5,3296.0,993,True,0.10604026845637593
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671303.0,0.1,25.0,3296.0,993,True,0.10604026845637593
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671303.0,0.25,62.5,3209.0,6817,True,0.07684563758389262
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671303.0,0.5,125.0,3209.0,6817,True,0.07684563758389262
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671303.0,0.75,187.5,3128.0,21593,True,0.04966442953020134
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671303.0,1.0,250.0,3116.0,29329,True,0.04563758389261752
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671304.0,0.05,12.5,3311.0,1,True,0.11107382550335565
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671304.0,0.1,25.0,3265.0,2833,True,0.09563758389261734
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671304.0,0.25,62.5,3265.0,2833,True,0.09563758389261734
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671304.0,0.5,125.0,3139.0,14265,True,0.05335570469798667
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671304.0,0.75,187.5,3054.0,22049,True,0.02483221476510078
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671304.0,1.0,250.0,3054.0,22049,True,0.02483221476510078
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671305.0,0.05,12.5,3311.0,1,True,0.11107382550335565
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671305.0,0.1,25.0,3290.0,1537,True,0.10402684563758391
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671305.0,0.25,62.5,3155.0,7297,True,0.0587248322147651
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671305.0,0.5,125.0,3155.0,7297,True,0.0587248322147651
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671305.0,0.75,187.5,3120.0,18385,True,0.046979865771812124
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,671305.0,1.0,250.0,3106.0,27977,True,0.04228187919463089
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671301.0,0.05,12.9,3993.0,1,True,0.11723559037493003
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671301.0,0.1,25.8,3900.0,2369,True,0.09121432568550647
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671301.0,0.25,64.5,3803.0,2865,True,0.06407386681589267
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671301.0,0.5,129.0,3803.0,2865,True,0.06407386681589267
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671301.0,0.75,193.5,3803.0,2865,True,0.06407386681589267
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671301.0,1.0,258.0,3728.0,27929,True,0.04308897593732519
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671302.0,0.05,12.9,3976.0,609,True,0.1124790151091215
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671302.0,0.1,25.8,3953.0,1881,True,0.1060436485730274
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671302.0,0.25,64.5,3830.0,5793,True,0.0716284275321768
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671302.0,0.5,129.0,3830.0,5793,True,0.0716284275321768
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671302.0,0.75,193.5,3824.0,15265,True,0.06994963626189143
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671302.0,1.0,258.0,3824.0,15265,True,0.06994963626189143
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671303.0,0.05,12.9,3993.0,1,True,0.11723559037493003
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671303.0,0.1,25.8,3886.0,1929,True,0.08729714605484062
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671303.0,0.25,64.5,3793.0,4025,True,0.06127588136541684
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671303.0,0.5,129.0,3766.0,12329,True,0.05372132064913271
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671303.0,0.75,193.5,3766.0,12329,True,0.05372132064913271
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671303.0,1.0,258.0,3766.0,12329,True,0.05372132064913271
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671304.0,0.05,12.9,3888.0,9,True,0.08785674314493574
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671304.0,0.1,25.8,3888.0,9,True,0.08785674314493574
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671304.0,0.25,64.5,3721.0,7097,True,0.04113038612199227
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671304.0,0.5,129.0,3642.0,10369,True,0.019026301063234552
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671304.0,0.75,193.5,3601.0,16121,True,0.007554560716284353
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671304.0,1.0,258.0,3601.0,16121,True,0.007554560716284353
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671305.0,0.05,12.9,3993.0,1,True,0.11723559037493003
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671305.0,0.1,25.8,3901.0,2657,True,0.09149412423055403
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671305.0,0.25,64.5,3826.0,5793,True,0.07050923335198656
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671305.0,0.5,129.0,3821.0,11977,True,0.06911024062674875
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671305.0,0.75,193.5,3703.0,20513,True,0.03609401231113596
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,671305.0,1.0,258.0,3703.0,20513,True,0.03609401231113596
ALNS,CB1_CAL_S_CF1_RI2_TI2_R08,671301.0,0.05,5.9,1672.0,1961,True,0.13125845737483077
ALNS,CB1_CAL_S_CF1_RI2_TI2_R08,671301.0,0.1,11.8,1672.0,1961,True,0.13125845737483077
ALNS,CB1_CAL_S_CF1_RI2_TI2_R08,671301.0,0.25,29.5,1626.0,8777,True,0.1001353179972937
