method,instance_id,seed,eligible_decisions,interventions,fallbacks,solver_runtime_seconds,total_decision_overhead_ms,decision_overhead_fraction,total_csg_build_ms,total_model_inference_ms,total_calibration_gate_ms,mean_decision_overhead_ms
PHASE6H_CSGNI,CB1_CAL_L_CF1_RI2_TI2_R08,671301,2175,445,1730,354.0014843189856,117236.74799903529,0.3311758656169785,50157.114618399646,45855.26557924459,308.7419051444158,53.90195310300473
PHASE6H_CSGNI,CB1_CAL_L_CF1_RI2_TI2_R08,671302,2224,295,1929,354.00451317901025,117128.12616938027,0.33086619466388506,49831.32540498627,46179.639145499095,309.58916392410174,52.66552435673573
PHASE6H_CSGNI,CB1_CAL_L_CF1_RI2_TI2_R08,671303,2242,238,2004,354.0356193050393,116457.25865388522,0.32894220892939285,49552.63240734348,45914.51195976697,305.7013465440832,51.94346951555987
PHASE6H_CSGNI,CB1_CAL_L_CF1_RI2_TI2_R08,671304,2241,322,1919,354.00475593301235,117229.00300117908,0.3311509267501539,50496.81754788617,45802.59310017573,305.35572033841163,52.31102320445296
PHASE6H_CSGNI,CB1_CAL_L_CF1_RI2_TI2_R08,671305,2259,278,1981,354.0042071630014,116643.97232263582,0.3294988306987183,49130.23281953065,46294.91348925512,307.1198703837581,51.63522457841338
PHASE6H_CSGNI,CB1_CAL_L_CF2_RI2_TI2_R08,671301,2202,481,1721,386.0627769539715,124257.26213678718,0.3218576603452288,56465.587467420846,45003.78369324608,306.5714039839804,56.42927435821397
PHASE6H_CSGNI,CB1_CAL_L_CF2_RI2_TI2_R08,671302,2188,1304,884,386.0071637950023,125962.46878267266,0.32632158311333265,58109.9418925005,44637.553163804114,303.36657573934644,57.56968408714472
PHASE6H_CSGNI,CB1_CAL_L_CF2_RI2_TI2_R08,671303,2188,2074,114,386.0178058180026,124750.78250927618,0.32317364802620774,57291.20681976201,44708.96886533592,306.5330646932125,57.01589694208235
PHASE6H_CSGNI,CB1_CAL_L_CF2_RI2_TI2_R08,671304,2184,1082,1102,386.0115819249768,124634.36789187836,0.3228772755220118,57134.6845770604,44668.999168789014,305.53102982230484,57.06701826551207
PHASE6H_CSGNI,CB1_CAL_L_CF2_RI2_TI2_R08,671305,2187,1948,239,386.01172211999074,122555.66964822356,0.31749209318085797,55454.111098195426,44529.8444069922,304.79926138650626,56.03825772666829
PHASE6H_CSGNI,CB1_CAL_L_CF3_RI2_TI2_R08,671301,2254,149,2105,342.00245809700573,127115.95526401652,0.3716814082896483,59584.39324982464,45953.86121660704,308.70411975774914,56.39572105768257
PHASE6H_CSGNI,CB1_CAL_L_CF3_RI2_TI2_R08,671302,2237,822,1415,342.00944089796394,125414.97740428895,0.3667003374965477,58344.04608322075,45685.57510437677,307.85333120729774,56.06391479851987
PHASE6H_CSGNI,CB1_CAL_L_CF3_RI2_TI2_R08,671303,2271,234,2037,342.02914980298374,128626.51681387797,0.3760688727495,60465.04439617274,46374.022262287326,310.6849305331707,56.638712819849395
PHASE6H_CSGNI,CB1_CAL_L_CF3_RI2_TI2_R08,671304,2270,2098,172,342.0336280729971,127600.76074232347,0.37306495697870623,59039.24969572108,46291.143034992274,310.2753271814436,56.21178887327025
PHASE6H_CSGNI,CB1_CAL_L_CF3_RI2_TI2_R08,671305,2262,148,2114,342.01578113698633,127416.6143432376,0.37254600919190883,59776.533662108704,46102.18588798307,312.0126386056654,56.32918405978673
PHASE6H_CSGNI,CB1_CAL_M_CF1_RI2_TI2_R08,671301,2517,79,2438,254.00937377096847,104279.56273406744,0.41053430897433235,36232.02187399147,50804.11388154607,331.6231709904969,41.43010041083331
PHASE6H_CSGNI,CB1_CAL_M_CF1_RI2_TI2_R08,671302,2527,141,2386,254.00281866500157,103666.49845888605,0.40813129162794604,35466.3503371994,50964.49689590372,331.0732770478353,41.02354509651209
PHASE6H_CSGNI,CB1_CAL_M_CF1_RI2_TI2_R08,671303,2500,344,2156,254.0051116929972,102526.19321201928,0.4036383068382394,35016.099346859846,50429.31299790507,327.86746486090124,41.01047728480771
PHASE6H_CSGNI,CB1_CAL_M_CF1_RI2_TI2_R08,671304,2506,83,2423,254.00924907496665,103189.30663191713,0.40624231994584775,35649.627192353364,50462.63065689709,327.37603527493775,41.17689809733325
PHASE6H_CSGNI,CB1_CAL_M_CF1_RI2_TI2_R08,671305,2522,89,2433,254.01156248996267,103693.23550252011,0.4082225017084314,35629.2727268883,50902.20126189524,330.555061402265,41.11547799465508
PHASE6H_CSGNI,CB1_CAL_M_CF2_RI2_TI2_R08,671301,2484,58,2426,250.05052361701385,105430.71451963624,0.42163764744247295,38061.14060408436,50115.357002359815,326.4950759476051,42.44392694027224
PHASE6H_CSGNI,CB1_CAL_M_CF2_RI2_TI2_R08,671302,2517,124,2393,250.0182540899841,106048.28670492861,0.42416217604159717,37789.51468534069,50847.29230456287,332.2961443918757,42.13281156334073
PHASE6H_CSGNI,CB1_CAL_M_CF2_RI2_TI2_R08,671303,2497,43,2454,250.04460605204804,106727.076350071,0.4268321482122083,38931.2172268983,50438.55737836566,331.3101772801019,42.7421210853308
PHASE6H_CSGNI,CB1_CAL_M_CF2_RI2_TI2_R08,671304,2481,44,2437,250.0016189580201,105039.60867325077,0.42015571383515266,37745.587608078495,50046.269285317976,326.19202125351876,42.33760929998016
PHASE6H_CSGNI,CB1_CAL_M_CF2_RI2_TI2_R08,671305,2479,58,2421,250.00240854895677,106589.13627854781,0.4263524375513165,38481.32283380255,50581.13687380683,346.4903485728428,42.99682786548924
PHASE6H_CSGNI,CB1_CAL_M_CF3_RI2_TI2_R08,671301,2417,245,2172,258.0106838339707,107572.58928235387,0.4169307552844463,40660.382792702876,48901.53922198806,321.0783739341423,44.506656715909756
PHASE6H_CSGNI,CB1_CAL_M_CF3_RI2_TI2_R08,671302,2427,170,2257,258.00090433098376,108621.27631081967,0.42101122316793044,41381.34714536136,49125.502223323565,322.68263975856826,44.75536724796855
PHASE6H_CSGNI,CB1_CAL_M_CF3_RI2_TI2_R08,671303,2437,968,1469,258.03533043398056,108257.64570949832,0.41954582547833114,40848.449089739006,49145.82427078858,323.3373112161644,44.422505420393236
PHASE6H_CSGNI,CB1_CAL_M_CF3_RI2_TI2_R08,671304,2424,183,2241,258.0853610219783,108968.58809428522,0.4222191745505688,40969.18446087511,49318.96451138891,320.46573812840506,44.95403799269192
PHASE6H_CSGNI,CB1_CAL_M_CF3_RI2_TI2_R08,671305,2441,346,2095,258.0267986560357,109013.21882556658,0.4224879717664031,41255.36417536205,49499.98096289346,324.5120464707725,44.65924572944145
PHASE6H_CSGNI,CB1_CAL_S_CF1_RI2_TI2_R08,671301,2431,75,2356,118.0040362639702,73785.88709054748,0.6252827396979156,14341.668588574976,48924.81825768482,300.71656237123534,30.3520720240837
PHASE6H_CSGNI,CB1_CAL_S_CF1_RI2_TI2_R08,671302,2472,11,2461,118.02442210202572,73864.95022574672,0.6258446252919966,14260.92478109058,49085.30966384569,297.8880014270544,29.880643295204987
PHASE6H_CSGNI,CB1_CAL_S_CF1_RI2_TI2_R08,671303,2446,11,2435,118.00592253397916,73386.27266633557,0.6218863518922484,14094.15771823842,48830.460875236895,295.2090357430279,30.00256445884529
PHASE6H_CSGNI,CB1_CAL_S_CF1_RI2_TI2_R08,671304,2463,7,2456,118.00666291097878,73354.05551857548,0.621609438900174,14017.27661525365,48854.37149909558,295.54298403672874,29.782401753380217
