method,instance_id,scale,CF_level,run_count,mean_final_makespan,best_final_makespan,std_final_makespan,feasibility_rate,mean_runtime,mean_decoder_evaluations,median_time_to_best,median_evals_to_best
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,L,CF1,5,4419.2,4357.0,40.7450610503899,1.0,354.006932932802,23402.4,204.4330947099952,13529.0
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,L,CF2,5,4834.6,4741.0,46.800000000000004,1.0,386.0104212570004,22627.6,0.5811857699882239,1.0
ALNS,CB1_CAL_L_CF3_RI2_TI2_R08,L,CF3,5,3876.0,3876.0,0.0,1.0,342.0057616990292,24474.6,0.6195044030318968,1.0
ALNS,CB1_CAL_M_CF1_RI2_TI2_R08,M,CF1,5,3159.0,3033.0,72.52309976828073,1.0,254.00865815600847,28715.4,177.19716505001998,19961.0
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,M,CF2,5,3092.8,3054.0,22.400000000000002,1.0,250.0052532125963,29624.4,186.68479863798711,22049.0
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,M,CF3,5,3724.4,3601.0,73.95836666665916,1.0,258.0059831438004,28647.4,145.94797657697927,16121.0
ALNS,CB1_CAL_S_CF1_RI2_TI2_R08,S,CF1,5,1534.6,1478.0,49.87424184887425,1.0,118.0010902856011,45400.6,83.32586751197232,32081.0
ALNS,CB1_CAL_S_CF2_RI2_TI2_R08,S,CF2,5,1372.6,1341.0,34.886100383963814,1.0,110.00054348261328,46954.2,84.91747607802972,36657.0
ALNS,CB1_CAL_S_CF3_RI2_TI2_R08,S,CF3,5,1763.8,1745.0,15.992498241363043,1.0,126.00159479320283,44559.0,94.71570290898671,33193.0
PHASE6H_CSGNI,CB1_CAL_L_CF1_RI2_TI2_R08,L,CF1,5,4229.8,4182.0,33.84907679686405,1.0,354.01011597980977,17823.8,99.04107681300955,4889.0
PHASE6H_CSGNI,CB1_CAL_L_CF2_RI2_TI2_R08,L,CF2,5,4827.6,4777.0,36.257964642268604,1.0,386.0222101223888,17514.8,0.66564084100537,9.0
PHASE6H_CSGNI,CB1_CAL_L_CF3_RI2_TI2_R08,L,CF3,5,3769.6,3693.0,64.8308568507312,1.0,342.01809160158734,18064.8,0.664425641996786,9.0
PHASE6H_CSGNI,CB1_CAL_M_CF1_RI2_TI2_R08,M,CF1,5,3101.2,3040.0,65.92844606086207,1.0,254.0076231387793,20110.0,81.82124948501587,6489.0
PHASE6H_CSGNI,CB1_CAL_M_CF2_RI2_TI2_R08,M,CF2,5,3136.4,2980.0,86.52999479949135,1.0,250.02348225320458,19928.8,73.02456630201777,5817.0
PHASE6H_CSGNI,CB1_CAL_M_CF3_RI2_TI2_R08,M,CF3,5,3646.6,3586.0,42.71580503747998,1.0,258.0318156553898,19428.8,122.05530631699366,9201.0
PHASE6H_CSGNI,CB1_CAL_S_CF1_RI2_TI2_R08,S,CF1,5,1536.4,1515.0,15.666524822052912,1.0,118.01249073079089,19626.0,91.47467172303004,15145.0
PHASE6H_CSGNI,CB1_CAL_S_CF2_RI2_TI2_R08,S,CF2,5,1353.6,1297.0,33.368248380758615,1.0,110.01186472139088,19052.6,68.87314046698157,11873.0
PHASE6H_CSGNI,CB1_CAL_S_CF3_RI2_TI2_R08,S,CF3,5,1781.0,1777.0,3.40587727318528,1.0,126.00874272780493,19523.0,56.29358201898867,8809.0
