method,instance_id,instance_relative_path,scale,CF_level,RI_level,TI_level,seed,time_limit_seconds,final_best,time_to_best,evals_to_best,total_runtime,total_decoder_evals,initialization_seconds,iterations,feasible,model_load_seconds,policy_sha256
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF1_RI2_TI2_R08.json,L,CF1,RI2,TI2,671301.0,354.0,4458.0,204.4330947099952,13529,354.00870029703947,23343,0.25441312103066593,2918,True,,
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF1_RI2_TI2_R08.json,L,CF1,RI2,TI2,671302.0,354.0,4425.0,76.73633718799101,5089,354.0091457689996,23412,0.31526193697936833,2927,True,,
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF1_RI2_TI2_R08.json,L,CF1,RI2,TI2,671303.0,354.0,4465.0,227.15553645102773,14993,354.0027001090348,23411,0.3127201610477641,2927,True,,
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF1_RI2_TI2_R08.json,L,CF1,RI2,TI2,671304.0,354.0,4357.0,34.85337330796756,2297,354.00536494795233,23460,0.3153392699896358,2933,True,,
ALNS,CB1_CAL_L_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF1_RI2_TI2_R08.json,L,CF1,RI2,TI2,671305.0,354.0,4391.0,306.70074256596854,20249,354.0087535409839,23386,0.3182077169767581,2924,True,,
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF2_RI2_TI2_R08.json,L,CF2,RI2,TI2,671301.0,386.0,4858.0,0.5811857699882239,1,386.01194920699345,22665,0.5811857699882239,2833,True,,
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF2_RI2_TI2_R08.json,L,CF2,RI2,TI2,671302.0,386.0,4858.0,0.5741252550506033,1,386.0007618970121,22564,0.5741252550506033,2821,True,,
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF2_RI2_TI2_R08.json,L,CF2,RI2,TI2,671303.0,386.0,4858.0,0.5738210839917883,1,386.013627147011,22453,0.5738210839917883,2807,True,,
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF2_RI2_TI2_R08.json,L,CF2,RI2,TI2,671304.0,386.0,4858.0,0.5835773869766854,1,386.01211394998245,22861,0.5835773869766854,2858,True,,
ALNS,CB1_CAL_L_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_L_CF2_RI2_TI2_R08.json,L,CF2,RI2,TI2,671305.0,386.0,4741.0,253.09251569001935,14833,386.01365408400306,22595,0.5760236740461551,2825,True,,
