instance_id,scale,CF_level,operation_count,draft_bks,attaining_methods,status
CB1_CORE_L_CF1_R01,L,CF1,190,4610.0,CSG-NI Phase6H provisional,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_L_CF1_R02,L,CF1,181,4673.0,CSG-NI Phase6H provisional,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_L_CF1_R03,L,CF1,173,3885.0,CSG-NI Phase6H provisional,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_L_CF1_R04,L,CF1,172,3778.0,CSG-NI Phase6H provisional,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_L_CF1_R05,L,CF1,171,3958.0,CSG-NI Phase6H provisional,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_L_CF2_R01,L,CF2,195,4538.0,CSG-NI Phase6H provisional,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_L_CF2_R02,L,CF2,183,4328.0,CSG-NI Phase6H provisional,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_L_CF2_R03,L,CF2,184,3935.0,CSG-NI Phase6H provisional,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_L_CF2_R04,L,CF2,165,3249.0,CSG-NI Phase6H provisional,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_L_CF2_R05,L,CF2,179,4349.0,CSG-NI Phase6H provisional,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_L_CF3_R01,L,CF3,193,4612.0,CSG-NI Phase6H provisional,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_L_CF3_R02,L,CF3,167,3588.0,CSG-NI Phase6H provisional,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_L_CF3_R03,L,CF3,176,3852.0,CSG-NI Phase6H provisional,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_L_CF3_R04,L,CF3,174,3777.0,CSG-NI Phase6H provisional,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_L_CF3_R05,L,CF3,183,3496.0,CSG-NI Phase6H provisional,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_M_CF1_R01,M,CF1,114,2496.0,LG_HGA-RIACRSP-v2-N4M,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_M_CF1_R02,M,CF1,130,3232.0,CSG-NI Phase6H provisional,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_M_CF1_R03,M,CF1,115,3097.0,CSG-NI Phase6H provisional,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_M_CF1_R04,M,CF1,110,2716.0,LG_HGA-RIACRSP-v2-N4M,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_M_CF1_R05,M,CF1,110,2831.0,CSG-NI Phase6H provisional,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_M_CF2_R01,M,CF2,122,3044.0,CSG-NI Phase6H provisional,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_M_CF2_R02,M,CF2,115,2549.0,CSG-NI Phase6H provisional,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_M_CF2_R03,M,CF2,122,2905.0,LG_HGA-RIACRSP-v2-N4M,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_M_CF2_R04,M,CF2,125,2927.0,LG_HGA-RIACRSP-v2-N4M,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_M_CF2_R05,M,CF2,115,3146.0,CSG-NI Phase6H provisional,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_M_CF3_R01,M,CF3,111,2671.0,GA,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_M_CF3_R02,M,CF3,128,3199.0,LG_HGA-RIACRSP-v2-N4M,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_M_CF3_R03,M,CF3,116,2859.0,GA,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_M_CF3_R04,M,CF3,119,3021.0,CSG-NI Phase6H provisional,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_M_CF3_R05,M,CF3,113,3005.0,GA,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_S_CF1_R01,S,CF1,62,1736.0,DABC-RIACRSP,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_S_CF1_R02,S,CF1,65,2128.0,GA,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_S_CF1_R03,S,CF1,61,1689.0,GA,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_S_CF1_R04,S,CF1,62,1847.0,GA,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_S_CF1_R05,S,CF1,61,1640.0,GA,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_S_CF2_R01,S,CF2,64,1882.0,CSG-NI Phase6H provisional,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_S_CF2_R02,S,CF2,63,1515.0,GA,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_S_CF2_R03,S,CF2,58,1580.0,GA,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_S_CF2_R04,S,CF2,64,1646.0,LG_HGA-RIACRSP-v2-N4M,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_S_CF2_R05,S,CF2,59,1593.0,GA,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_S_CF3_R01,S,CF3,65,1523.0,LG_HGA-RIACRSP-v2-N4M,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_S_CF3_R02,S,CF3,57,1681.0,GA,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_S_CF3_R03,S,CF3,57,1703.0,GA,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_S_CF3_R04,S,CF3,58,1403.0,LG_HGA-RIACRSP-v2-N4M,DRAFT_PROVISIONAL_PHASE6H
CB1_CORE_S_CF3_R05,S,CF3,56,1489.0,LG_HGA-RIACRSP-v2-N4M,DRAFT_PROVISIONAL_PHASE6H
