method,instance_id,expected_seed_count,observed_seed_count,observed_seeds,missing_seeds,complete
GA,CB1_CORE_L_CF1_R01,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_L_CF1_R02,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_L_CF1_R03,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_L_CF1_R04,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_L_CF1_R05,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_L_CF2_R01,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_L_CF2_R02,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_L_CF2_R03,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_L_CF2_R04,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_L_CF2_R05,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_L_CF3_R01,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_L_CF3_R02,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_L_CF3_R03,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_L_CF3_R04,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_L_CF3_R05,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_M_CF1_R01,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_M_CF1_R02,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_M_CF1_R03,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_M_CF1_R04,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_M_CF1_R05,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_M_CF2_R01,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_M_CF2_R02,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_M_CF2_R03,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_M_CF2_R04,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_M_CF2_R05,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_M_CF3_R01,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_M_CF3_R02,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_M_CF3_R03,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_M_CF3_R04,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_M_CF3_R05,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_S_CF1_R01,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_S_CF1_R02,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_S_CF1_R03,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_S_CF1_R04,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_S_CF1_R05,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_S_CF2_R01,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_S_CF2_R02,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_S_CF2_R03,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_S_CF2_R04,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_S_CF2_R05,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_S_CF3_R01,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_S_CF3_R02,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_S_CF3_R03,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_S_CF3_R04,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
GA,CB1_CORE_S_CF3_R05,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
Adapted DCGA,CB1_CORE_L_CF1_R01,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
Adapted DCGA,CB1_CORE_L_CF1_R02,5,5,"[530101, 530102, 530103, 530104, 530105]",[],True
