method,instance_id,scale,CF_level,operation_count,run_count,draft_bks,best_makespan,mean_makespan,median_makespan,std_makespan,mean_rpd_percent,median_rpd_percent,median_objective_rank,attains_bks,feasibility_rate
GA,CB1_CORE_L_CF1_R01,L,CF1,190,5,4610.0,5400.0,5518.6,5457.0,144.85613552763306,19.709327548806943,18.373101952277658,2.0,False,1.0
Adapted DCGA,CB1_CORE_L_CF1_R01,L,CF1,190,5,4610.0,5811.0,5916.4,5924.0,65.51564698604449,28.33839479392625,28.503253796095446,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_L_CF1_R01,L,CF1,190,5,4610.0,5709.0,5783.2,5798.0,64.46471903297183,25.449023861171366,25.77006507592191,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_L_CF1_R01,L,CF1,190,5,4610.0,5390.0,5502.4,5494.0,108.44722218664708,19.357917570498916,19.175704989154013,3.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_L_CF1_R01,L,CF1,190,5,4610.0,4610.0,4694.2,4676.0,68.51058312406923,1.82646420824295,1.4316702819956617,1.0,True,1.0
GA,CB1_CORE_L_CF1_R02,L,CF1,181,5,4673.0,5418.0,5615.0,5512.0,241.04045303641462,20.158356516156644,17.954205007489836,2.0,False,1.0
Adapted DCGA,CB1_CORE_L_CF1_R02,L,CF1,181,5,4673.0,5896.0,5967.2,5985.0,47.57835642390351,27.69527070404451,28.07618232398887,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_L_CF1_R02,L,CF1,181,5,4673.0,5607.0,5773.8,5804.0,112.98539728655203,23.556601754761395,24.202867536914187,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_L_CF1_R02,L,CF1,181,5,4673.0,5511.0,5632.4,5610.0,134.23039894152143,20.53070832441686,20.051358870104856,3.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_L_CF1_R02,L,CF1,181,5,4673.0,4673.0,4693.4,4696.0,15.646085772486357,0.4365503958912904,0.4921891718382196,1.0,True,1.0
GA,CB1_CORE_L_CF1_R03,L,CF1,173,5,3885.0,4581.0,4650.2,4628.0,68.37543418509311,19.696267696267697,19.124839124839124,2.0,False,1.0
Adapted DCGA,CB1_CORE_L_CF1_R03,L,CF1,173,5,3885.0,5092.0,5173.2,5183.0,64.20825492099905,33.15830115830116,33.41055341055341,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_L_CF1_R03,L,CF1,173,5,3885.0,4737.0,4943.6,4968.0,134.7749976813207,27.24839124839125,27.876447876447877,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_L_CF1_R03,L,CF1,173,5,3885.0,4573.0,4696.2,4649.0,126.89247416612224,20.88030888030888,19.665379665379664,3.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_L_CF1_R03,L,CF1,173,5,3885.0,3885.0,3943.2,3962.0,37.625789028271555,1.4980694980694982,1.981981981981982,1.0,True,1.0
GA,CB1_CORE_L_CF1_R04,L,CF1,172,5,3778.0,4037.0,4149.0,4097.0,103.6315588997869,9.820010587612494,8.443620963472737,3.0,False,1.0
Adapted DCGA,CB1_CORE_L_CF1_R04,L,CF1,172,5,3778.0,4832.0,4882.0,4874.0,38.451267859460756,29.221810481736366,29.010058231868715,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_L_CF1_R04,L,CF1,172,5,3778.0,4290.0,4540.2,4612.0,229.7296236883698,20.174695606140816,22.075172048703017,4.0,False,1.0
