method,algorithm_version,experiment_status,instance_id,scale,CF_level,seed,run_id,operation_count,analysis_scope,best_makespan,best_found_time_seconds,runtime_seconds,time_limit_seconds,decoder_evaluations,iterations,feasible,git_commit,config_path,config_sha256,implementation_manifest_sha256,timestamp,hardware_identifier,instance_sha256,result_sha256,result_path,draft_bks,rpd_percent,bks_status
Adapted DCGA,Adapted DCGA,FROZEN_BASELINE,CB1_CORE_L_CF1_R01,L,CF1,530101,CB1_CORE_L_CF1_R01__530101,190,PRIMARY,5986.0,202.72194131399738,380.1500177459966,380.0,2558,1,True,,,,,,"{""cpu_threads"": 1, ""gpu_usage"": false, ""process_count"": 1}",1d0ff8ea412a6e10ed15bd6f7f162f2900748cd49c7b6e44613c9eaf740433b0,0ee2ac6839d794865dbbf18282f8c6e565634aea61f2f0ca81847deb38f56134,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R01/seed_530101.json,4610.0,29.84815618221258,DRAFT_PROVISIONAL_PHASE6H
Adapted DCGA,Adapted DCGA,FROZEN_BASELINE,CB1_CORE_L_CF1_R01,L,CF1,530102,CB1_CORE_L_CF1_R01__530102,190,PRIMARY,5811.0,157.2737471939763,380.139700447995,380.0,2478,1,True,,,,,,"{""cpu_threads"": 1, ""gpu_usage"": false, ""process_count"": 1}",1d0ff8ea412a6e10ed15bd6f7f162f2900748cd49c7b6e44613c9eaf740433b0,78f7beb2dc77b5d126c9648646b989dbf971eb59e5337aabfe154075daaf3a7a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R01/seed_530102.json,4610.0,26.052060737527114,DRAFT_PROVISIONAL_PHASE6H
Adapted DCGA,Adapted DCGA,FROZEN_BASELINE,CB1_CORE_L_CF1_R01,L,CF1,530103,CB1_CORE_L_CF1_R01__530103,190,PRIMARY,5950.0,285.04786074900767,380.2477018699865,380.0,2426,1,True,,,,,,"{""cpu_threads"": 1, ""gpu_usage"": false, ""process_count"": 1}",1d0ff8ea412a6e10ed15bd6f7f162f2900748cd49c7b6e44613c9eaf740433b0,75f7fec123ea8e3f4ae775b1a716e0880b84354b91ef4df99b7e55a9d1cd93fe,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R01/seed_530103.json,4610.0,29.067245119305856,DRAFT_PROVISIONAL_PHASE6H
Adapted DCGA,Adapted DCGA,FROZEN_BASELINE,CB1_CORE_L_CF1_R01,L,CF1,530104,CB1_CORE_L_CF1_R01__530104,190,PRIMARY,5911.0,369.7024596139963,380.0267719679978,380.0,2624,1,True,,,,,,"{""cpu_threads"": 1, ""gpu_usage"": false, ""process_count"": 1}",1d0ff8ea412a6e10ed15bd6f7f162f2900748cd49c7b6e44613c9eaf740433b0,ba5752f58180d8418277b09daede65ff45b93ccd68e196a93f3f922af5ad01f4,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R01/seed_530104.json,4610.0,28.22125813449024,DRAFT_PROVISIONAL_PHASE6H
Adapted DCGA,Adapted DCGA,FROZEN_BASELINE,CB1_CORE_L_CF1_R01,L,CF1,530105,CB1_CORE_L_CF1_R01__530105,190,PRIMARY,5924.0,367.707296048,380.0135208349966,380.0,2426,1,True,,,,,,"{""cpu_threads"": 1, ""gpu_usage"": false, ""process_count"": 1}",1d0ff8ea412a6e10ed15bd6f7f162f2900748cd49c7b6e44613c9eaf740433b0,645137cab00b9bf4a461fd8a09a3b2dba4fdf6d47c042de9612f7405d6e4572e,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R01/seed_530105.json,4610.0,28.503253796095446,DRAFT_PROVISIONAL_PHASE6H
CSG-NI Phase6H provisional,PHASE6H_FROZEN_POLICY,PROVISIONAL,CB1_CORE_L_CF1_R01,L,CF1,530101,CB1_CORE_L_CF1_R01__530101,190,PRIMARY,4610.0,206.07910725002876,380.00653307902394,380.0,15019,1878,True,7c448000be69084511af181f52cad0a8db71479a,paper_experiments/configs/main_core/phase6h_provisional.json,466dc049448d9308ade09e8c00625d7da90c70d5f4e119428c9b57e9228f2f07,b4141ea57aec7a3c5023f24a37fd5f4f39c09efe2ff797d63448d28c8dd5da0d,2026-09-03T05:52:42.212261+00:00,"{""cpu_model"": ""Intel(R) Core(TM) i7-14700"", ""cpu_threads_per_solver"": 1, ""cuda_runtime"": ""12.8"", ""device"": ""cuda"", ""gpu_model"": ""NVIDIA GeForce RTX 4060 Ti"", ""gpu_workers"": 2, ""python"": ""3.11.15"", ""shard_count"": 2, ""shard_index"": 0, ""solver_concurrency"": 2, ""torch"": ""2.11.0+cu128""}",1d0ff8ea412a6e10ed15bd6f7f162f2900748cd49c7b6e44613c9eaf740433b0,20e1639d5966fd39fcc6078516c9124e081be476b857cf078c0407b470e1b1db,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R01/seed_530101.json,4610.0,0.0,DRAFT_PROVISIONAL_PHASE6H
CSG-NI Phase6H provisional,PHASE6H_FROZEN_POLICY,PROVISIONAL,CB1_CORE_L_CF1_R01,L,CF1,530102,CB1_CORE_L_CF1_R01__530102,190,PRIMARY,4659.0,167.96730320801726,380.00901228102157,380.0,15018,1878,True,7c448000be69084511af181f52cad0a8db71479a,paper_experiments/configs/main_core/phase6h_provisional.json,466dc049448d9308ade09e8c00625d7da90c70d5f4e119428c9b57e9228f2f07,b4141ea57aec7a3c5023f24a37fd5f4f39c09efe2ff797d63448d28c8dd5da0d,2026-09-03T05:52:54.210311+00:00,"{""cpu_model"": ""Intel(R) Core(TM) i7-14700"", ""cpu_threads_per_solver"": 1, ""cuda_runtime"": ""12.8"", ""device"": ""cuda"", ""gpu_model"": ""NVIDIA GeForce RTX 4060 Ti"", ""gpu_workers"": 2, ""python"": ""3.11.15"", ""shard_count"": 2, ""shard_index"": 1, ""solver_concurrency"": 2, ""torch"": ""2.11.0+cu128""}",1d0ff8ea412a6e10ed15bd6f7f162f2900748cd49c7b6e44613c9eaf740433b0,c32d90c317423a52c47fa20a19ba6ecdb4cde27651ff969efeae0c56d689e66b,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R01/seed_530102.json,4610.0,1.0629067245119306,DRAFT_PROVISIONAL_PHASE6H
CSG-NI Phase6H provisional,PHASE6H_FROZEN_POLICY,PROVISIONAL,CB1_CORE_L_CF1_R01,L,CF1,530103,CB1_CORE_L_CF1_R01__530103,190,PRIMARY,4781.0,174.07604021497536,380.03627963596955,380.0,14810,1852,True,7c448000be69084511af181f52cad0a8db71479a,paper_experiments/configs/main_core/phase6h_provisional.json,466dc049448d9308ade09e8c00625d7da90c70d5f4e119428c9b57e9228f2f07,b4141ea57aec7a3c5023f24a37fd5f4f39c09efe2ff797d63448d28c8dd5da0d,2026-09-03T05:59:02.255451+00:00,"{""cpu_model"": ""Intel(R) Core(TM) i7-14700"", ""cpu_threads_per_solver"": 1, ""cuda_runtime"": ""12.8"", ""device"": ""cuda"", ""gpu_model"": ""NVIDIA GeForce RTX 4060 Ti"", ""gpu_workers"": 2, ""python"": ""3.11.15"", ""shard_count"": 2, ""shard_index"": 0, ""solver_concurrency"": 2, ""torch"": ""2.11.0+cu128""}",1d0ff8ea412a6e10ed15bd6f7f162f2900748cd49c7b6e44613c9eaf740433b0,9108a1fb81dd4232002c882ad51f9c0084baa9b6204614ab08a9683a7fc75a3e,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R01/seed_530103.json,4610.0,3.7093275488069413,DRAFT_PROVISIONAL_PHASE6H
CSG-NI Phase6H provisional,PHASE6H_FROZEN_POLICY,PROVISIONAL,CB1_CORE_L_CF1_R01,L,CF1,530104,CB1_CORE_L_CF1_R01__530104,190,PRIMARY,4745.0,303.60462194599677,380.0341640819679,380.0,14834,1855,True,7c448000be69084511af181f52cad0a8db71479a,paper_experiments/configs/main_core/phase6h_provisional.json,466dc049448d9308ade09e8c00625d7da90c70d5f4e119428c9b57e9228f2f07,b4141ea57aec7a3c5023f24a37fd5f4f39c09efe2ff797d63448d28c8dd5da0d,2026-09-03T05:59:14.256383+00:00,"{""cpu_model"": ""Intel(R) Core(TM) i7-14700"", ""cpu_threads_per_solver"": 1, ""cuda_runtime"": ""12.8"", ""device"": ""cuda"", ""gpu_model"": ""NVIDIA GeForce RTX 4060 Ti"", ""gpu_workers"": 2, ""python"": ""3.11.15"", ""shard_count"": 2, ""shard_index"": 1, ""solver_concurrency"": 2, ""torch"": ""2.11.0+cu128""}",1d0ff8ea412a6e10ed15bd6f7f162f2900748cd49c7b6e44613c9eaf740433b0,f8daa3d5fd94360829c6c54ef7f73eecec70fd3282d1c5bc0bd3ca0307233f3b,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R01/seed_530104.json,4610.0,2.928416485900217,DRAFT_PROVISIONAL_PHASE6H
CSG-NI Phase6H provisional,PHASE6H_FROZEN_POLICY,PROVISIONAL,CB1_CORE_L_CF1_R01,L,CF1,530105,CB1_CORE_L_CF1_R01__530105,190,PRIMARY,4676.0,92.20269015204394,380.00948889902793,380.0,14866,1859,True,7c448000be69084511af181f52cad0a8db71479a,paper_experiments/configs/main_core/phase6h_provisional.json,466dc049448d9308ade09e8c00625d7da90c70d5f4e119428c9b57e9228f2f07,b4141ea57aec7a3c5023f24a37fd5f4f39c09efe2ff797d63448d28c8dd5da0d,2026-09-03T06:05:22.328076+00:00,"{""cpu_model"": ""Intel(R) Core(TM) i7-14700"", ""cpu_threads_per_solver"": 1, ""cuda_runtime"": ""12.8"", ""device"": ""cuda"", ""gpu_model"": ""NVIDIA GeForce RTX 4060 Ti"", ""gpu_workers"": 2, ""python"": ""3.11.15"", ""shard_count"": 2, ""shard_index"": 0, ""solver_concurrency"": 2, ""torch"": ""2.11.0+cu128""}",1d0ff8ea412a6e10ed15bd6f7f162f2900748cd49c7b6e44613c9eaf740433b0,5646fa3b758113235e84c11f146e6e57a00ae750152420efed97b9eb71964ffe,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R01/seed_530105.json,4610.0,1.4316702819956617,DRAFT_PROVISIONAL_PHASE6H
