scale,method,instance_count,mean_of_instance_mean_rpd_percent,median_of_instance_median_rpd_percent,average_rank,bks_attainment_count,mean_runtime_seconds
S,GA,15,3.851898647543963,4.032258064516129,1.7333333333333334,9,121.60356773094817
S,Adapted DCGA,15,14.512017788253416,14.909335124244459,5.0,0,129.6939271076784
S,DABC-RIACRSP,15,6.190674628533035,5.26939017169923,3.0,1,121.60246555677848
S,LG_HGA-RIACRSP-v2-N4M,15,6.496238297324509,6.172171088251218,2.8666666666666667,4,11.857960470880693
S,CSG-NI Phase6H provisional,15,5.517649704586767,5.1976177585273415,2.4,1,121.61545287676311
M,GA,15,7.944132288822349,6.953528399311532,2.7333333333333334,3,235.34437190107923
M,Adapted DCGA,15,20.802060616795004,21.28777923784494,5.0,0,257.0564376358517
M,DABC-RIACRSP,15,13.384314735427422,13.723038449515474,3.933333333333333,0,235.3383401537353
M,LG_HGA-RIACRSP-v2-N4M,15,6.266989701195439,5.376680212566427,2.066666666666667,5,31.79464384617439
M,CSG-NI Phase6H provisional,15,2.9958757648242105,2.59526938239159,1.2666666666666666,7,235.35386666296282
L,GA,15,19.43677352719593,18.854909174522877,2.6,0,358.15473007678634
L,Adapted DCGA,15,34.49240757399606,33.15619223659889,5.0,0,362.34086989778405
L,DABC-RIACRSP,15,26.3877792663414,25.77006507592191,4.0,0,358.14263623854765
L,LG_HGA-RIACRSP-v2-N4M,15,16.65749843134684,19.175704989154013,2.3333333333333335,0,63.98341137451585
L,CSG-NI Phase6H provisional,15,2.1864857279528436,1.981981981981982,1.0666666666666667,15,358.1596786074674
Overall,GA,45,10.410934821187414,7.621502209131075,2.3555555555555556,12,238.3675565696046
Overall,Adapted DCGA,45,23.268828659681493,22.598870056497177,5.0,0,249.6970782137714
Overall,DABC-RIACRSP,45,15.320922876767286,13.723038449515474,3.6444444444444444,1,238.36114731635382
Overall,LG_HGA-RIACRSP-v2-N4M,45,9.806908809955596,7.47141041931385,2.422222222222222,9,35.878671897190316
Overall,CSG-NI Phase6H provisional,45,3.5666703991212736,3.127155667969648,1.5777777777777777,23,238.3763327157311
