method,display_method,scale,instance_count,mean_runtime_seconds,median_runtime_seconds,q25_runtime_seconds,q75_runtime_seconds,mean_runtime_budget_fraction,median_runtime_budget_fraction,q25_runtime_budget_fraction,q75_runtime_budget_fraction,mean_rpd_percent,median_rpd_percent,q25_rpd_percent,q75_rpd_percent,mean_time_to_best_seconds,median_time_to_best_seconds,q25_time_to_best_seconds,q75_time_to_best_seconds,mean_time_to_best_budget_fraction,median_time_to_best_budget_fraction,q25_time_to_best_budget_fraction,q75_time_to_best_budget_fraction,median_decoder_evaluations,termination_note
GA,GA,S,15,121.60362111313346,122.0046488730004,116.00370427250164,127.00277246549376,1.0000298651878845,1.0000276831904933,1.0000191144526984,1.0000385887274517,4.068163271252342,4.032258064516129,2.2992469955635677,5.475958351051396,89.18480331220005,91.33818908699322,83.79989630149794,101.46630857800483,0.7345775630963811,0.7649274987894674,0.687210492047285,0.8255649944180508,16305.0,common wall-clock ceiling
GA,GA,M,15,235.34391295633006,230.01155483702314,227.01041704248928,244.01039639199735,1.0000447366918952,1.0000448770491648,1.0000354959947289,1.0000508979860685,7.954869791356011,6.953528399311532,5.402476363280165,9.766297159825829,219.25143558379494,217.0158112809877,211.62853213849303,228.2142530780111,0.9320801609274761,0.9438825562455142,0.9094477455562622,0.9695981557854232,11656.0,common wall-clock ceiling
GA,GA,L,15,358.1554651742646,358.0137312350271,345.0246931700094,367.0317092604964,1.0000618339870773,1.0000605765358386,1.0000510545735541,1.0000722159316693,18.8316422477715,18.854909174522877,16.45423317289955,20.452368528757283,344.06943184973403,345.2201611629862,332.37492093349283,353.34424388050684,0.9603188745774051,0.9703950223659442,0.9503410404223182,0.9809697832235849,8674.0,common wall-clock ceiling
Adapted DCGA,DCGA,S,15,128.42536636946608,128.03963248900254,122.9942498314922,132.7445985795057,1.0560864176608853,1.0228504678660622,1.002039354287238,1.1060815047674817,14.617943835667464,14.909335124244459,10.726674556839452,15.920706318427289,101.45035160786355,104.37922590700327,89.32621100949473,107.69145288148138,0.833801245215919,0.8200360203750279,0.7663022232455691,0.8912643910482767,5990.0,common wall-clock ceiling
Adapted DCGA,DCGA,M,15,256.9910094227351,260.6531611929822,238.25409395051247,273.2472605219955,1.090833374510985,1.1185484848278155,1.0291851925603974,1.1296854980586668,20.821085783383605,21.28777923784494,17.558128160985817,24.476180762085335,203.95698036327377,205.96555292600533,182.3425351989863,221.1418760430097,0.8651774032708992,0.9015248479348172,0.7886877625629702,0.9330848540917362,3994.0,common wall-clock ceiling
Adapted DCGA,DCGA,L,15,358.2635640940629,358.1371941649995,345.1249928904872,367.21941908048757,1.000362077646306,1.0003676327578814,1.0002203626427255,1.0004680056054926,34.692678462029185,33.15619223659889,28.869729896506776,36.99550407483707,282.224778919601,297.20635621997644,270.678087292501,309.78195418798714,0.7922829509501969,0.8149011170956283,0.760045301379561,0.8856529611793432,2698.0,common wall-clock ceiling
DABC-RIACRSP,DABC,S,15,121.6020442996601,122.00188804703066,116.00173015601467,127.00212718700641,1.0000167686069519,1.0000154757953332,1.0000141130601952,1.000021242446981,6.093738121198283,5.26939017169923,4.262446373649159,7.07180429733762,109.3483457231312,111.5464374970179,104.55348815649631,118.29084920350579,0.8986314804584448,0.9255594860001111,0.8553553371916653,0.9628939017952767,27663.0,common wall-clock ceiling
DABC-RIACRSP,DABC,M,15,235.33767173407443,230.00524613802554,227.00523323152447,244.00509303150466,1.0000186403020799,1.000017465065762,1.0000132538419746,1.000023208555227,13.371753733435902,13.723038449515474,11.369666233610813,15.48046654290096,217.66074759399828,215.23303557903273,208.45635272801155,224.2527364534908,0.9253578959400913,0.9345155165135873,0.9097682163442606,0.9583731559067334,19831.0,common wall-clock ceiling
DABC-RIACRSP,DABC,L,15,358.1415737586756,358.0150457280106,345.0119412209897,367.00429733403143,1.0000232102234639,1.000021660343753,1.0000143588480168,1.000029349311336,26.715545900443043,25.77006507592191,22.6724446125327,28.738329842380676,332.8320182423379,333.3609962229966,320.3065901339869,346.2465875300113,0.9305135755956859,0.9475018608333455,0.921657858729418,0.9655999632445718,16479.0,common wall-clock ceiling
LG_HGA-RIACRSP-v2-N4M,LG_HGA,S,15,11.45743841486595,11.975839185994118,10.43370371448691,12.164631697000004,0.09406042892796734,0.09362939148422811,0.09028493427273651,0.0969394352213288,6.15843625206958,6.172171088251218,3.0988375106917916,8.240603923174671,7.6299836020606255,7.9354695419897325,5.590469442977337,8.942809580010362,0.06253771555250275,0.06504483231139126,0.048608769855744215,0.0750021387161285,4040.0,source-compatible MAXGEN=100 cap or common wall-clock ceiling
