instance_id,scale,CF_level,operation_count,best_baseline,display_best_baseline,best_baseline_median_rpd_percent,csgni_median_rpd_percent,advantage_percent_points_positive_favors_csgni
CB1_CORE_L_CF1_R01,L,CF1,190,GA,GA,18.373101952277658,1.4316702819956617,16.941431670281997
CB1_CORE_L_CF1_R02,L,CF1,181,GA,GA,17.954205007489836,0.4921891718382196,17.462015835651616
CB1_CORE_L_CF1_R03,L,CF1,173,GA,GA,19.124839124839124,1.981981981981982,17.142857142857142
CB1_CORE_L_CF1_R04,L,CF1,172,LG_HGA-RIACRSP-v2-N4M,LG_HGA,3.440974060349391,3.9174166225516145,-0.4764425622022235
CB1_CORE_L_CF1_R05,L,CF1,171,GA,GA,17.913087417887823,1.3643254168772108,16.548762001010612
CB1_CORE_L_CF2_R01,L,CF2,195,GA,GA,19.193477302776554,2.1595416483032173,17.033935654473336
CB1_CORE_L_CF2_R02,L,CF2,183,LG_HGA-RIACRSP-v2-N4M,LG_HGA,12.89279112754159,1.478743068391867,11.414048059149724
CB1_CORE_L_CF2_R03,L,CF2,184,LG_HGA-RIACRSP-v2-N4M,LG_HGA,7.47141041931385,0.05082592121982211,7.420584498094028
CB1_CORE_L_CF2_R04,L,CF2,165,GA,GA,19.082794706063403,1.4158202523853494,17.666974453678055
CB1_CORE_L_CF2_R05,L,CF2,179,LG_HGA-RIACRSP-v2-N4M,LG_HGA,15.359852839733271,3.127155667969648,12.232697171763624
CB1_CORE_L_CF3_R01,L,CF3,193,LG_HGA-RIACRSP-v2-N4M,LG_HGA,16.934084995663486,2.1899392888117952,14.744145706851691
CB1_CORE_L_CF3_R02,L,CF3,167,LG_HGA-RIACRSP-v2-N4M,LG_HGA,11.120401337792643,2.7313266443701227,8.38907469342252
CB1_CORE_L_CF3_R03,L,CF3,176,LG_HGA-RIACRSP-v2-N4M,LG_HGA,10.74766355140187,0.8307372793354102,9.916926272066458
CB1_CORE_L_CF3_R04,L,CF3,174,LG_HGA-RIACRSP-v2-N4M,LG_HGA,20.015885623510723,3.230076780513635,16.78580884299709
CB1_CORE_L_CF3_R05,L,CF3,183,LG_HGA-RIACRSP-v2-N4M,LG_HGA,24.914187643020593,3.8901601830663615,21.024027459954233
CB1_CORE_M_CF1_R01,M,CF1,114,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5.448717948717949,4.407051282051282,1.041666666666667
CB1_CORE_M_CF1_R02,M,CF1,130,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5.1361386138613865,3.3725247524752477,1.7636138613861387
CB1_CORE_M_CF1_R03,M,CF1,115,LG_HGA-RIACRSP-v2-N4M,LG_HGA,6.522441072005166,0.12915724895059735,6.393283823054569
CB1_CORE_M_CF1_R04,M,CF1,110,LG_HGA-RIACRSP-v2-N4M,LG_HGA,6.811487481590574,0.18409425625920472,6.627393225331369
CB1_CORE_M_CF1_R05,M,CF1,110,GA,GA,4.309431296361709,0.4592016955139527,3.8502296008477566
CB1_CORE_M_CF2_R01,M,CF2,122,LG_HGA-RIACRSP-v2-N4M,LG_HGA,7.6215505913272015,2.59526938239159,5.026281208935611
CB1_CORE_M_CF2_R02,M,CF2,115,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5.374656728128678,3.2561788936837974,2.1184778344448807
CB1_CORE_M_CF2_R03,M,CF2,122,LG_HGA-RIACRSP-v2-N4M,LG_HGA,3.5800344234079176,4.509466437177281,-0.9294320137693632
CB1_CORE_M_CF2_R04,M,CF2,125,LG_HGA-RIACRSP-v2-N4M,LG_HGA,3.3823026990092244,5.022207037922787,-1.639904338913563
CB1_CORE_M_CF2_R05,M,CF2,115,GA,GA,5.816910362364908,1.3986013986013985,4.41830896376351
CB1_CORE_M_CF3_R01,M,CF3,111,LG_HGA-RIACRSP-v2-N4M,LG_HGA,4.567577686259828,8.161737177087232,-3.594159490827405
CB1_CORE_M_CF3_R02,M,CF3,128,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5.376680212566427,2.28196311347296,3.094717099093467
CB1_CORE_M_CF3_R03,M,CF3,116,GA,GA,4.861839804127317,3.5676810073452256,1.2941587967820918
CB1_CORE_M_CF3_R04,M,CF3,119,GA,GA,3.1446540880503147,1.0923535253227408,2.0523005627275737
CB1_CORE_M_CF3_R05,M,CF3,113,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5.424292845257903,1.8635607321131447,3.5607321131447582
