scale,competitor,display_competitor,CF_level,instance_count,median_advantage_percent_points,mean_advantage_percent_points,q25_advantage_percent_points,q75_advantage_percent_points,wins,ties,losses
S,GA,GA,CF1,5,-0.09398496240601495,-0.5293315385245976,-2.195121951219512,1.0368663594470044,2,0,3
S,GA,GA,CF2,5,-1.518833535844471,-1.3208612693399193,-2.0253164556962027,-0.37664783427495285,1,0,4
S,GA,GA,CF3,5,-3.212373587150506,-2.702662887950895,-3.828072531900604,-2.138275124732716,1,0,4
S,Adapted DCGA,Adapted DCGA,CF1,5,5.5224688684353005,6.447166281223803,3.8533834586466162,7.718894009216589,5,0,0
S,Adapted DCGA,Adapted DCGA,CF2,5,8.930741190765492,10.613796352942078,7.970244420828906,12.145214521452145,5,0,0
S,Adapted DCGA,Adapted DCGA,CF3,5,8.865010073875084,10.035523363264076,7.019631171921475,11.096520026263951,5,0,0
S,DABC-RIACRSP,DABC,CF1,5,0.7488479262672811,0.8132896975091647,-0.3658536585365848,1.8354055654233274,3,0,2
S,DABC-RIACRSP,DABC,CF2,5,0.30376670716889453,0.23866703913523146,-1.381042059008161,0.5280528052805273,3,0,2
S,DABC-RIACRSP,DABC,CF3,5,0.6044325050369377,0.47191211737801275,0.5871990604815025,0.8923259964306958,4,0,1
S,LG_HGA-RIACRSP-v2-N4M,LG_HGA,CF1,5,1.973684210526316,1.6344392177641254,0.9745533297238769,2.361751152073732,4,0,1
S,LG_HGA-RIACRSP-v2-N4M,LG_HGA,CF2,5,1.3291139240506329,0.7256772535911648,0.6907545164718383,1.64034021871203,4,0,1
S,LG_HGA-RIACRSP-v2-N4M,LG_HGA,CF3,5,-0.234879624192601,-0.6421532247189846,-2.6263952724885096,0.3563791874554525,2,0,3
M,GA,GA,CF1,5,6.522441072005166,6.111679345353133,5.1361386138613865,7.43740795287187,5,0,0
M,GA,GA,CF2,5,4.41830896376351,5.218797444226292,2.444061962134251,7.767752059631228,4,0,1
M,GA,GA,CF3,5,2.0523005627275737,4.07392299641492,1.2941587967820918,4.525790349417637,5,0,0
M,Adapted DCGA,Adapted DCGA,CF1,5,15.903465346534656,17.602305056178047,13.077171456247981,21.90721649484536,5,0,0
M,Adapted DCGA,Adapted DCGA,CF2,5,18.312265117868126,17.922592810312132,18.072289156626507,18.692509855453352,5,0,0
M,Adapted DCGA,Adapted DCGA,CF3,5,18.420067390490455,18.47814989558695,17.03392794683456,19.265143992055613,5,0,0
M,DABC-RIACRSP,DABC,CF1,5,10.849208911850177,10.753762929462019,10.714285714285715,11.618589743589745,5,0,0
M,DABC-RIACRSP,DABC,CF2,5,10.362364907819453,11.208535720680867,9.535283993115318,12.828560219694,5,0,0
M,DABC-RIACRSP,DABC,CF3,5,11.36761105281567,9.692752962091138,8.6522462562396,11.386957960940085,5,0,0
M,LG_HGA-RIACRSP-v2-N4M,LG_HGA,CF1,5,4.592016955139527,4.083594906315654,1.7636138613861387,6.393283823054569,5,0,0
M,LG_HGA-RIACRSP-v2-N4M,LG_HGA,CF2,5,2.1184778344448807,1.8750336799068363,-0.9294320137693632,4.799745708836618,3,0,2
M,LG_HGA-RIACRSP-v2-N4M,LG_HGA,CF3,5,3.177755710029791,2.541967883070214,3.094717099093467,3.5607321131447582,4,0,1
L,GA,GA,CF1,5,16.941431670281997,14.524254198144499,16.548762001010612,17.142857142857142,5,0,0
L,GA,GA,CF2,5,15.72775350655323,15.340521140079876,13.516635859519408,17.033935654473336,5,0,0
L,GA,GA,CF3,5,20.381613183000866,20.57176936316775,18.979933110367895,23.08710616891713,5,0,0
L,Adapted DCGA,Adapted DCGA,CF1,5,27.58399315215065,29.324797051489746,27.071583514099785,31.42857142857143,5,0,0
L,Adapted DCGA,Adapted DCGA,CF2,5,29.197884530630233,31.564831216002347,29.14866581956798,31.677449168207023,5,0,0
L,Adapted DCGA,Adapted DCGA,CF3,5,35.41017653167186,37.130025076673085,34.44816053511706,42.255758538522635,5,0,0
L,DABC-RIACRSP,DABC,CF1,5,24.33839479392625,24.25148678879909,23.710678365075967,25.894465894465895,5,0,0
L,DABC-RIACRSP,DABC,CF2,5,21.219822109275732,23.9909822036332,20.14256150839273,25.319524019391803,5,0,0
L,DABC-RIACRSP,DABC,CF3,5,24.739809193408497,25.845786666974455,22.770345596432556,26.37013502779984,5,0,0
L,LG_HGA-RIACRSP-v2-N4M,LG_HGA,CF1,5,17.744034707158352,14.656453330286194,17.683397683397683,18.77210712481051,4,0,1
L,LG_HGA-RIACRSP-v2-N4M,LG_HGA,CF2,5,12.232697171763624,14.091117827975344,11.414048059149724,18.497999384425977,5,0,0
L,LG_HGA-RIACRSP-v2-N4M,LG_HGA,CF3,5,14.744145706851691,14.171996595058397,9.916926272066458,16.78580884299709,5,0,0
