instance_id,scale,CF_level,method,display_method,seed_count,seed_rpd_sd_percent_points,seed_rpd_iqr_percent_points
CB1_CORE_L_CF1_R01,L,CF1,Adapted DCGA,Adapted DCGA,5,1.4211637090248261,0.8459869848156174
CB1_CORE_L_CF1_R01,L,CF1,CSG-NI Phase6H provisional,CSG-NI,5,1.4861297857715667,1.8655097613882863
CB1_CORE_L_CF1_R01,L,CF1,DABC-RIACRSP,DABC,5,1.3983670072228165,1.973969631236443
CB1_CORE_L_CF1_R01,L,CF1,GA,GA,5,3.142215521206791,3.0151843817787416
CB1_CORE_L_CF1_R01,L,CF1,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,2.3524343207515632,3.8611713665943626
CB1_CORE_L_CF1_R02,L,CF1,Adapted DCGA,Adapted DCGA,5,1.0181544280741175,1.2197731649903716
CB1_CORE_L_CF1_R02,L,CF1,CSG-NI Phase6H provisional,CSG-NI,5,0.33481886951607864,0.34239246736571793
CB1_CORE_L_CF1_R02,L,CF1,DABC-RIACRSP,DABC,5,2.4178343095774033,2.1613524502460955
CB1_CORE_L_CF1_R02,L,CF1,GA,GA,5,5.158152215630528,4.793494543120051
CB1_CORE_L_CF1_R02,L,CF1,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,2.872467343067012,4.023111491547187
CB1_CORE_L_CF1_R03,L,CF1,Adapted DCGA,Adapted DCGA,5,1.6527221343886507,1.441441441441441
CB1_CORE_L_CF1_R03,L,CF1,CSG-NI Phase6H provisional,CSG-NI,5,0.9684887780764878,1.081081081081081
CB1_CORE_L_CF1_R03,L,CF1,DABC-RIACRSP,DABC,5,3.469111909429105,3.217503217503218
CB1_CORE_L_CF1_R03,L,CF1,GA,GA,5,1.7599854359097329,2.3680823680823693
CB1_CORE_L_CF1_R03,L,CF1,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,3.266215551251538,4.813384813384815
CB1_CORE_L_CF1_R04,L,CF1,Adapted DCGA,Adapted DCGA,5,1.017767809938082,1.429327686606669
CB1_CORE_L_CF1_R04,L,CF1,CSG-NI Phase6H provisional,CSG-NI,5,3.2891219556922913,3.123345685547909
