Method,Instance,Scale,CF,Best,Mean,Median,Std,Mean RPD (%),Median RPD (%),Rank,Attains BKS
GA,CB1_CORE_L_CF1_R01,L,CF1,5400,5518.60,5457.00,144.86,19.709,18.373,2.00,False
DCGA,CB1_CORE_L_CF1_R01,L,CF1,5811,5916.40,5924.00,65.52,28.338,28.503,5.00,False
DABC,CB1_CORE_L_CF1_R01,L,CF1,5709,5783.20,5798.00,64.46,25.449,25.770,4.00,False
LG_HGA,CB1_CORE_L_CF1_R01,L,CF1,5390,5502.40,5494.00,108.45,19.358,19.176,3.00,False
CSG-NI,CB1_CORE_L_CF1_R01,L,CF1,4610,4694.20,4676.00,68.51,1.826,1.432,1.00,True
GA,CB1_CORE_L_CF1_R02,L,CF1,5418,5615.00,5512.00,241.04,20.158,17.954,2.00,False
DCGA,CB1_CORE_L_CF1_R02,L,CF1,5896,5967.20,5985.00,47.58,27.695,28.076,5.00,False
DABC,CB1_CORE_L_CF1_R02,L,CF1,5607,5773.80,5804.00,112.99,23.557,24.203,4.00,False
LG_HGA,CB1_CORE_L_CF1_R02,L,CF1,5511,5632.40,5610.00,134.23,20.531,20.051,3.00,False
CSG-NI,CB1_CORE_L_CF1_R02,L,CF1,4673,4693.40,4696.00,15.65,0.437,0.492,1.00,True
GA,CB1_CORE_L_CF1_R03,L,CF1,4581,4650.20,4628.00,68.38,19.696,19.125,2.00,False
DCGA,CB1_CORE_L_CF1_R03,L,CF1,5092,5173.20,5183.00,64.21,33.158,33.411,5.00,False
DABC,CB1_CORE_L_CF1_R03,L,CF1,4737,4943.60,4968.00,134.77,27.248,27.876,4.00,False
LG_HGA,CB1_CORE_L_CF1_R03,L,CF1,4573,4696.20,4649.00,126.89,20.880,19.665,3.00,False
CSG-NI,CB1_CORE_L_CF1_R03,L,CF1,3885,3943.20,3962.00,37.63,1.498,1.982,1.00,True
GA,CB1_CORE_L_CF1_R04,L,CF1,4037,4149.00,4097.00,103.63,9.820,8.444,3.00,False
DCGA,CB1_CORE_L_CF1_R04,L,CF1,4832,4882.00,4874.00,38.45,29.222,29.010,5.00,False
DABC,CB1_CORE_L_CF1_R04,L,CF1,4290,4540.20,4612.00,229.73,20.175,22.075,4.00,False
LG_HGA,CB1_CORE_L_CF1_R04,L,CF1,3827,3901.60,3908.00,54.11,3.272,3.441,1.00,False
CSG-NI,CB1_CORE_L_CF1_R04,L,CF1,3778,3952.40,3926.00,124.26,4.616,3.917,2.00,True
