Scale,Metric,GA,DCGA,DABC,LG_HGA,CSG-NI
S,Mean RPD (%),3.852,14.512,6.191,6.496,5.518
S,Median RPD (%),4.032,14.909,5.269,6.172,5.198
S,Best count,9,0,1,4,1
S,Average rank,1.733,5.000,3.000,2.867,2.400
M,Mean RPD (%),7.944,20.802,13.384,6.267,2.996
M,Median RPD (%),6.954,21.288,13.723,5.377,2.595
M,Best count,3,0,0,5,7
M,Average rank,2.733,5.000,3.933,2.067,1.267
L,Mean RPD (%),19.437,34.492,26.388,16.657,2.186
L,Median RPD (%),18.855,33.156,25.770,19.176,1.982
L,Best count,0,0,0,0,15
L,Average rank,2.600,5.000,4.000,2.333,1.067
Overall,Mean RPD (%),10.411,23.269,15.321,9.807,3.567
Overall,Median RPD (%),7.622,22.599,13.723,7.471,3.127
Overall,Best count,12,0,1,9,23
Overall,Average rank,2.356,5.000,3.644,2.422,1.578
