dimension,group,utility,states,instances,informative_states,positive_best_states,mean_spearman_informative,median_spearman_informative,mean_top1_normalized_rank_informative,mean_top1_regret_positive_best,hit_at_1_positive_best,hit_at_5_positive_best
dataset_origin+scale,CLEAN_NON_R12_DEVELOPMENT|L,U0_IMMEDIATE,6,6,0,0,,,,,,
dataset_origin+scale,CLEAN_NON_R12_DEVELOPMENT|M,U0_IMMEDIATE,6,6,3,3,0.05288719012516594,0.03389464359947705,0.004763986957742221,12.333333333333334,0.0,0.0
dataset_origin+scale,CLEAN_NON_R12_DEVELOPMENT|S,U0_IMMEDIATE,6,6,1,1,0.03488612132389996,0.03488612132389996,0.005813953488372093,4.0,0.0,0.0
dataset_origin+scale,R12_DEVELOPMENT_EXPOSED|L,U0_IMMEDIATE,6,2,2,2,0.14358793670296668,0.14358793670296668,0.018223879892356357,87.5,0.0,0.0
dataset_origin+scale,R12_DEVELOPMENT_EXPOSED|M,U0_IMMEDIATE,6,2,2,2,0.08194769838601786,0.08194769838601786,0.006963788300835655,42.0,0.0,0.0
dataset_origin+scale,R12_DEVELOPMENT_EXPOSED|S,U0_IMMEDIATE,6,2,1,1,0.08119577678713709,0.08119577678713709,0.00872093023255814,10.0,0.0,0.0
dataset_origin+search_stage,CLEAN_NON_R12_DEVELOPMENT|40-60%,U0_IMMEDIATE,18,18,4,4,0.04838692292484945,0.034390382461688504,0.005026478590399689,10.25,0.0,0.0
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|0-20%,U0_IMMEDIATE,6,6,5,5,0.10645340939302124,0.09051200843567524,0.011819253323788432,53.8,0.0,0.0
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|40-60%,U0_IMMEDIATE,6,6,0,0,,,,,,
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|80-100%,U0_IMMEDIATE,6,6,0,0,,,,,,
