state_key,instance_id,dataset_origin,scale,search_stage,left,right,informative,spearman,same_top1,top5_overlap,top10_overlap
CLEAN|CB1_TRAIN_L_CF3_RI1_TI2_R04:seed817000087:iteration1620,CB1_TRAIN_L_CF3_RI1_TI2_R04,CLEAN_NON_R12_DEVELOPMENT,L,40-60%,U0_IMMEDIATE,U1_SHORT_HORIZON,False,,True,5,10
CLEAN|CB1_TRAIN_L_CF2_RI1_TI1_R01:seed817000009:iteration1660,CB1_TRAIN_L_CF2_RI1_TI1_R01,CLEAN_NON_R12_DEVELOPMENT,L,40-60%,U0_IMMEDIATE,U1_SHORT_HORIZON,False,,True,5,10
R12|CB1_CAUR_L_CF3_RI2_TI2_R12_C02|746102|0.50,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,L,40-60%,U0_IMMEDIATE,U1_SHORT_HORIZON,False,,True,5,10
R12|CB1_CAUR_S_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_S_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,S,80-100%,U0_IMMEDIATE,U1_SHORT_HORIZON,False,,True,5,10
CLEAN|CB1_TRAIN_M_CF2_RI1_TI3_R04:seed817000093:iteration1980,CB1_TRAIN_M_CF2_RI1_TI3_R04,CLEAN_NON_R12_DEVELOPMENT,M,40-60%,U0_IMMEDIATE,U1_SHORT_HORIZON,False,,True,5,10
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,L,0-20%,U0_IMMEDIATE,U1_SHORT_HORIZON,True,0.44549648449289947,False,1,3
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.85,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,M,80-100%,U0_IMMEDIATE,U1_SHORT_HORIZON,False,,True,5,10
CLEAN|CB1_TRAIN_S_CF3_RI1_TI1_R03:seed817000072:iteration2820,CB1_TRAIN_S_CF3_RI1_TI1_R03,CLEAN_NON_R12_DEVELOPMENT,S,40-60%,U0_IMMEDIATE,U1_SHORT_HORIZON,False,,True,5,10
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,M,0-20%,U0_IMMEDIATE,U1_SHORT_HORIZON,True,1.0,True,5,10
R12|CB1_CAUR_L_CF3_RI2_TI2_R12_C02|746102|0.15,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,L,0-20%,U0_IMMEDIATE,U1_SHORT_HORIZON,True,0.754888268607299,False,3,6
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.50,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,M,40-60%,U0_IMMEDIATE,U1_SHORT_HORIZON,False,,True,5,10
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,L,80-100%,U0_IMMEDIATE,U1_SHORT_HORIZON,False,,False,4,9
