dimension,group,utility,states,informative_states,informative_state_rate,positive_best_states,positive_best_state_rate,valid_spearman_states,mean_spearman_valid_states,top1_rank_informative_denominator,mean_top1_realized_rank_informative,mean_top1_normalized_rank_informative,positive_best_metric_denominator,mean_top1_regret_positive_best,hit_at_1_positive_best,hit_at_5_positive_best,hit_at_10_positive_best,ndcg_denominator,mean_ndcg_defined,mean_top1_utility_gap_positive_best,mean_top5_utility_gap_positive_best,mean_top10_utility_gap_positive_best
scale_stage,L|EARLY,U0_IMMEDIATE,3,3,1.0,3,1.0,3,0.30824329208247964,3,17.666666666666668,0.04688426210072969,3,133.0,0.0,0.3333333333333333,0.6666666666666666,3,0.5690145875579353,133.0,47.0,19.666666666666668
scale_stage,L|EARLY,U1_SHORT_HORIZON,3,3,1.0,3,1.0,3,0.3245744727448612,3,19.333333333333332,0.05153990211352943,3,133.0,0.0,0.3333333333333333,0.6666666666666666,3,0.5792923594242722,133.0,47.0,19.666666666666668
scale_stage,L|EARLY,U2_COST_NORMALIZED,3,3,1.0,3,1.0,3,0.3245825190036396,3,19.333333333333332,0.05153990211352943,3,385.56917372340723,0.0,0.3333333333333333,0.6666666666666666,3,0.5932762544252664,385.56917372340723,122.89507985550317,35.43912129410891
scale_stage,L|EARLY,U3_STOCHASTIC_ROBUSTNESS,3,3,1.0,0,0.0,3,0.7077379342756945,3,39.333333333333336,0.10827313787513966,0,,,,,0,,,,
scale_stage,L|LATE,U0_IMMEDIATE,3,2,0.6666666666666666,2,0.6666666666666666,2,0.0659881812665645,2,3.0,0.005649717514124294,2,15.5,0.0,0.0,0.0,2,0.23551883023957693,15.5,11.5,11.5
scale_stage,L|LATE,U1_SHORT_HORIZON,3,2,0.6666666666666666,2,0.6666666666666666,2,0.0659881812665645,2,3.0,0.005649717514124294,2,15.5,0.0,0.0,0.0,2,0.23551883023957693,15.5,11.5,11.5
scale_stage,L|LATE,U2_COST_NORMALIZED,3,2,0.6666666666666666,2,0.6666666666666666,2,0.066031627962849,2,3.0,0.005649717514124294,2,54.167988404359555,0.0,0.0,0.0,2,0.23543156164608653,54.167988404359555,40.236574738556584,40.236574738556584
scale_stage,L|LATE,U3_STOCHASTIC_ROBUSTNESS,3,3,1.0,0,0.0,3,0.292897699995148,3,118.66666666666667,0.3323917137476459,0,,,,,0,,,,
scale_stage,L|MIDDLE,U0_IMMEDIATE,3,1,0.3333333333333333,1,0.3333333333333333,1,0.09741452142163633,1,6.0,0.014124293785310734,1,25.0,0.0,1.0,1.0,1,0.3424258185247892,25.0,0.0,0.0
scale_stage,L|MIDDLE,U1_SHORT_HORIZON,3,2,0.6666666666666666,2,0.6666666666666666,2,0.09276397015418426,2,4.0,0.008454904552822499,2,14.5,0.0,0.5,1.0,2,0.33787957592906126,14.5,2.0,0.0
scale_stage,L|MIDDLE,U2_COST_NORMALIZED,3,2,0.6666666666666666,2,0.6666666666666666,2,0.09276397015418426,2,4.0,0.008454904552822499,2,44.654990620669786,0.0,0.5,1.0,2,0.33729937946960936,44.654990620669786,6.425479895818884,0.0
scale_stage,L|MIDDLE,U3_STOCHASTIC_ROBUSTNESS,3,3,1.0,0,0.0,3,0.44212052167450167,3,116.66666666666667,0.3226765077716402,0,,,,,0,,,,
scale_stage,M|EARLY,U0_IMMEDIATE,3,3,1.0,3,1.0,3,0.30780059087368883,3,16.0,0.04229907953192689,3,153.0,0.0,0.0,0.0,3,0.4679074629210363,153.0,137.33333333333334,101.33333333333333
scale_stage,M|EARLY,U1_SHORT_HORIZON,3,3,1.0,3,1.0,3,0.32231805993312007,3,23.0,0.06212705183913769,3,157.0,0.0,0.0,0.0,3,0.48650147059987847,157.0,141.33333333333334,105.33333333333333
scale_stage,M|EARLY,U2_COST_NORMALIZED,3,3,1.0,3,1.0,3,0.322453071766513,3,23.333333333333332,0.06306867142482507,3,922.0857208652596,0.0,0.0,0.0,3,0.48421570060759117,922.0857208652596,829.040145616761,639.239033175526
scale_stage,M|EARLY,U3_STOCHASTIC_ROBUSTNESS,3,3,1.0,1,0.3333333333333333,3,0.7684871352155054,3,16.0,0.042168310515868584,1,294.875,0.0,0.0,0.0,1,0.23137821315975915,294.875,106.625,106.625
scale_stage,M|LATE,U0_IMMEDIATE,3,1,0.3333333333333333,1,0.3333333333333333,1,0.13226675789683726,1,7.0,0.016713091922005572,1,40.0,0.0,0.0,0.0,1,0.28149880866471183,40.0,40.0,21.0
scale_stage,M|LATE,U1_SHORT_HORIZON,3,1,0.3333333333333333,1,0.3333333333333333,1,0.12413692484696688,1,8.0,0.019498607242339833,1,40.0,0.0,0.0,0.0,1,0.2844996296953561,40.0,40.0,21.0
scale_stage,M|LATE,U2_COST_NORMALIZED,3,1,0.3333333333333333,1,0.3333333333333333,1,0.12422012565892142,1,8.0,0.019498607242339833,1,225.1039895025899,0.0,0.0,0.0,1,0.28393688215645363,225.1039895025899,225.1039895025899,115.3270375616259
scale_stage,M|LATE,U3_STOCHASTIC_ROBUSTNESS,3,3,1.0,0,0.0,3,0.5734627673100998,3,52.0,0.14265143288796564,0,,,,,0,,,,
scale_stage,M|MIDDLE,U0_IMMEDIATE,3,2,0.6666666666666666,2,0.6666666666666666,2,0.062383463388010395,2,2.0,0.002785515320334262,2,8.5,0.0,0.0,0.0,2,0.335752963060916,8.5,8.5,8.5
scale_stage,M|MIDDLE,U1_SHORT_HORIZON,3,2,0.6666666666666666,2,0.6666666666666666,2,0.07756444858880804,2,2.0,0.002785515320334262,2,8.5,0.0,0.0,0.0,2,0.37947990279882965,8.5,8.5,8.5
scale_stage,M|MIDDLE,U2_COST_NORMALIZED,3,2,0.6666666666666666,2,0.6666666666666666,2,0.07756444858880804,2,2.0,0.002785515320334262,2,52.337255743755655,0.0,0.0,0.0,2,0.3790972869089485,52.337255743755655,52.337255743755655,52.337255743755655
scale_stage,M|MIDDLE,U3_STOCHASTIC_ROBUSTNESS,3,3,1.0,0,0.0,3,0.4210821550497858,3,124.66666666666667,0.3472294351856224,0,,,,,0,,,,
scale_stage,S|EARLY,U0_IMMEDIATE,3,2,0.6666666666666666,2,0.6666666666666666,2,0.08228302815549694,2,2.5,0.00423728813559322,2,19.5,0.0,0.0,0.0,2,0.24866532583906426,19.5,19.5,19.5
