left,right,identity_level,overlap_count,right_count,overlap_percent
C1_FINAL_TRAIN,A1.6R_ALL_METHODS,INSTANCE_ID,18,18,100.0
C1_FINAL_TRAIN,A1.6R_ALL_METHODS,INSTANCE_CONTENT_SHA256,18,18,100.0
C1_FINAL_TRAIN,A1.6R_ALL_METHODS,SEED,3,3,100.0
C1_FINAL_TRAIN,A1.6R_ALL_METHODS,INSTANCE_X_SEED,54,54,100.0
C1_FINAL_TRAIN,ALNS,INSTANCE_ID,18,18,100.0
C1_FINAL_TRAIN,ALNS,INSTANCE_CONTENT_SHA256,18,18,100.0
C1_FINAL_TRAIN,ALNS,SEED,3,3,100.0
C1_FINAL_TRAIN,ALNS,INSTANCE_X_SEED,54,54,100.0
C1_FINAL_TRAIN,LG_HGA_2O,INSTANCE_ID,18,18,100.0
C1_FINAL_TRAIN,LG_HGA_2O,INSTANCE_CONTENT_SHA256,18,18,100.0
C1_FINAL_TRAIN,LG_HGA_2O,SEED,3,3,100.0
C1_FINAL_TRAIN,LG_HGA_2O,INSTANCE_X_SEED,54,54,100.0
C1_FINAL_TRAIN,NGAS_A1_6R,INSTANCE_ID,18,18,100.0
C1_FINAL_TRAIN,NGAS_A1_6R,INSTANCE_CONTENT_SHA256,18,18,100.0
C1_FINAL_TRAIN,NGAS_A1_6R,SEED,3,3,100.0
C1_FINAL_TRAIN,NGAS_A1_6R,INSTANCE_X_SEED,54,54,100.0
C1_FINAL_TRAIN,PHASE6H,INSTANCE_ID,18,18,100.0
C1_FINAL_TRAIN,PHASE6H,INSTANCE_CONTENT_SHA256,18,18,100.0
C1_FINAL_TRAIN,PHASE6H,SEED,3,3,100.0
C1_FINAL_TRAIN,PHASE6H,INSTANCE_X_SEED,54,54,100.0
C1_FINAL_TRAIN,PHASE6N_TOP1,INSTANCE_ID,18,18,100.0
C1_FINAL_TRAIN,PHASE6N_TOP1,INSTANCE_CONTENT_SHA256,18,18,100.0
C1_FINAL_TRAIN,PHASE6N_TOP1,SEED,3,3,100.0
C1_FINAL_TRAIN,PHASE6N_TOP1,INSTANCE_X_SEED,54,54,100.0
