record_type,campaign,algorithm,instance_id,instance_path,instance_sha256,state_id,state_source,state_type,seed,fold,action_count,contributed_to_final_c1,budget_seconds,artifact_path,artifact_sha256,manifest_path,manifest_member
C1_TRAINING_STATE,A1.3R_FINAL_C1_FIT,C1_COMPACT_RELATIONAL,CB1_CAUR_L_CF1_RI2_TI2_R12,instances/controlled/RCIAS-CB1-TRAIN-CAUR-R12R14/r12_caur_fit/CB1_CAUR_L_CF1_RI2_TI2_R12.json,c0b6374d4eb72ada83b8a8452425b71b4322e61123edbb755f2cd08927288b7a,ngas-a13-development-v1:CB1_CAUR_L_CF1_RI2_TI2_R12:H1,H1,H1_INITIAL,,2,90,True,,outputs/ngas_a1/critic_training_rthgt_v2/data/training_cache_v2.json.gz,587d8de6236a4be4abed1be4cad332bd97ff2c2056d18bc6311ee1d490c4ecb2,outputs/ngas_a1/critic_training_rthgt_v2/data/training_cache_manifest_v2.json,True
C1_TRAINING_STATE,A1.3R_FINAL_C1_FIT,C1_COMPACT_RELATIONAL,CB1_CAUR_L_CF1_RI2_TI2_R12,instances/controlled/RCIAS-CB1-TRAIN-CAUR-R12R14/r12_caur_fit/CB1_CAUR_L_CF1_RI2_TI2_R12.json,c0b6374d4eb72ada83b8a8452425b71b4322e61123edbb755f2cd08927288b7a,ngas-a13-development-v1:CB1_CAUR_L_CF1_RI2_TI2_R12:NATIVE16_746101,NATIVE16_746101,NATIVE16_SEARCH_STATE,746101,2,90,True,,outputs/ngas_a1/critic_training_rthgt_v2/data/training_cache_v2.json.gz,587d8de6236a4be4abed1be4cad332bd97ff2c2056d18bc6311ee1d490c4ecb2,outputs/ngas_a1/critic_training_rthgt_v2/data/training_cache_manifest_v2.json,True
C1_TRAINING_STATE,A1.3R_FINAL_C1_FIT,C1_COMPACT_RELATIONAL,CB1_CAUR_L_CF1_RI2_TI2_R12,instances/controlled/RCIAS-CB1-TRAIN-CAUR-R12R14/r12_caur_fit/CB1_CAUR_L_CF1_RI2_TI2_R12.json,c0b6374d4eb72ada83b8a8452425b71b4322e61123edbb755f2cd08927288b7a,ngas-a13-development-v1:CB1_CAUR_L_CF1_RI2_TI2_R12:NATIVE16_746102,NATIVE16_746102,NATIVE16_SEARCH_STATE,746102,2,90,True,,outputs/ngas_a1/critic_training_rthgt_v2/data/training_cache_v2.json.gz,587d8de6236a4be4abed1be4cad332bd97ff2c2056d18bc6311ee1d490c4ecb2,outputs/ngas_a1/critic_training_rthgt_v2/data/training_cache_manifest_v2.json,True
C1_TRAINING_STATE,A1.3R_FINAL_C1_FIT,C1_COMPACT_RELATIONAL,CB1_CAUR_L_CF1_RI2_TI2_R12,instances/controlled/RCIAS-CB1-TRAIN-CAUR-R12R14/r12_caur_fit/CB1_CAUR_L_CF1_RI2_TI2_R12.json,c0b6374d4eb72ada83b8a8452425b71b4322e61123edbb755f2cd08927288b7a,ngas-a13-development-v1:CB1_CAUR_L_CF1_RI2_TI2_R12:NATIVE16_746103,NATIVE16_746103,NATIVE16_SEARCH_STATE,746103,2,90,True,,outputs/ngas_a1/critic_training_rthgt_v2/data/training_cache_v2.json.gz,587d8de6236a4be4abed1be4cad332bd97ff2c2056d18bc6311ee1d490c4ecb2,outputs/ngas_a1/critic_training_rthgt_v2/data/training_cache_manifest_v2.json,True
C1_TRAINING_STATE,A1.3R_FINAL_C1_FIT,C1_COMPACT_RELATIONAL,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,instances/controlled/RCIAS-CB1-TRAIN-CAUR-R12R14/r12_caur_fit/CB1_CAUR_L_CF1_RI2_TI2_R12_C02.json,dd5c1ce71a5d72aad6c85617cb1718c9e57f3a6cfe23a0d18a92f0942ba56dc1,ngas-a13-development-v1:CB1_CAUR_L_CF1_RI2_TI2_R12_C02:H1,H1,H1_INITIAL,,2,90,True,,outputs/ngas_a1/critic_training_rthgt_v2/data/training_cache_v2.json.gz,587d8de6236a4be4abed1be4cad332bd97ff2c2056d18bc6311ee1d490c4ecb2,outputs/ngas_a1/critic_training_rthgt_v2/data/training_cache_manifest_v2.json,True
C1_TRAINING_STATE,A1.3R_FINAL_C1_FIT,C1_COMPACT_RELATIONAL,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,instances/controlled/RCIAS-CB1-TRAIN-CAUR-R12R14/r12_caur_fit/CB1_CAUR_L_CF1_RI2_TI2_R12_C02.json,dd5c1ce71a5d72aad6c85617cb1718c9e57f3a6cfe23a0d18a92f0942ba56dc1,ngas-a13-development-v1:CB1_CAUR_L_CF1_RI2_TI2_R12_C02:NATIVE16_746101,NATIVE16_746101,NATIVE16_SEARCH_STATE,746101,2,90,True,,outputs/ngas_a1/critic_training_rthgt_v2/data/training_cache_v2.json.gz,587d8de6236a4be4abed1be4cad332bd97ff2c2056d18bc6311ee1d490c4ecb2,outputs/ngas_a1/critic_training_rthgt_v2/data/training_cache_manifest_v2.json,True
C1_TRAINING_STATE,A1.3R_FINAL_C1_FIT,C1_COMPACT_RELATIONAL,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,instances/controlled/RCIAS-CB1-TRAIN-CAUR-R12R14/r12_caur_fit/CB1_CAUR_L_CF1_RI2_TI2_R12_C02.json,dd5c1ce71a5d72aad6c85617cb1718c9e57f3a6cfe23a0d18a92f0942ba56dc1,ngas-a13-development-v1:CB1_CAUR_L_CF1_RI2_TI2_R12_C02:NATIVE16_746102,NATIVE16_746102,NATIVE16_SEARCH_STATE,746102,2,90,True,,outputs/ngas_a1/critic_training_rthgt_v2/data/training_cache_v2.json.gz,587d8de6236a4be4abed1be4cad332bd97ff2c2056d18bc6311ee1d490c4ecb2,outputs/ngas_a1/critic_training_rthgt_v2/data/training_cache_manifest_v2.json,True
C1_TRAINING_STATE,A1.3R_FINAL_C1_FIT,C1_COMPACT_RELATIONAL,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,instances/controlled/RCIAS-CB1-TRAIN-CAUR-R12R14/r12_caur_fit/CB1_CAUR_L_CF1_RI2_TI2_R12_C02.json,dd5c1ce71a5d72aad6c85617cb1718c9e57f3a6cfe23a0d18a92f0942ba56dc1,ngas-a13-development-v1:CB1_CAUR_L_CF1_RI2_TI2_R12_C02:NATIVE16_746103,NATIVE16_746103,NATIVE16_SEARCH_STATE,746103,2,90,True,,outputs/ngas_a1/critic_training_rthgt_v2/data/training_cache_v2.json.gz,587d8de6236a4be4abed1be4cad332bd97ff2c2056d18bc6311ee1d490c4ecb2,outputs/ngas_a1/critic_training_rthgt_v2/data/training_cache_manifest_v2.json,True
C1_TRAINING_STATE,A1.3R_FINAL_C1_FIT,C1_COMPACT_RELATIONAL,CB1_CAUR_L_CF2_RI2_TI2_R12,instances/controlled/RCIAS-CB1-TRAIN-CAUR-R12R14/r12_caur_fit/CB1_CAUR_L_CF2_RI2_TI2_R12.json,74b633a78dfe171189160ec0651f63c472fd7c4b456c8aa149cbc69f56bbcc8c,ngas-a13-development-v1:CB1_CAUR_L_CF2_RI2_TI2_R12:H1,H1,H1_INITIAL,,0,90,True,,outputs/ngas_a1/critic_training_rthgt_v2/data/training_cache_v2.json.gz,587d8de6236a4be4abed1be4cad332bd97ff2c2056d18bc6311ee1d490c4ecb2,outputs/ngas_a1/critic_training_rthgt_v2/data/training_cache_manifest_v2.json,True
C1_TRAINING_STATE,A1.3R_FINAL_C1_FIT,C1_COMPACT_RELATIONAL,CB1_CAUR_L_CF2_RI2_TI2_R12,instances/controlled/RCIAS-CB1-TRAIN-CAUR-R12R14/r12_caur_fit/CB1_CAUR_L_CF2_RI2_TI2_R12.json,74b633a78dfe171189160ec0651f63c472fd7c4b456c8aa149cbc69f56bbcc8c,ngas-a13-development-v1:CB1_CAUR_L_CF2_RI2_TI2_R12:NATIVE16_746101,NATIVE16_746101,NATIVE16_SEARCH_STATE,746101,0,85,True,,outputs/ngas_a1/critic_training_rthgt_v2/data/training_cache_v2.json.gz,587d8de6236a4be4abed1be4cad332bd97ff2c2056d18bc6311ee1d490c4ecb2,outputs/ngas_a1/critic_training_rthgt_v2/data/training_cache_manifest_v2.json,True
