instance_id,seed,training_state_id,training_state_path,training_state_fingerprint,training_makespan,a16r_state_id,a16r_run_path,capture_fraction,a16r_state_fingerprint,a16r_makespan,classification
CB1_CAUR_L_CF1_RI2_TI2_R12,746102,ngas-a13-development-v1:CB1_CAUR_L_CF1_RI2_TI2_R12:NATIVE16_746102,outputs/ngas_a1/development_v1/states/ngas-a13-development-v1:CB1_CAUR_L_CF1_RI2_TI2_R12:NATIVE16_746102/state.json,fab7e09be856d29d67cd991647dd2ad4c7a72e1a495a843ac095d871cdcbb5df,4401.0,CB1_CAUR_L_CF1_RI2_TI2_R12:seed746102:iteration520,outputs/ngas_a1/solver_comparison_a16r_v1/raw/CB1_CAUR_L_CF1_RI2_TI2_R12/seed_746102.json,0.15,c490031d10e57ba8e9a68baafabf0822de2227a1bd838ec33f7638f71a00b9b4,3605.0,SAME_INSTANCE_SEED_NON_IDENTICAL_STATE
CB1_CAUR_L_CF1_RI2_TI2_R12,746102,ngas-a13-development-v1:CB1_CAUR_L_CF1_RI2_TI2_R12:NATIVE16_746102,outputs/ngas_a1/development_v1/states/ngas-a13-development-v1:CB1_CAUR_L_CF1_RI2_TI2_R12:NATIVE16_746102/state.json,fab7e09be856d29d67cd991647dd2ad4c7a72e1a495a843ac095d871cdcbb5df,4401.0,CB1_CAUR_L_CF1_RI2_TI2_R12:seed746102:iteration1680,outputs/ngas_a1/solver_comparison_a16r_v1/raw/CB1_CAUR_L_CF1_RI2_TI2_R12/seed_746102.json,0.5,47344cd28763662da983c3239d3d048a961f32655afe3292d5429d50383aa150,3471.0,SAME_INSTANCE_SEED_NON_IDENTICAL_STATE
CB1_CAUR_L_CF1_RI2_TI2_R12,746102,ngas-a13-development-v1:CB1_CAUR_L_CF1_RI2_TI2_R12:NATIVE16_746102,outputs/ngas_a1/development_v1/states/ngas-a13-development-v1:CB1_CAUR_L_CF1_RI2_TI2_R12:NATIVE16_746102/state.json,fab7e09be856d29d67cd991647dd2ad4c7a72e1a495a843ac095d871cdcbb5df,4401.0,CB1_CAUR_L_CF1_RI2_TI2_R12:seed746102:iteration2880,outputs/ngas_a1/solver_comparison_a16r_v1/raw/CB1_CAUR_L_CF1_RI2_TI2_R12/seed_746102.json,0.85,3d30e9a1316d536fe467fe8fbd6c1c0155b1cb303b31b3ff33d92dd80b52064d,3409.0,SAME_INSTANCE_SEED_NON_IDENTICAL_STATE
CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746102,ngas-a13-development-v1:CB1_CAUR_L_CF3_RI2_TI2_R12_C02:NATIVE16_746102,outputs/ngas_a1/development_v1/states/ngas-a13-development-v1:CB1_CAUR_L_CF3_RI2_TI2_R12_C02:NATIVE16_746102/state.json,3f1a93c7113c56a6738db4523a36d64cea1f81489b939ae3ed5ae4ea527a6f13,3770.0,CB1_CAUR_L_CF3_RI2_TI2_R12_C02:seed746102:iteration500,outputs/ngas_a1/solver_comparison_a16r_v1/raw/CB1_CAUR_L_CF3_RI2_TI2_R12_C02/seed_746102.json,0.15,bfb3e99a0e8f52fa41f584f233f2e0253911f73d735bc908036e8606085849e3,4203.0,SAME_INSTANCE_SEED_NON_IDENTICAL_STATE
CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746102,ngas-a13-development-v1:CB1_CAUR_L_CF3_RI2_TI2_R12_C02:NATIVE16_746102,outputs/ngas_a1/development_v1/states/ngas-a13-development-v1:CB1_CAUR_L_CF3_RI2_TI2_R12_C02:NATIVE16_746102/state.json,3f1a93c7113c56a6738db4523a36d64cea1f81489b939ae3ed5ae4ea527a6f13,3770.0,CB1_CAUR_L_CF3_RI2_TI2_R12_C02:seed746102:iteration1640,outputs/ngas_a1/solver_comparison_a16r_v1/raw/CB1_CAUR_L_CF3_RI2_TI2_R12_C02/seed_746102.json,0.5,5403e8721128b9f4f5f5b4c297f7b13e9f1033917fcc8953842a12977027d672,3902.0,SAME_INSTANCE_SEED_NON_IDENTICAL_STATE
CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746102,ngas-a13-development-v1:CB1_CAUR_L_CF3_RI2_TI2_R12_C02:NATIVE16_746102,outputs/ngas_a1/development_v1/states/ngas-a13-development-v1:CB1_CAUR_L_CF3_RI2_TI2_R12_C02:NATIVE16_746102/state.json,3f1a93c7113c56a6738db4523a36d64cea1f81489b939ae3ed5ae4ea527a6f13,3770.0,CB1_CAUR_L_CF3_RI2_TI2_R12_C02:seed746102:iteration2780,outputs/ngas_a1/solver_comparison_a16r_v1/raw/CB1_CAUR_L_CF3_RI2_TI2_R12_C02/seed_746102.json,0.85,dc75837b3ef3122f9ba717dda302479cabc562840af79534f8e9567d1ede348b,3797.0,SAME_INSTANCE_SEED_NON_IDENTICAL_STATE
CB1_CAUR_M_CF1_RI2_TI2_R12,746102,ngas-a13-development-v1:CB1_CAUR_M_CF1_RI2_TI2_R12:NATIVE16_746102,outputs/ngas_a1/development_v1/states/ngas-a13-development-v1:CB1_CAUR_M_CF1_RI2_TI2_R12:NATIVE16_746102/state.json,0d79d9fa08f08524d50c973ec4f558cfabdb387fc6fdb90beca996ef8828f36e,3213.0,CB1_CAUR_M_CF1_RI2_TI2_R12:seed746102:iteration660,outputs/ngas_a1/solver_comparison_a16r_v1/raw/CB1_CAUR_M_CF1_RI2_TI2_R12/seed_746102.json,0.15,b967810ca6245052f62131c26ddcdc7b6541d29a7900dd6a28b44d91ce69579c,2938.0,SAME_INSTANCE_SEED_NON_IDENTICAL_STATE
CB1_CAUR_M_CF1_RI2_TI2_R12,746102,ngas-a13-development-v1:CB1_CAUR_M_CF1_RI2_TI2_R12:NATIVE16_746102,outputs/ngas_a1/development_v1/states/ngas-a13-development-v1:CB1_CAUR_M_CF1_RI2_TI2_R12:NATIVE16_746102/state.json,0d79d9fa08f08524d50c973ec4f558cfabdb387fc6fdb90beca996ef8828f36e,3213.0,CB1_CAUR_M_CF1_RI2_TI2_R12:seed746102:iteration2160,outputs/ngas_a1/solver_comparison_a16r_v1/raw/CB1_CAUR_M_CF1_RI2_TI2_R12/seed_746102.json,0.5,7b7ecdaa50c42b5c0b530eb6e81e6aa58ea28432a940a95e15dc0b5e54759737,2714.0,SAME_INSTANCE_SEED_NON_IDENTICAL_STATE
CB1_CAUR_M_CF1_RI2_TI2_R12,746102,ngas-a13-development-v1:CB1_CAUR_M_CF1_RI2_TI2_R12:NATIVE16_746102,outputs/ngas_a1/development_v1/states/ngas-a13-development-v1:CB1_CAUR_M_CF1_RI2_TI2_R12:NATIVE16_746102/state.json,0d79d9fa08f08524d50c973ec4f558cfabdb387fc6fdb90beca996ef8828f36e,3213.0,CB1_CAUR_M_CF1_RI2_TI2_R12:seed746102:iteration3660,outputs/ngas_a1/solver_comparison_a16r_v1/raw/CB1_CAUR_M_CF1_RI2_TI2_R12/seed_746102.json,0.85,31432dd9903d8aae89df9111a578b62489fd13b29ad0aeb649a48c8eb7733b22,2689.0,SAME_INSTANCE_SEED_NON_IDENTICAL_STATE
CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746102,ngas-a13-development-v1:CB1_CAUR_M_CF3_RI2_TI2_R12_C02:NATIVE16_746102,outputs/ngas_a1/development_v1/states/ngas-a13-development-v1:CB1_CAUR_M_CF3_RI2_TI2_R12_C02:NATIVE16_746102/state.json,3a238a6a248d93fa0c7eb31817e199678278f68664dd1060ad822f8ad696a799,3300.0,CB1_CAUR_M_CF3_RI2_TI2_R12_C02:seed746102:iteration640,outputs/ngas_a1/solver_comparison_a16r_v1/raw/CB1_CAUR_M_CF3_RI2_TI2_R12_C02/seed_746102.json,0.15,8bb6d479ff18df77d3a16b5877802d4fff35e94e22e872fb224e672f9584f326,3104.0,SAME_INSTANCE_SEED_NON_IDENTICAL_STATE
CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746102,ngas-a13-development-v1:CB1_CAUR_M_CF3_RI2_TI2_R12_C02:NATIVE16_746102,outputs/ngas_a1/development_v1/states/ngas-a13-development-v1:CB1_CAUR_M_CF3_RI2_TI2_R12_C02:NATIVE16_746102/state.json,3a238a6a248d93fa0c7eb31817e199678278f68664dd1060ad822f8ad696a799,3300.0,CB1_CAUR_M_CF3_RI2_TI2_R12_C02:seed746102:iteration2140,outputs/ngas_a1/solver_comparison_a16r_v1/raw/CB1_CAUR_M_CF3_RI2_TI2_R12_C02/seed_746102.json,0.5,d674243145f43df34e56b8e6405847addad2a808964fbf62b7d56b7038418063,3067.0,SAME_INSTANCE_SEED_NON_IDENTICAL_STATE
CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746102,ngas-a13-development-v1:CB1_CAUR_M_CF3_RI2_TI2_R12_C02:NATIVE16_746102,outputs/ngas_a1/development_v1/states/ngas-a13-development-v1:CB1_CAUR_M_CF3_RI2_TI2_R12_C02:NATIVE16_746102/state.json,3a238a6a248d93fa0c7eb31817e199678278f68664dd1060ad822f8ad696a799,3300.0,CB1_CAUR_M_CF3_RI2_TI2_R12_C02:seed746102:iteration3620,outputs/ngas_a1/solver_comparison_a16r_v1/raw/CB1_CAUR_M_CF3_RI2_TI2_R12_C02/seed_746102.json,0.85,11a7df2fe99b1664aa7cdb44dc4c8cd3d7b1e3bd2139a2f972fc66118950e6cd,3041.0,SAME_INSTANCE_SEED_NON_IDENTICAL_STATE
CB1_CAUR_S_CF1_RI2_TI2_R12,746102,ngas-a13-development-v1:CB1_CAUR_S_CF1_RI2_TI2_R12:NATIVE16_746102,outputs/ngas_a1/development_v1/states/ngas-a13-development-v1:CB1_CAUR_S_CF1_RI2_TI2_R12:NATIVE16_746102/state.json,78c93a71bd42be9a96355a3b39f6e45d4e6da0d3ae66ead651c9d561a907ec05,1925.0,CB1_CAUR_S_CF1_RI2_TI2_R12:seed746102:iteration860,outputs/ngas_a1/solver_comparison_a16r_v1/raw/CB1_CAUR_S_CF1_RI2_TI2_R12/seed_746102.json,0.15,d3dbb320586219bd01426988015d32812004e502463a95cfab980d060ae2a452,1648.0,SAME_INSTANCE_SEED_NON_IDENTICAL_STATE
CB1_CAUR_S_CF1_RI2_TI2_R12,746102,ngas-a13-development-v1:CB1_CAUR_S_CF1_RI2_TI2_R12:NATIVE16_746102,outputs/ngas_a1/development_v1/states/ngas-a13-development-v1:CB1_CAUR_S_CF1_RI2_TI2_R12:NATIVE16_746102/state.json,78c93a71bd42be9a96355a3b39f6e45d4e6da0d3ae66ead651c9d561a907ec05,1925.0,CB1_CAUR_S_CF1_RI2_TI2_R12:seed746102:iteration2860,outputs/ngas_a1/solver_comparison_a16r_v1/raw/CB1_CAUR_S_CF1_RI2_TI2_R12/seed_746102.json,0.5,6eedca12db2e65c1a94bbd62844796fff42bc1eb0effe18dcbf45094fb385eed,1628.0,SAME_INSTANCE_SEED_NON_IDENTICAL_STATE
CB1_CAUR_S_CF1_RI2_TI2_R12,746102,ngas-a13-development-v1:CB1_CAUR_S_CF1_RI2_TI2_R12:NATIVE16_746102,outputs/ngas_a1/development_v1/states/ngas-a13-development-v1:CB1_CAUR_S_CF1_RI2_TI2_R12:NATIVE16_746102/state.json,78c93a71bd42be9a96355a3b39f6e45d4e6da0d3ae66ead651c9d561a907ec05,1925.0,CB1_CAUR_S_CF1_RI2_TI2_R12:seed746102:iteration4840,outputs/ngas_a1/solver_comparison_a16r_v1/raw/CB1_CAUR_S_CF1_RI2_TI2_R12/seed_746102.json,0.85,fe15b3a137d8ddf8152c76d057e3eb7892b7853ae4ccb4622fad112d06cf01a2,1624.0,SAME_INSTANCE_SEED_NON_IDENTICAL_STATE
CB1_CAUR_S_CF3_RI2_TI2_R12_C02,746102,ngas-a13-development-v1:CB1_CAUR_S_CF3_RI2_TI2_R12_C02:NATIVE16_746102,outputs/ngas_a1/development_v1/states/ngas-a13-development-v1:CB1_CAUR_S_CF3_RI2_TI2_R12_C02:NATIVE16_746102/state.json,c3b84190445168dc4c1390d56114fa2dd08cd00b9ca86d2ffed284e8372f8fdd,2131.0,CB1_CAUR_S_CF3_RI2_TI2_R12_C02:seed746102:iteration840,outputs/ngas_a1/solver_comparison_a16r_v1/raw/CB1_CAUR_S_CF3_RI2_TI2_R12_C02/seed_746102.json,0.15,c5fee88ed62c15f9ae10c91890d65050932eedc42bf5d839a9c0789c7d13d2e4,1748.0,SAME_INSTANCE_SEED_NON_IDENTICAL_STATE
CB1_CAUR_S_CF3_RI2_TI2_R12_C02,746102,ngas-a13-development-v1:CB1_CAUR_S_CF3_RI2_TI2_R12_C02:NATIVE16_746102,outputs/ngas_a1/development_v1/states/ngas-a13-development-v1:CB1_CAUR_S_CF3_RI2_TI2_R12_C02:NATIVE16_746102/state.json,c3b84190445168dc4c1390d56114fa2dd08cd00b9ca86d2ffed284e8372f8fdd,2131.0,CB1_CAUR_S_CF3_RI2_TI2_R12_C02:seed746102:iteration2800,outputs/ngas_a1/solver_comparison_a16r_v1/raw/CB1_CAUR_S_CF3_RI2_TI2_R12_C02/seed_746102.json,0.5,2b69501948937b04dbc222ba111fdb682f85e1f9b03fac51fbe3fffdc468776c,1690.0,SAME_INSTANCE_SEED_NON_IDENTICAL_STATE
