dataset_origin,dataset_role,scale,CF_level,search_stage,condition,state_id
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,improving,CB1_TRAIN_L_CF1_RI1_TI1_R03:seed817000000:iteration340
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,bottleneck_or_critical_transition,CB1_TRAIN_L_CF1_RI1_TI1_R03:seed817000000:iteration340
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,high_action_entropy,CB1_TRAIN_L_CF1_RI1_TI1_R03:seed817000000:iteration340
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,20-40%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI1_TI1_R03:seed817000000:iteration1000
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,20-40%,low_action_entropy,CB1_TRAIN_L_CF1_RI1_TI1_R03:seed817000000:iteration1000
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,40-60%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI1_TI1_R03:seed817000000:iteration1660
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,40-60%,high_action_entropy,CB1_TRAIN_L_CF1_RI1_TI1_R03:seed817000000:iteration1660
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,60-80%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI1_TI1_R03:seed817000000:iteration2320
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,60-80%,low_action_entropy,CB1_TRAIN_L_CF1_RI1_TI1_R03:seed817000000:iteration2320
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,80-100%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI1_TI1_R03:seed817000000:iteration2980
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,80-100%,high_action_entropy,CB1_TRAIN_L_CF1_RI1_TI1_R03:seed817000000:iteration2980
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,improving,CB1_TRAIN_L_CF1_RI1_TI2_R01:seed817000001:iteration340
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,bottleneck_or_critical_transition,CB1_TRAIN_L_CF1_RI1_TI2_R01:seed817000001:iteration340
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,high_action_entropy,CB1_TRAIN_L_CF1_RI1_TI2_R01:seed817000001:iteration340
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,20-40%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI1_TI2_R01:seed817000001:iteration1000
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,20-40%,low_action_entropy,CB1_TRAIN_L_CF1_RI1_TI2_R01:seed817000001:iteration1000
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,40-60%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI1_TI2_R01:seed817000001:iteration1620
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,40-60%,bottleneck_or_critical_transition,CB1_TRAIN_L_CF1_RI1_TI2_R01:seed817000001:iteration1620
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,40-60%,high_action_entropy,CB1_TRAIN_L_CF1_RI1_TI2_R01:seed817000001:iteration1620
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,60-80%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI1_TI2_R01:seed817000001:iteration2260
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,60-80%,low_action_entropy,CB1_TRAIN_L_CF1_RI1_TI2_R01:seed817000001:iteration2260
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,80-100%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI1_TI2_R01:seed817000001:iteration2900
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,80-100%,high_action_entropy,CB1_TRAIN_L_CF1_RI1_TI2_R01:seed817000001:iteration2900
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI1_TI3_R02:seed817000002:iteration300
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,bottleneck_or_critical_transition,CB1_TRAIN_L_CF1_RI1_TI3_R02:seed817000002:iteration300
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,high_action_entropy,CB1_TRAIN_L_CF1_RI1_TI3_R02:seed817000002:iteration300
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,20-40%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI1_TI3_R02:seed817000002:iteration900
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,20-40%,high_action_entropy,CB1_TRAIN_L_CF1_RI1_TI3_R02:seed817000002:iteration900
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,40-60%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI1_TI3_R02:seed817000002:iteration1480
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,40-60%,low_action_entropy,CB1_TRAIN_L_CF1_RI1_TI3_R02:seed817000002:iteration1480
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,60-80%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI1_TI3_R02:seed817000002:iteration2080
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,60-80%,low_action_entropy,CB1_TRAIN_L_CF1_RI1_TI3_R02:seed817000002:iteration2080
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,80-100%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI1_TI3_R02:seed817000002:iteration2660
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,80-100%,high_action_entropy,CB1_TRAIN_L_CF1_RI1_TI3_R02:seed817000002:iteration2660
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI2_TI1_R01:seed817000003:iteration340
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,bottleneck_or_critical_transition,CB1_TRAIN_L_CF1_RI2_TI1_R01:seed817000003:iteration340
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,low_action_entropy,CB1_TRAIN_L_CF1_RI2_TI1_R01:seed817000003:iteration340
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,20-40%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI2_TI1_R01:seed817000003:iteration1020
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,20-40%,high_action_entropy,CB1_TRAIN_L_CF1_RI2_TI1_R01:seed817000003:iteration1020
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,40-60%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI2_TI1_R01:seed817000003:iteration1680
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,40-60%,high_action_entropy,CB1_TRAIN_L_CF1_RI2_TI1_R01:seed817000003:iteration1680
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,60-80%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI2_TI1_R01:seed817000003:iteration2360
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,60-80%,high_action_entropy,CB1_TRAIN_L_CF1_RI2_TI1_R01:seed817000003:iteration2360
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,80-100%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI2_TI1_R01:seed817000003:iteration3020
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,80-100%,low_action_entropy,CB1_TRAIN_L_CF1_RI2_TI1_R01:seed817000003:iteration3020
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI2_TI2_R02:seed817000004:iteration320
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,bottleneck_or_critical_transition,CB1_TRAIN_L_CF1_RI2_TI2_R02:seed817000004:iteration320
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,high_action_entropy,CB1_TRAIN_L_CF1_RI2_TI2_R02:seed817000004:iteration320
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,20-40%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI2_TI2_R02:seed817000004:iteration960
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,20-40%,high_action_entropy,CB1_TRAIN_L_CF1_RI2_TI2_R02:seed817000004:iteration960
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,40-60%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI2_TI2_R02:seed817000004:iteration1600
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,40-60%,high_action_entropy,CB1_TRAIN_L_CF1_RI2_TI2_R02:seed817000004:iteration1600
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,60-80%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI2_TI2_R02:seed817000004:iteration2220
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,60-80%,low_action_entropy,CB1_TRAIN_L_CF1_RI2_TI2_R02:seed817000004:iteration2220
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,80-100%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI2_TI2_R02:seed817000004:iteration2860
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,80-100%,low_action_entropy,CB1_TRAIN_L_CF1_RI2_TI2_R02:seed817000004:iteration2860
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI2_TI3_R03:seed817000005:iteration320
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,bottleneck_or_critical_transition,CB1_TRAIN_L_CF1_RI2_TI3_R03:seed817000005:iteration320
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,low_action_entropy,CB1_TRAIN_L_CF1_RI2_TI3_R03:seed817000005:iteration320
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,20-40%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI2_TI3_R03:seed817000005:iteration940
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,20-40%,bottleneck_or_critical_transition,CB1_TRAIN_L_CF1_RI2_TI3_R03:seed817000005:iteration940
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,20-40%,low_action_entropy,CB1_TRAIN_L_CF1_RI2_TI3_R03:seed817000005:iteration940
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,40-60%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI2_TI3_R03:seed817000005:iteration1540
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,40-60%,high_action_entropy,CB1_TRAIN_L_CF1_RI2_TI3_R03:seed817000005:iteration1540
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,60-80%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI2_TI3_R03:seed817000005:iteration2160
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,60-80%,high_action_entropy,CB1_TRAIN_L_CF1_RI2_TI3_R03:seed817000005:iteration2160
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,80-100%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI2_TI3_R03:seed817000005:iteration2780
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,80-100%,high_action_entropy,CB1_TRAIN_L_CF1_RI2_TI3_R03:seed817000005:iteration2780
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI3_TI1_R02:seed817000006:iteration340
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,low_action_entropy,CB1_TRAIN_L_CF1_RI3_TI1_R02:seed817000006:iteration340
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,20-40%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI3_TI1_R02:seed817000006:iteration1000
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,20-40%,bottleneck_or_critical_transition,CB1_TRAIN_L_CF1_RI3_TI1_R02:seed817000006:iteration1000
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,20-40%,high_action_entropy,CB1_TRAIN_L_CF1_RI3_TI1_R02:seed817000006:iteration1000
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,40-60%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI3_TI1_R02:seed817000006:iteration1660
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,40-60%,low_action_entropy,CB1_TRAIN_L_CF1_RI3_TI1_R02:seed817000006:iteration1660
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,60-80%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI3_TI1_R02:seed817000006:iteration2320
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,60-80%,high_action_entropy,CB1_TRAIN_L_CF1_RI3_TI1_R02:seed817000006:iteration2320
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,80-100%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI3_TI1_R02:seed817000006:iteration2960
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,80-100%,high_action_entropy,CB1_TRAIN_L_CF1_RI3_TI1_R02:seed817000006:iteration2960
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,improving,CB1_TRAIN_L_CF1_RI3_TI2_R03:seed817000007:iteration320
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,bottleneck_or_critical_transition,CB1_TRAIN_L_CF1_RI3_TI2_R03:seed817000007:iteration320
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,low_action_entropy,CB1_TRAIN_L_CF1_RI3_TI2_R03:seed817000007:iteration320
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,20-40%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI3_TI2_R03:seed817000007:iteration960
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,20-40%,high_action_entropy,CB1_TRAIN_L_CF1_RI3_TI2_R03:seed817000007:iteration960
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,40-60%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI3_TI2_R03:seed817000007:iteration1580
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,40-60%,low_action_entropy,CB1_TRAIN_L_CF1_RI3_TI2_R03:seed817000007:iteration1580
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,60-80%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI3_TI2_R03:seed817000007:iteration2200
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,60-80%,high_action_entropy,CB1_TRAIN_L_CF1_RI3_TI2_R03:seed817000007:iteration2200
