state_key,instance_id,instance_sha256,dataset_role,scale,observed_budget_fraction,stage,capture_fraction,capture_target,search_iteration,seed,condition_tags,source_a17ar_raw_file,source_a17ar_raw_sha256,state_payload_sha256,audit_only,eligible_for_future_training
CLEAN|CB1_TRAIN_S_CF1_RI3_TI3_R02:seed817000062:iteration580,CB1_TRAIN_S_CF1_RI3_TI3_R02,ded9e0ea33a50bd418ccbebe302397ea3d75e24d058da3202ca1cc7b4b516a06,TRAIN,S,0.10310119458050135,EARLY,0.1,0.1,580,817000062,bottleneck_or_critical_transition|low_action_entropy|plateau_or_stagnating,outputs/ngas_a1/trajectory_utility_a17ar_v1/raw/train/CB1_TRAIN_S_CF1_RI3_TI3_R02.json,8fba11c825546aabde2a4c239c751fdcb4bc79d51fd334a79fdc2a248f9a3abd,96d8809b0a66d70bd62c6ae0229b0d506c3aacbf72299ae6842687e31f9bc538,True,False
CLEAN|CB1_TRAIN_S_CF1_RI1_TI3_R03:seed817000056:iteration600,CB1_TRAIN_S_CF1_RI1_TI3_R03,630eef880e6d8df836e681c8ead2aa723d6c7e81625c6d83e55b774327cc7bff,TRAIN,S,0.10255077700899815,EARLY,0.1,0.1,600,817000056,bottleneck_or_critical_transition|high_action_entropy|plateau_or_stagnating,outputs/ngas_a1/trajectory_utility_a17ar_v1/raw/train/CB1_TRAIN_S_CF1_RI1_TI3_R03.json,7f83d408261a2b8a8d18202be53c514033a88f0c2d9ab8dcf4b6e856741fd34a,7a562bb30423a2c053f5ddb429d6c35fb489c33bb9b1046a0652cd332469d134,True,False
CLEAN|CB1_TRAIN_S_CF1_RI1_TI1_R04:seed817000099:iteration580,CB1_TRAIN_S_CF1_RI1_TI1_R04,9686d1c5667adc201a394f28e956ab4fe5f4db8fb677da787cc7ff9df7c11439,VALIDATION,S,0.102578889540889,EARLY,0.1,0.1,580,817000099,low_action_entropy|plateau_or_stagnating,outputs/ngas_a1/trajectory_utility_a17ar_v1/raw/validation/CB1_TRAIN_S_CF1_RI1_TI1_R04.json,9d5525091868636232463aab2b25f1ada93df23171862cb8b0b787123d25cbd8,c473d5ced61b1791a24fd3a2447f5ef15efdb1c46df0368ba1e2c3529baec4cd,True,False
CLEAN|CB1_TRAIN_S_CF1_RI2_TI3_R01:seed817000059:iteration2640,CB1_TRAIN_S_CF1_RI2_TI3_R01,5eaa2f3787c4661579c6199b496dee8cfb9ce06477ec650313c22c980a904801,TRAIN,S,0.5020578819745363,MIDDLE,0.5,0.5,2640,817000059,bottleneck_or_critical_transition|high_action_entropy|plateau_or_stagnating,outputs/ngas_a1/trajectory_utility_a17ar_v1/raw/train/CB1_TRAIN_S_CF1_RI2_TI3_R01.json,8e9496b9d5fd41641a0e50b38d8a4022d467b00f91efa98c9b33d2a15df4fec7,5e5cb30bbd74b47a2f73085844045c605e64d0e765180cb7983d8979a682e366,True,False
CLEAN|CB1_TRAIN_S_CF1_RI1_TI1_R01:seed817000054:iteration2760,CB1_TRAIN_S_CF1_RI1_TI1_R01,81bd68962c40fb32b9ffd02d505e8d068790d88866398ea9e4f03f668b271885,TRAIN,S,0.5029970936948766,MIDDLE,0.5,0.5,2760,817000054,low_action_entropy|plateau_or_stagnating,outputs/ngas_a1/trajectory_utility_a17ar_v1/raw/train/CB1_TRAIN_S_CF1_RI1_TI1_R01.json,a7d53fc2d825e2315f4917e52c814dbf3c39e365bf1988c78308874cb88bc939,c198e07d9c5e1ec37869a58f281d5801069f2564eee1d43f96f3c4c2915f309b,True,False
CLEAN|CB1_TRAIN_S_CF1_RI1_TI1_R04:seed817000099:iteration2860,CB1_TRAIN_S_CF1_RI1_TI1_R04,9686d1c5667adc201a394f28e956ab4fe5f4db8fb677da787cc7ff9df7c11439,VALIDATION,S,0.5025398582701961,MIDDLE,0.5,0.5,2860,817000099,low_action_entropy|plateau_or_stagnating,outputs/ngas_a1/trajectory_utility_a17ar_v1/raw/validation/CB1_TRAIN_S_CF1_RI1_TI1_R04.json,9d5525091868636232463aab2b25f1ada93df23171862cb8b0b787123d25cbd8,6d25f689a17e4991c219a0ed57009b35a005d3480ec699cb398fb309ba26225a,True,False
CLEAN|CB1_TRAIN_S_CF3_RI3_TI3_R01:seed817000080:iteration4880,CB1_TRAIN_S_CF3_RI3_TI3_R01,6cc4c092c92c3ea80b8016830fa7fc734989695ec1c17d487f231d8966f2262d,TRAIN,S,0.9012036354075043,LATE,0.9,0.9,4880,817000080,bottleneck_or_critical_transition|high_action_entropy|improving,outputs/ngas_a1/trajectory_utility_a17ar_v1/raw/train/CB1_TRAIN_S_CF3_RI3_TI3_R01.json,bf19eb9937170a93b9d3f6cf66bb448f61079bc9b18e2b183b9ab54c3d13a86f,4b4aa48ac94fedd59f985bf768621d58ecd2509def21ad849bd303cd0693d538,True,False
CLEAN|CB1_TRAIN_S_CF1_RI2_TI3_R01:seed817000059:iteration4720,CB1_TRAIN_S_CF1_RI2_TI3_R01,5eaa2f3787c4661579c6199b496dee8cfb9ce06477ec650313c22c980a904801,TRAIN,S,0.9007712368304857,LATE,0.9,0.9,4720,817000059,bottleneck_or_critical_transition|low_action_entropy|plateau_or_stagnating,outputs/ngas_a1/trajectory_utility_a17ar_v1/raw/train/CB1_TRAIN_S_CF1_RI2_TI3_R01.json,8e9496b9d5fd41641a0e50b38d8a4022d467b00f91efa98c9b33d2a15df4fec7,34fffc4520ecf4a23728ee52d90e13e40fc8c40119b97188e0856cdacd244de2,True,False
CLEAN|CB1_TRAIN_S_CF1_RI3_TI3_R04:seed817000101:iteration4940,CB1_TRAIN_S_CF1_RI3_TI3_R04,5d00090e4afe20fd61d86b3f93fd7c148cc0f1fb7d82465687155f11400a6e1f,VALIDATION,S,0.9018287427707186,LATE,0.9,0.9,4940,817000101,low_action_entropy|plateau_or_stagnating,outputs/ngas_a1/trajectory_utility_a17ar_v1/raw/validation/CB1_TRAIN_S_CF1_RI3_TI3_R04.json,49d98368b0a167742ddbfa0d261a6ed7b2d9406acb39f9fcffad3983ab42dd98,a6935aa6c3d51514adfaca10342d2da3450c0c4a200d7304f3d3c721a7a79d22,True,False
CLEAN|CB1_TRAIN_M_CF1_RI2_TI3_R02:seed817000032:iteration400,CB1_TRAIN_M_CF1_RI2_TI3_R02,07fbc952afde2a487b658bcdfcf9bad19d69351e029ba40507de5a998f6ed47b,TRAIN,M,0.10025810918999951,EARLY,0.1,0.1,400,817000032,bottleneck_or_critical_transition|immediately_post_improvement|improving|low_action_entropy,outputs/ngas_a1/trajectory_utility_a17ar_v1/raw/train/CB1_TRAIN_M_CF1_RI2_TI3_R02.json,1527e55f37cf7632753fa2b7e3b0603300b53a3cf1eede49871a9f7602e8ef07,f807e07d1e66c1189f8009afa5dd30affb042e11bd5eaf425292bc085588e893,True,False
