AGV,工序,出发位置,目标机器,返回位置,开始运输,到达机器,返回仓库
AGV1,o12_1,Warehouse,M10,Warehouse,0,11,22
AGV1,o8_1,Warehouse,M9,Warehouse,22,28,34
AGV1,o5_2,Warehouse,M9,Warehouse,34,40,46
AGV1,o15_1,Warehouse,M8,Warehouse,46,49,52
AGV1,o20_2,Warehouse,M9,Warehouse,52,58,64
AGV1,o2_1,Warehouse,M7,Warehouse,64,75,86
AGV1,o10_1,Warehouse,M9,Warehouse,86,92,98
AGV1,o12_2,Warehouse,M5,Warehouse,98,107,116
AGV1,o19_2,Warehouse,M2,Warehouse,116,123,130
AGV1,o12_3,Warehouse,M9,Warehouse,130,136,142
AGV1,o14_1,Warehouse,M2,Warehouse,142,149,156
AGV1,o4_1,Warehouse,M5,Warehouse,156,165,174
AGV1,o7_2,Warehouse,M6,Warehouse,174,179,184
AGV1,o9_1,Warehouse,M7,Warehouse,184,195,206
AGV1,o4_2,Warehouse,M3,Warehouse,206,212,218
AGV1,o6_1,Warehouse,M2,Warehouse,218,225,232
AGV1,o14_3,Warehouse,M1,Warehouse,232,241,250
AGV1,o1_2,Warehouse,M7,Warehouse,250,261,272
AGV1,o18_1,Warehouse,M7,Warehouse,272,283,294
AGV1,o7_5,Warehouse,M9,Warehouse,294,300,306
AGV1,o16_2,Warehouse,M5,Warehouse,306,315,324
AGV1,o14_4,Warehouse,M2,Warehouse,324,331,338
AGV1,o6_2,Warehouse,M1,Warehouse,338,347,356
AGV1,o3_4,Warehouse,M6,Warehouse,356,361,366
AGV1,o15_2,Warehouse,M5,Warehouse,366,375,384
AGV1,o18_3,Warehouse,M8,Warehouse,384,387,390
AGV1,o16_3,Warehouse,M9,Warehouse,390,396,402
AGV1,o9_4,Warehouse,M9,Warehouse,402,408,414
AGV1,o2_3,Warehouse,M6,Warehouse,414,419,424
AGV1,o7_6,Warehouse,M9,Warehouse,424,430,436
AGV1,o17_4,Warehouse,M6,Warehouse,436,441,446
AGV1,o18_5,Warehouse,M2,Warehouse,446,453,460
AGV1,o1_3,Warehouse,M2,Warehouse,460,467,474
AGV1,o17_5,Warehouse,M6,Warehouse,474,479,484
AGV1,o7_7,Warehouse,M2,Warehouse,484,491,498
AGV1,o8_3,Warehouse,M2,Warehouse,498,505,512
AGV1,o8_4,Warehouse,M8,Warehouse,512,515,518
AGV1,o7_8,Warehouse,M8,Warehouse,518,521,524
AGV1,o14_5,Warehouse,M5,Warehouse,524,533,542
AGV1,o10_4,Warehouse,M1,Warehouse,542,551,560
AGV1,o15_3,Warehouse,M2,Warehouse,560,567,574
AGV1,o15_4,Warehouse,M10,Warehouse,574,585,596
AGV1,o19_5,Warehouse,M7,Warehouse,596,607,618
AGV1,o4_3,Warehouse,M5,Warehouse,618,627,636
AGV1,o19_6,Warehouse,M5,Warehouse,636,645,654
AGV1,o12_4,Warehouse,M4,Warehouse,654,665,676
AGV1,o9_5,Warehouse,M8,Warehouse,676,679,682
AGV1,o5_5,Warehouse,M1,Warehouse,682,691,700
AGV1,o10_5,Warehouse,M2,Warehouse,700,707,714
AGV1,o10_6,Warehouse,M6,Warehouse,714,719,724
AGV1,o19_8,Warehouse,M2,Warehouse,724,731,738
AGV1,o13_2,Warehouse,M9,Warehouse,738,744,750
AGV1,o8_5,Warehouse,M4,Warehouse,750,761,772
AGV1,o3_6,Warehouse,M10,Warehouse,772,783,794
AGV1,o5_6,Warehouse,M1,Warehouse,794,803,812
AGV1,o15_6,Warehouse,M1,Warehouse,812,821,830
AGV1,o2_5,Warehouse,M3,Warehouse,830,836,842
AGV1,o17_6,Warehouse,M10,Warehouse,842,853,864
AGV1,o2_6,Warehouse,M10,Warehouse,864,875,886
AGV1,o15_7,Warehouse,M4,Warehouse,886,897,908
AGV1,o5_7,Warehouse,M3,Warehouse,908,914,920
AGV1,o11_4,Warehouse,M9,Warehouse,920,926,932
AGV1,o18_7,Warehouse,M3,Warehouse,932,938,944
AGV1,o8_7,Warehouse,M1,Warehouse,944,953,962
AGV1,o18_8,Warehouse,M6,Warehouse,962,967,972
AGV1,o11_5,Warehouse,M5,Warehouse,972,981,990
AGV1,o13_4,Warehouse,M2,Warehouse,990,997,1004
AGV1,o5_8,Warehouse,M2,Warehouse,1004,1011,1018
AGV1,o6_5,Warehouse,M7,Warehouse,1018,1029,1040
AGV1,o4_6,Warehouse,M7,Warehouse,1040,1051,1062
AGV1,o16_6,Warehouse,M1,Warehouse,1062,1071,1080
AGV1,o10_9,Warehouse,M6,Warehouse,1080,1085,1090
AGV1,o8_9,Warehouse,M6,Warehouse,1090,1095,1100
AGV1,o8_10,Warehouse,M1,Warehouse,1100,1109,1118
AGV1,o6_6,Warehouse,M5,Warehouse,1118,1127,1136
AGV1,o12_6,Warehouse,M2,Warehouse,1136,1143,1150
AGV1,o18_9,Warehouse,M2,Warehouse,1150,1157,1164
AGV1,o3_7,Warehouse,M3,Warehouse,1164,1170,1176
AGV1,o9_8,Warehouse,M4,Warehouse,1176,1187,1198
AGV1,o18_10,Warehouse,M2,Warehouse,1198,1205,1212
AGV1,o17_9,Warehouse,M6,Warehouse,1212,1217,1222
AGV1,o17_10,Warehouse,M1,Warehouse,1222,1231,1240
AGV1,o8_12,Warehouse,M5,Warehouse,1240,1249,1258
AGV1,o16_8,Warehouse,M1,Warehouse,1258,1267,1276
AGV1,o7_11,Warehouse,M6,Warehouse,1276,1281,1286
AGV1,o2_8,Warehouse,M2,Warehouse,1286,1293,1300
AGV1,o17_11,Warehouse,M10,Warehouse,1300,1311,1322
AGV1,o13_6,Warehouse,M3,Warehouse,1322,1328,1334
AGV1,o13_7,Warehouse,M2,Warehouse,1334,1341,1348
AGV1,o11_6,Warehouse,M1,Warehouse,1348,1357,1366
AGV1,o16_10,Warehouse,M6,Warehouse,1366,1371,1376
AGV1,o10_11,Warehouse,M5,Warehouse,1376,1385,1394
AGV1,o3_9,Warehouse,M5,Warehouse,1394,1403,1412
AGV1,o2_10,Warehouse,M3,Warehouse,1412,1418,1424
AGV1,o1_10,Warehouse,M9,Warehouse,1424,1430,1436
AGV1,o12_7,Warehouse,M4,Warehouse,1436,1447,1458
AGV1,o19_11,Warehouse,M7,Warehouse,1458,1469,1480
AGV1,o4_8,Warehouse,M6,Warehouse,1480,1485,1490
AGV1,o6_8,Warehouse,M2,Warehouse,1490,1497,1504
AGV1,o11_8,Warehouse,M9,Warehouse,1504,1510,1516
AGV1,o12_8,Warehouse,M2,Warehouse,1516,1523,1530
AGV1,o5_13,Warehouse,M7,Warehouse,1530,1541,1552
AGV1,o7_13,Warehouse,M3,Warehouse,1552,1558,1564
AGV1,o6_9,Warehouse,M2,Warehouse,1564,1571,1578
AGV1,o10_12,Warehouse,M8,Warehouse,1578,1581,1584
AGV1,o2_11,Warehouse,M10,Warehouse,1584,1595,1606
AGV1,o9_9,Warehouse,M7,Warehouse,1606,1617,1628
AGV1,o9_10,Warehouse,M6,Warehouse,1628,1633,1638
AGV1,o20_12,Warehouse,M7,Warehouse,1638,1649,1660
AGV1,o12_9,Warehouse,M5,Warehouse,1660,1669,1678
AGV1,o6_10,Warehouse,M1,Warehouse,1678,1687,1696
AGV1,o11_10,Warehouse,M10,Warehouse,1696,1707,1718
AGV1,o3_11,Warehouse,M9,Warehouse,1718,1724,1730
AGV1,o12_10,Warehouse,M8,Warehouse,1730,1733,1736
AGV1,o12_11,Warehouse,M1,Warehouse,1736,1745,1754
AGV1,o13_8,Warehouse,M6,Warehouse,1754,1759,1764
AGV1,o13_9,Warehouse,M3,Warehouse,1764,1770,1776
AGV1,o13_11,Warehouse,M4,Warehouse,1776,1787,1798
AGV1,o14_9,Warehouse,M2,Warehouse,1798,1805,1812
AGV1,o15_11,Warehouse,M2,Warehouse,1812,1819,1826
AGV1,o15_12,Warehouse,M10,Warehouse,1826,1837,1848
AGV1,o17_13,Warehouse,M9,Warehouse,1848,1854,1860
AGV2,o1_12,Warehouse,M10,Warehouse,0,11,22
AGV2,o5_1,Warehouse,M6,Warehouse,22,27,32
AGV2,o20_1,Warehouse,M10,Warehouse,32,43,54
AGV2,o7_1,Warehouse,M2,Warehouse,54,61,68
AGV2,o20_3,Warehouse,M10,Warehouse,68,79,90
AGV2,o17_1,Warehouse,M10,Warehouse,90,101,112
AGV2,o19_1,Warehouse,M9,Warehouse,112,118,124
AGV2,o3_1,Warehouse,M10,Warehouse,124,135,146
AGV2,o16_1,Warehouse,M7,Warehouse,146,157,168
AGV2,o19_3,Warehouse,M2,Warehouse,168,175,182
AGV2,o17_2,Warehouse,M2,Warehouse,182,189,196
AGV2,o3_2,Warehouse,M2,Warehouse,196,203,210
AGV2,o1_1,Warehouse,M6,Warehouse,210,215,220
AGV2,o14_2,Warehouse,M9,Warehouse,220,226,232
AGV2,o10_2,Warehouse,M5,Warehouse,232,241,250
AGV2,o2_2,Warehouse,M10,Warehouse,250,261,272
AGV2,o7_3,Warehouse,M2,Warehouse,272,279,286
AGV2,o17_3,Warehouse,M8,Warehouse,286,289,292
AGV2,o7_4,Warehouse,M9,Warehouse,292,298,304
AGV2,o20_4,Warehouse,M2,Warehouse,304,311,318
AGV2,o3_3,Warehouse,M1,Warehouse,318,327,336
AGV2,o9_2,Warehouse,M7,Warehouse,336,347,358
AGV2,o13_1,Warehouse,M2,Warehouse,358,365,372
AGV2,o18_2,Warehouse,M6,Warehouse,372,377,382
AGV2,o9_3,Warehouse,M3,Warehouse,382,388,394
AGV2,o19_4,Warehouse,M7,Warehouse,394,405,416
AGV2,o20_5,Warehouse,M10,Warehouse,416,427,438
AGV2,o6_3,Warehouse,M8,Warehouse,438,441,444
AGV2,o18_4,Warehouse,M6,Warehouse,444,449,454
AGV2,o10_3,Warehouse,M2,Warehouse,454,461,468
AGV2,o8_2,Warehouse,M6,Warehouse,468,473,478
AGV2,o11_1,Warehouse,M2,Warehouse,478,485,492
AGV2,o16_4,Warehouse,M1,Warehouse,492,501,510
AGV2,o11_2,Warehouse,M2,Warehouse,510,517,524
AGV2,o5_3,Warehouse,M2,Warehouse,524,531,538
