AGV,工序,出发位置,取件位置,目标机器,开始运输,到达取件点,离开取件点,到达机器,完成配送
AGV1,o8_1,Warehouse,Warehouse,M9,0,0,0,5,5
AGV1,o20_1,M9,Warehouse,M10,5,10,10,19,19
AGV1,o7_1,M10,Warehouse,M2,19,28,28,34,34
AGV1,o20_3,M2,M9,M10,34,40,82,95,95
AGV1,o12_2,M10,M10,M5,95,95,95,101,101
AGV1,o19_2,M5,M9,M2,101,110,137,143,143
AGV1,o12_3,M2,M5,M9,143,147,147,156,156
AGV1,o14_1,M9,Warehouse,M2,156,161,161,167,167
AGV1,o16_1,M2,Warehouse,M7,167,173,173,182,182
AGV1,o3_2,M7,M10,M2,182,194,194,203,203
AGV1,o14_2,M2,M2,M9,203,203,203,209,209
AGV1,o2_2,M9,M7,M10,209,216,216,228,228
AGV1,o17_3,M10,M2,M8,228,237,237,245,245
AGV1,o7_4,M8,M2,M9,245,253,290,296,296
AGV1,o20_4,M9,M10,M2,296,309,309,318,318
AGV1,o16_2,M2,M7,M5,318,322,322,329,329
AGV1,o14_4,M5,M1,M2,329,332,332,339,339
AGV1,o9_2,M2,M7,M7,339,343,343,343,343
AGV1,o15_2,M7,M8,M5,343,355,355,364,364
AGV1,o18_3,M5,M6,M8,364,372,390,397,397
AGV1,o9_3,M8,M7,M3,397,409,409,422,422
AGV1,o16_3,M3,M5,M9,422,434,434,443,443
AGV1,o11_1,M9,Warehouse,M2,443,448,448,454,454
AGV1,o5_3,M2,M9,M2,454,460,460,466,466
AGV1,o10_4,M2,M2,M1,466,466,466,473,473
AGV1,o15_4,M1,M2,M10,473,480,647,656,656
AGV1,o14_6,M10,M5,M5,656,662,662,662,662
AGV1,o1_5,M5,M8,M1,662,671,671,679,679
AGV1,o12_4,M1,M9,M4,679,690,690,703,703
AGV1,o19_8,M4,M3,M2,703,713,713,723,723
AGV1,o15_5,M2,M10,M2,723,732,732,741,741
AGV1,o8_5,M2,M8,M4,741,749,749,757,757
AGV1,o3_6,M4,M5,M10,757,765,765,771,771
AGV1,o9_6,M10,M8,M2,771,780,780,788,788
AGV1,o15_6,M2,M2,M1,788,788,788,795,795
AGV1,o16_5,M1,M1,M2,795,795,795,802,802
AGV1,o17_6,M2,M6,M10,802,806,806,818,818
AGV1,o13_3,M10,M9,M1,818,831,831,842,842
AGV1,o5_7,M1,M1,M3,842,842,842,853,853
AGV1,o8_6,M3,M4,M1,853,863,863,867,867
AGV1,o7_9,M1,M8,M10,867,875,875,884,884
AGV1,o10_7,M10,M6,M10,884,896,896,908,908
AGV1,o18_7,M10,M2,M3,908,917,917,927,927
AGV1,o8_7,M3,M1,M1,927,938,938,938,938
AGV1,o8_8,M1,M1,M2,938,938,965,972,972
AGV1,o14_7,M2,M5,M9,972,976,976,985,985
AGV1,o11_5,M9,M9,M5,985,985,985,994,994
AGV1,o13_4,M5,M1,M2,994,997,997,1004,1004
AGV1,o9_7,M2,M2,M7,1004,1004,1004,1008,1008
AGV1,o13_5,M7,M2,M1,1008,1012,1020,1027,1027
AGV1,o10_10,M1,M6,M7,1027,1037,1090,1096,1096
AGV1,o8_10,M7,M6,M1,1096,1102,1113,1123,1123
AGV1,o16_7,M1,M1,M8,1123,1123,1123,1131,1131
AGV1,o17_9,M8,M10,M6,1131,1140,1140,1152,1152
AGV1,o18_11,M6,M2,M10,1152,1156,1210,1219,1219
AGV1,o7_11,M10,M5,M6,1219,1225,1225,1233,1233
AGV1,o17_11,M6,M1,M10,1233,1243,1243,1245,1245
AGV1,o13_6,M10,M1,M3,1245,1247,1247,1258,1258
AGV1,o11_7,M3,M1,M8,1258,1269,1366,1374,1374
AGV1,o10_11,M8,M7,M5,1374,1386,1386,1393,1393
AGV1,o3_8,M5,M3,M9,1393,1405,1405,1413,1413
AGV1,o15_9,M9,M6,M9,1413,1415,1415,1417,1417
