机器,工序,开始加工,完成加工,加工时间
M1,o14_3,244,251,7
M1,o3_3,327,334,7
M1,o6_2,348,355,7
M1,o16_4,501,509,8
M1,o10_4,551,566,15
M1,o2_4,621,630,9
M1,o1_5,679,686,7
M1,o5_5,691,707,16
M1,o5_6,803,810,7
M1,o15_6,821,829,8
M1,o13_3,842,850,8
M1,o8_6,867,882,15
M1,o8_7,953,965,12
M1,o16_6,1071,1083,12
M1,o13_5,1083,1098,15
M1,o8_10,1123,1129,6
M1,o17_10,1232,1239,7
M1,o16_8,1267,1282,15
M1,o19_10,1293,1302,9
M1,o11_6,1357,1366,9
M1,o7_14,1593,1600,7
M1,o6_10,1687,1699,12
M1,o9_11,1773,1782,9
M1,o12_11,1782,1789,7
M2,o7_1,61,66,5
M2,o19_2,143,148,5
M2,o14_1,167,178,11
M2,o19_3,178,184,6
M2,o17_2,189,205,16
M2,o3_2,205,216,11
M2,o6_1,246,265,19
M2,o7_3,279,290,11
M2,o20_4,318,323,5
M2,o14_4,339,344,5
M2,o13_1,365,373,8
M2,o10_3,461,466,5
M2,o18_5,498,503,5
M2,o1_3,503,508,5
M2,o11_1,508,524,16
M2,o11_2,524,540,16
M2,o7_7,540,548,8
M2,o5_3,548,564,16
M2,o8_3,564,580,16
M2,o15_3,628,647,19
M2,o10_5,722,738,16
M2,o19_8,738,757,19
M2,o15_5,757,773,16
M2,o9_6,788,794,6
M2,o16_5,802,807,5
M2,o4_4,807,812,5
M2,o18_6,812,823,11
M2,o6_4,881,886,5
M2,o8_8,972,980,8
M2,o13_4,1004,1020,16
M2,o5_8,1020,1025,5
M2,o5_9,1025,1041,16
M2,o12_6,1143,1149,6
M2,o18_9,1157,1176,19
M2,o18_10,1205,1210,5
M2,o1_9,1210,1226,16
M2,o2_8,1293,1309,16
M2,o5_10,1309,1328,19
M2,o13_7,1344,1349,5
M2,o2_9,1349,1355,6
M2,o6_8,1498,1503,5
M2,o5_12,1503,1514,11
M2,o12_8,1523,1528,5
M2,o16_13,1531,1547,16
M2,o6_9,1571,1579,8
M2,o4_10,1631,1637,6
M2,o2_13,1725,1736,11
M2,o5_14,1739,1755,16
M2,o14_9,1805,1811,6
M2,o15_11,1819,1824,5
M2,o19_13,1824,1840,16
M3,o4_2,221,229,8
M3,o9_3,422,440,18
M3,o19_7,704,710,6
M3,o2_5,836,848,12
M3,o5_7,914,922,8
M3,o18_7,938,950,12
M3,o12_5,950,958,8
M3,o10_8,992,998,6
M3,o3_7,1170,1178,8
M3,o13_6,1328,1334,6
M3,o7_12,1387,1395,8
M3,o2_10,1445,1463,18
M3,o7_13,1558,1564,6
M3,o11_9,1564,1582,18
M3,o4_11,1712,1730,18
M3,o13_9,1778,1786,8
M3,o14_10,1834,1846,12
M4,o12_4,703,710,7
M4,o11_3,756,764,8
M4,o8_5,764,775,11
M4,o15_7,897,904,7
M4,o9_8,1187,1198,11
M4,o20_10,1409,1416,7
M4,o12_7,1465,1472,7
M4,o20_11,1661,1669,8
M4,o13_11,1814,1827,13
M5,o12_2,107,122,15
M5,o4_1,199,209,10
M5,o10_2,241,256,15
M5,o16_2,329,344,15
M5,o15_2,375,390,15
M5,o14_5,568,573,5
M5,o4_3,627,642,15
M5,o14_6,662,677,15
M5,o19_6,677,692,15
M5,o3_5,692,703,11
M5,o20_6,703,718,15
M5,o20_7,763,774,11
M5,o11_5,994,1009,15
M5,o7_10,1009,1024,15
M5,o6_6,1127,1138,11
M5,o2_7,1196,1201,5
M5,o8_12,1249,1260,11
M5,o4_7,1260,1271,11
M5,o10_11,1393,1403,10
M5,o3_9,1429,1438,9
M5,o5_11,1438,1449,11
M5,o16_12,1457,1468,11
M5,o12_9,1669,1680,11
M5,o6_11,1755,1770,15
M6,o5_1,27,38,11
M6,o1_1,215,220,5
M6,o7_2,220,231,11
M6,o18_2,377,390,13
M6,o3_4,390,395,5
M6,o18_4,480,491,11
M6,o2_3,491,496,5
M6,o17_4,496,507,11
M6,o8_2,507,518,11
M6,o17_5,518,529,11
M6,o5_4,662,673,11
M6,o10_6,742,755,13
M6,o15_8,916,927,11
M6,o18_8,967,972,5
M6,o10_9,1085,1090,5
